Generation,Min,Mean,Max,Std
-1,-24.59027868222135,-24.59027868222135,-24.59027868222135,0.0
0,-24.068750882100883,-24.068750882100883,-24.068750882100883,0.0
1,-24.068750882100883,-24.068750882100883,-24.068750882100883,0.0
2,-24.068750882100883,-24.068750882100883,-24.068750882100883,0.0
3,-24.068750882100883,-24.068750882100883,-24.068750882100883,0.0
4,-23.311459176012757,-23.311459176012757,-23.311459176012757,0.0
5,-23.311459176012757,-23.311459176012757,-23.311459176012757,0.0
6,-23.311459176012757,-23.311459176012757,-23.311459176012757,0.0
7,-23.311459176012757,-23.311459176012757,-23.311459176012757,0.0
8,-22.206945246784016,-22.206945246784016,-22.206945246784016,0.0
9,-22.206945246784016,-22.206945246784016,-22.206945246784016,0.0
10,-22.206945246784016,-22.206945246784016,-22.206945246784016,0.0
11,-22.206945246784016,-22.206945246784016,-22.206945246784016,0.0
12,-21.863542443826898,-21.863542443826898,-21.863542443826898,0.0
13,-21.863542443826898,-21.863542443826898,-21.863542443826898,0.0
14,-21.863542443826898,-21.863542443826898,-21.863542443826898,0.0
15,-20.74618129531478,-20.74618129531478,-20.74618129531478,0.0
16,-20.74618129531478,-20.74618129531478,-20.74618129531478,0.0
17,-20.74618129531478,-20.74618129531478,-20.74618129531478,0.0
18,-20.27673681680204,-20.27673681680204,-20.27673681680204,0.0
19,-20.27673681680204,-20.27673681680204,-20.27673681680204,0.0
20,-20.27673681680204,-20.27673681680204,-20.27673681680204,0.0
21,-20.27673681680204,-20.27673681680204,-20.27673681680204,0.0
22,-20.27673681680204,-20.27673681680204,-20.27673681680204,0.0
23,-20.27673681680204,-20.27673681680204,-20.27673681680204,0.0
24,-20.27673681680204,-20.27673681680204,-20.27673681680204,0.0
25,-20.27673681680204,-20.27673681680204,-20.27673681680204,0.0
26,-20.27673681680204,-20.27673681680204,-20.27673681680204,0.0
27,-20.27673681680204,-20.27673681680204,-20.27673681680204,0.0
28,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
29,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
30,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
31,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
32,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
33,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
34,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
35,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
36,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
37,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
38,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
39,-19.61875067750225,-19.61875067750225,-19.61875067750225,0.0
