Generation,Min,Mean,Max,Std
-1,-23.51007029912176,-23.51007029912176,-23.51007029912176,0.0
0,-24.178125893765053,-24.178125893765053,-24.178125893765053,0.0
1,-24.077778653286966,-24.077778653286966,-24.077778653286966,0.0
2,-25.893056526278897,-25.893056526278897,-25.893056526278897,0.0
3,-23.752778639363694,-23.752778639363694,-23.752778639363694,0.0
4,-22.436459152483923,-22.436459152483923,-22.436459152483923,0.0
5,-24.000695309672867,-24.000695309672867,-24.000695309672867,0.0
6,-25.808334276002523,-25.808334276002523,-25.808334276002523,0.0
7,-24.16875091080955,-24.16875091080955,-24.16875091080955,0.0
8,-25.232292619550005,-25.232292619550005,-25.232292619550005,0.0
9,-23.692014772833016,-23.692014772833016,-23.692014772833016,0.0
10,-26.211112078014086,-26.211112078014086,-26.211112078014086,0.0
11,-24.322223101225163,-24.322223101225163,-24.322223101225163,0.0
12,-22.807292494725615,-22.807292494725615,-22.807292494725615,0.0
13,-24.2604175573894,-24.2604175573894,-24.2604175573894,0.0
14,-24.904862036010147,-24.904862036010147,-24.904862036010147,0.0
15,-24.930903707281686,-24.930903707281686,-24.930903707281686,0.0
16,-24.430556467113394,-24.430556467113394,-24.430556467113394,0.0
17,-25.564931505243294,-25.564931505243294,-25.564931505243294,0.0
18,-23.860764748122566,-23.860764748122566,-23.860764748122566,0.0
19,-25.66145930809176,-25.66145930809176,-25.66145930809176,0.0
20,-24.07743144500677,-24.07743144500677,-24.07743144500677,0.0
21,-21.773611898375545,-21.773611898375545,-21.773611898375545,0.0
22,-21.66354243525873,-21.66354243525873,-21.66354243525873,0.0
23,-21.49201464664333,-21.49201464664333,-21.49201464664333,0.0
24,-25.33472315855842,-25.33472315855842,-25.33472315855842,0.0
25,-20.52882016791328,-20.52882016791328,-20.52882016791328,0.0
26,-24.183334216853837,-24.183334216853837,-24.183334216853837,0.0
27,-24.763542571554556,-24.763542571554556,-24.763542571554556,0.0
28,-23.765973087862623,-23.765973087862623,-23.765973087862623,0.0
29,-23.595139757678325,-23.595139757678325,-23.595139757678325,0.0
30,-21.5878479910607,-21.5878479910607,-21.5878479910607,0.0
31,-23.50729253867111,-23.50729253867111,-23.50729253867111,0.0
32,-22.65729249178872,-22.65729249178872,-22.65729249178872,0.0
33,-25.425348151973193,-25.425348151973193,-25.425348151973193,0.0
34,-23.28159806362237,-23.28159806362237,-23.28159806362237,0.0
35,-23.357292528755753,-23.357292528755753,-23.357292528755753,0.0
36,-21.043403523291797,-21.043403523291797,-21.043403523291797,0.0
37,-23.467709207131218,-23.467709207131218,-23.467709207131218,0.0
38,-23.430209181100107,-23.430209181100107,-23.430209181100107,0.0
39,-25.53993149021537,-25.53993149021537,-25.53993149021537,0.0
