Generation,Min,Mean,Max,Std
-1,-25.40763981788122,-25.40763981788122,-25.40763981788122,0.0
0,-23.79895920038689,-23.79895920038689,-23.79895920038689,0.0
1,-24.32187588596652,-24.32187588596652,-24.32187588596652,0.0
2,-23.044445268706315,-23.044445268706315,-23.044445268706315,0.0
3,-23.214931387121194,-23.214931387121194,-23.214931387121194,0.0
4,-24.057639760046087,-24.057639760046087,-24.057639760046087,0.0
5,-22.703473052811912,-22.703473052811912,-22.703473052811912,0.0
6,-23.450000855593114,-23.450000855593114,-23.450000855593114,0.0
7,-23.293056397446588,-23.293056397446588,-23.293056397446588,0.0
8,-26.278473192011006,-26.278473192011006,-26.278473192011006,0.0
9,-23.8121536593535,-23.8121536593535,-23.8121536593535,0.0
10,-22.711806410926837,-22.711806410926837,-22.711806410926837,0.0
11,-22.694445271426556,-22.694445271426556,-22.694445271426556,0.0
12,-24.957639802628872,-24.957639802628872,-24.957639802628872,0.0
13,-24.293403679970652,-24.293403679970652,-24.293403679970652,0.0
14,-25.10798702377684,-25.10798702377684,-25.10798702377684,0.0
15,-23.73472307605617,-23.73472307605617,-23.73472307605617,0.0
16,-25.538889820014848,-25.538889820014848,-25.538889820014848,0.0
17,-23.585764750298242,-23.585764750298242,-23.585764750298242,0.0
18,-25.43576482257534,-25.43576482257534,-25.43576482257534,0.0
19,-24.181945401179192,-24.181945401179192,-24.181945401179192,0.0
20,-22.26736193697434,-22.26736193697434,-22.26736193697434,0.0
21,-21.858681346732837,-21.858681346732837,-21.858681346732837,0.0
22,-23.83298699357935,-23.83298699357935,-23.83298699357935,0.0
23,-20.98402857308651,-20.98402857308651,-20.98402857308651,0.0
24,-24.044098092799285,-24.044098092799285,-24.044098092799285,0.0
25,-21.08854245612747,-21.08854245612747,-21.08854245612747,0.0
26,-22.90277860294898,-22.90277860294898,-22.90277860294898,0.0
27,-22.86388971239406,-22.86388971239406,-22.86388971239406,0.0
28,-25.000348144233513,-25.000348144233513,-25.000348144233513,0.0
29,-22.803820300268452,-22.803820300268452,-22.803820300268452,0.0
30,-24.84097315834111,-24.84097315834111,-24.84097315834111,0.0
31,-23.928473087845813,-23.928473087845813,-23.928473087845813,0.0
32,-24.88055651081635,-24.88055651081635,-24.88055651081635,0.0
33,-21.854861891388683,-21.854861891388683,-21.854861891388683,0.0
34,-25.188889805020555,-25.188889805020555,-25.188889805020555,0.0
35,-25.04687593098303,-25.04687593098303,-25.04687593098303,0.0
36,-23.61527862998385,-23.61527862998385,-23.61527862998385,0.0
37,-24.132639798151406,-24.132639798151406,-24.132639798151406,0.0
38,-23.36423695256235,-23.36423695256235,-23.36423695256235,0.0
39,-24.735764792586753,-24.735764792586753,-24.735764792586753,0.0
