Generation,Min,Mean,Max,Std
-1,-23.295834200573154,-23.295834200573154,-23.295834200573154,0.0
0,-22.84583415874901,-22.84583415874901,-22.84583415874901,0.0
1,-18.00000061459529,-18.00000061459529,-18.00000061459529,0.0
2,-17.900000645740267,-17.900000645740267,-17.900000645740267,0.0
3,-23.495834186595555,-23.495834186595555,-23.495834186595555,0.0
4,-21.454167438903823,-21.454167438903823,-21.454167438903823,0.0
5,-17.391667277746212,-17.391667277746212,-17.391667277746212,0.0
6,-15.9458338599264,-15.9458338599264,-15.9458338599264,0.0
7,-12.891667059195848,-12.891667059195848,-12.891667059195848,0.0
8,-11.883333718093732,-11.883333718093732,-11.883333718093732,0.0
9,-15.266667157722017,-15.266667157722017,-15.266667157722017,0.0
10,-12.545833723930022,-12.545833723930022,-12.545833723930022,0.0
11,-11.625000360809887,-11.625000360809887,-11.625000360809887,0.0
12,-16.141667259624228,-16.141667259624228,-16.141667259624228,0.0
13,-11.24583365857446,-11.24583365857446,-11.24583365857446,0.0
14,-9.062500254251063,-9.062500254251063,-9.062500254251063,0.0
15,-14.275000448571518,-14.275000448571518,-14.275000448571518,0.0
16,-10.762500307755545,-10.762500307755545,-10.762500307755545,0.0
17,-6.016666787210852,-6.016666787210852,-6.016666787210852,0.0
18,-13.404167126243314,-13.404167126243314,-13.404167126243314,0.0
19,-9.487500253133476,-9.487500253133476,-9.487500253133476,0.0
20,-17.4750005856622,-17.4750005856622,-17.4750005856622,0.0
21,-13.320833753910847,-13.320833753910847,-13.320833753910847,0.0
22,-12.825000386452302,-12.825000386452302,-12.825000386452302,0.0
23,-9.98750027133307,-9.98750027133307,-9.98750027133307,0.0
24,-11.712500345233517,-11.712500345233517,-11.712500345233517,0.0
25,-6.5625001342656715,-6.5625001342656715,-6.5625001342656715,0.0
26,-5.287500089306074,-5.287500089306074,-5.287500089306074,0.0
27,-6.650000131572597,-6.650000131572597,-6.650000131572597,0.0
28,-6.170833434715557,-6.170833434715557,-6.170833434715557,0.0
29,-11.708333671946699,-11.708333671946699,-11.708333671946699,0.0
30,-7.962500210230549,-7.962500210230549,-7.962500210230549,0.0
31,-14.795833846088499,-14.795833846088499,-14.795833846088499,0.0
32,-7.600000185154689,-7.600000185154689,-7.600000185154689,0.0
33,-7.608333502740909,-7.608333502740909,-7.608333502740909,0.0
34,-14.02916710470648,-14.02916710470648,-14.02916710470648,0.0
35,-9.441666908174133,-9.441666908174133,-9.441666908174133,0.0
36,-6.858333464168633,-6.858333464168633,-6.858333464168633,0.0
37,-8.037500197455907,-8.037500197455907,-8.037500197455907,0.0
38,-8.966666887824735,-8.966666887824735,-8.966666887824735,0.0
39,-10.616666958512118,-10.616666958512118,-10.616666958512118,0.0
