Generation,Min,Mean,Max,Std
-1,-24.625000908078317,-24.625000908078317,-24.625000908078317,0.0
0,-21.300000781736646,-21.300000781736646,-21.300000781736646,0.0
1,-14.833333883124093,-14.833333883124093,-14.833333883124093,0.0
2,-13.058333787756661,-13.058333787756661,-13.058333787756661,0.0
3,-5.362500208352382,-5.362500208352382,-5.362500208352382,0.0
4,-5.362500208352382,-5.362500208352382,-5.362500208352382,0.0
5,-5.362500208352382,-5.362500208352382,-5.362500208352382,0.0
6,-5.362500208352382,-5.362500208352382,-5.362500208352382,0.0
7,-5.362500208352382,-5.362500208352382,-5.362500208352382,0.0
8,-4.266666840955925,-4.266666840955925,-4.266666840955925,0.0
9,-4.266666840955925,-4.266666840955925,-4.266666840955925,0.0
10,-4.266666840955925,-4.266666840955925,-4.266666840955925,0.0
11,-4.266666840955925,-4.266666840955925,-4.266666840955925,0.0
12,-4.266666840955925,-4.266666840955925,-4.266666840955925,0.0
13,-3.316666931961663,-3.316666931961663,-3.316666931961663,0.0
14,-3.316666931961663,-3.316666931961663,-3.316666931961663,0.0
15,-3.1000003268709406,-3.1000003268709406,-3.1000003268709406,0.0
16,-1.6583336689509451,-1.6583336689509451,-1.6583336689509451,0.0
17,-1.6583336689509451,-1.6583336689509451,-1.6583336689509451,0.0
18,-1.6583336689509451,-1.6583336689509451,-1.6583336689509451,0.0
19,-1.3333337867322068,-1.3333337867322068,-1.3333337867322068,0.0
20,-1.3333337867322068,-1.3333337867322068,-1.3333337867322068,0.0
21,-1.3333337867322068,-1.3333337867322068,-1.3333337867322068,0.0
22,-1.3333337867322068,-1.3333337867322068,-1.3333337867322068,0.0
23,-0.8833337668717528,-0.8833337668717528,-0.8833337668717528,0.0
24,-0.8833337668717528,-0.8833337668717528,-0.8833337668717528,0.0
25,1.7333329245836164,1.7333329245836164,1.7333329245836164,0.0
26,1.7333329245836164,1.7333329245836164,1.7333329245836164,0.0
27,5.379166324622929,5.379166324622929,5.379166324622929,0.0
28,5.379166324622929,5.379166324622929,5.379166324622929,0.0
29,5.6916663704517605,5.6916663704517605,5.6916663704517605,0.0
30,5.6916663704517605,5.6916663704517605,5.6916663704517605,0.0
31,5.6916663704517605,5.6916663704517605,5.6916663704517605,0.0
32,5.6916663704517605,5.6916663704517605,5.6916663704517605,0.0
33,5.6916663704517605,5.6916663704517605,5.6916663704517605,0.0
34,5.6916663704517605,5.6916663704517605,5.6916663704517605,0.0
35,5.6916663704517605,5.6916663704517605,5.6916663704517605,0.0
36,5.6916663704517605,5.6916663704517605,5.6916663704517605,0.0
37,5.6916663704517605,5.6916663704517605,5.6916663704517605,0.0
38,5.6916663704517605,5.6916663704517605,5.6916663704517605,0.0
39,5.6916663704517605,5.6916663704517605,5.6916663704517605,0.0
