Generation,Min,Mean,Max,Std
-1,-25.287500923577074,-25.287500923577074,-25.287500923577074,0.0
0,-20.112500714759033,-20.112500714759033,-20.112500714759033,0.0
1,-14.837500488657193,-14.837500488657193,-14.837500488657193,0.0
2,-16.07500056111409,-16.07500056111409,-16.07500056111409,0.0
3,-13.325000417535193,-13.325000417535193,-13.325000417535193,0.0
4,-16.266667207004502,-16.266667207004502,-16.266667207004502,0.0
5,-7.337500170688145,-7.337500170688145,-7.337500170688145,0.0
6,-9.645833596470766,-9.645833596470766,-9.645833596470766,0.0
7,-9.82083361040956,-9.82083361040956,-9.82083361040956,0.0
8,-6.829166825239857,-6.829166825239857,-6.829166825239857,0.0
9,-11.35000040056184,-11.35000040056184,-11.35000040056184,0.0
10,-10.937500379552754,-10.937500379552754,-10.937500379552754,0.0
11,-12.11666704209832,-12.11666704209832,-12.11666704209832,0.0
12,-5.345833431580104,-5.345833431580104,-5.345833431580104,0.0
13,-8.72083364035158,-8.72083364035158,-8.72083364035158,0.0
14,-3.154166722553782,-3.154166722553782,-3.154166722553782,0.0
15,-8.400000283611007,-8.400000283611007,-8.400000283611007,0.0
16,-8.99583356862422,-8.99583356862422,-8.99583356862422,0.0
17,-7.354166831510763,-7.354166831510763,-7.354166831510763,0.0
18,-8.18333356602428,-8.18333356602428,-8.18333356602428,0.0
19,-12.891667117170678,-12.891667117170678,-12.891667117170678,0.0
20,-9.783333762820499,-9.783333762820499,-9.783333762820499,0.0
21,-6.570833548476609,-6.570833548476609,-6.570833548476609,0.0
22,-2.5250000514788553,-2.5250000514788553,-2.5250000514788553,0.0
23,-5.337500171852298,-5.337500171852298,-5.337500171852298,0.0
24,-11.083333677379414,-11.083333677379414,-11.083333677379414,0.0
25,-5.445833480955723,-5.445833480955723,-5.445833480955723,0.0
26,-3.066666782988856,-3.066666782988856,-3.066666782988856,0.0
27,-3.8166667923408872,-3.8166667923408872,-3.8166667923408872,0.0
28,-4.991666949198891,-4.991666949198891,-4.991666949198891,0.0
29,-7.929167161656854,-7.929167161656854,-7.929167161656854,0.0
30,-7.641667114376712,-7.641667114376712,-7.641667114376712,0.0
31,-2.275000066302406,-2.275000066302406,-2.275000066302406,0.0
32,-1.3541669187446435,-1.3541669187446435,-1.3541669187446435,0.0
33,-4.787500415036145,-4.787500415036145,-4.787500415036145,0.0
34,0.6916664860133702,0.6916664860133702,0.6916664860133702,0.0
35,-2.7083335308125243,-2.7083335308125243,-2.7083335308125243,0.0
36,-4.995833818257476,-4.995833818257476,-4.995833818257476,0.0
37,-3.573950380086899e-07,-3.573950380086899e-07,-3.573950380086899e-07,0.0
38,-5.7750005185371265,-5.7750005185371265,-5.7750005185371265,0.0
39,1.4749996925626572,1.4749996925626572,1.4749996925626572,0.0
