Generation,Min,Mean,Max,Std
-1,-22.770834155535947,-22.770834155535947,-22.770834155535947,0.0
0,-16.383333901215035,-16.383333901215035,-16.383333901215035,0.0
1,-25.86250097719797,-25.86250097719797,-25.86250097719797,0.0
2,-17.48750063451007,-17.48750063451007,-17.48750063451007,0.0
3,-19.912500693307567,-19.912500693307567,-19.912500693307567,0.0
4,-16.52500057395082,-16.52500057395082,-16.52500057395082,0.0
5,-12.47083373037943,-12.47083373037943,-12.47083373037943,0.0
6,-14.71250047053521,-14.71250047053521,-14.71250047053521,0.0
7,-14.408333848812617,-14.408333848812617,-14.408333848812617,0.0
8,-12.225000392956039,-12.225000392956039,-12.225000392956039,0.0
9,-13.387500439537689,-13.387500439537689,-13.387500439537689,0.0
10,-10.720833632862195,-10.720833632862195,-10.720833632862195,0.0
11,-5.104166722351995,-5.104166722351995,-5.104166722351995,0.0
12,-7.545833496842533,-7.545833496842533,-7.545833496842533,0.0
13,-10.304166951566003,-10.304166951566003,-10.304166951566003,0.0
14,-7.254166820901446,-7.254166820901446,-7.254166820901446,0.0
15,-10.525000294360021,-10.525000294360021,-10.525000294360021,0.0
16,-6.491666788235307,-6.491666788235307,-6.491666788235307,0.0
17,-5.191666732542217,-5.191666732542217,-5.191666732542217,0.0
18,-13.258333760895766,-13.258333760895766,-13.258333760895766,0.0
19,-6.22916679631453,-6.22916679631453,-6.22916679631453,0.0
20,-8.129166851945532,-8.129166851945532,-8.129166851945532,0.0
21,-8.954166938822405,-8.954166938822405,-8.954166938822405,0.0
22,-9.325000252613487,-9.325000252613487,-9.325000252613487,0.0
23,-5.05416673309325,-5.05416673309325,-5.05416673309325,0.0
24,-7.279166838076587,-7.279166838076587,-7.279166838076587,0.0
25,-11.354167015873827,-11.354167015873827,-11.354167015873827,0.0
26,-8.83750024139105,-8.83750024139105,-8.83750024139105,0.0
27,-7.858333526334415,-7.858333526334415,-7.858333526334415,0.0
28,-9.125000256928615,-9.125000256928615,-9.125000256928615,0.0
29,-4.750000050175004,-4.750000050175004,-4.750000050175004,0.0
30,-6.491666817222722,-6.491666817222722,-6.491666817222722,0.0
31,-9.23333360456551,-9.23333360456551,-9.23333360456551,0.0
32,-6.195833548282583,-6.195833548282583,-6.195833548282583,0.0
33,-4.229166710632853,-4.229166710632853,-4.229166710632853,0.0
34,-7.4041668595358106,-7.4041668595358106,-7.4041668595358106,0.0
35,-5.679166804960308,-5.679166804960308,-5.679166804960308,0.0
36,-10.412500324969491,-10.412500324969491,-10.412500324969491,0.0
37,-8.487500255384171,-8.487500255384171,-8.487500255384171,0.0
38,-11.175000367298102,-11.175000367298102,-11.175000367298102,0.0
39,-10.662500322796404,-10.662500322796404,-10.662500322796404,0.0
