Generation,Min,Mean,Max,Std
-1,-24.095834241287474,-24.095834241287474,-24.095834241287474,0.0
0,-22.55000083206687,-22.55000083206687,-22.55000083206687,0.0
1,-24.204167563157778,-24.204167563157778,-24.204167563157778,0.0
2,-21.17500077638154,-21.17500077638154,-21.17500077638154,0.0
3,-18.58333398902323,-18.58333398902323,-18.58333398902323,0.0
4,-14.195833797838228,-14.195833797838228,-14.195833797838228,0.0
5,-12.84583374322392,-12.84583374322392,-12.84583374322392,0.0
6,-12.512500376285365,-12.512500376285365,-12.512500376285365,0.0
7,-17.650000593159348,-17.650000593159348,-17.650000593159348,0.0
8,-10.3291669782872,-10.3291669782872,-10.3291669782872,0.0
9,-8.391666888957843,-8.391666888957843,-8.391666888957843,0.0
10,-9.0958335857916,-9.0958335857916,-9.0958335857916,0.0
11,-9.787500256323256,-9.787500256323256,-9.787500256323256,0.0
12,-6.716666791432847,-6.716666791432847,-6.716666791432847,0.0
13,-4.716666718634467,-4.716666718634467,-4.716666718634467,0.0
14,-8.58750020491425,-8.58750020491425,-8.58750020491425,0.0
15,-9.270833586847099,-9.270833586847099,-9.270833586847099,0.0
16,-10.500000309393121,-10.500000309393121,-10.500000309393121,0.0
17,-14.18750047381036,-14.18750047381036,-14.18750047381036,0.0
18,-5.091666741141428,-5.091666741141428,-5.091666741141428,0.0
19,-10.14583362111201,-10.14583362111201,-10.14583362111201,0.0
20,-8.716666883556172,-8.716666883556172,-8.716666883556172,0.0
21,-11.583333689137362,-11.583333689137362,-11.583333689137362,0.0
22,-4.050000036290537,-4.050000036290537,-4.050000036290537,0.0
23,-7.087500198627822,-7.087500198627822,-7.087500198627822,0.0
24,-6.775000185123645,-6.775000185123645,-6.775000185123645,0.0
25,-10.662500348562995,-10.662500348562995,-10.662500348562995,0.0
26,-6.666666815057397,-6.666666815057397,-6.666666815057397,0.0
27,-8.704166902345605,-8.704166902345605,-8.704166902345605,0.0
28,-6.612500146070185,-6.612500146070185,-6.612500146070185,0.0
29,-8.491666890021103,-8.491666890021103,-8.491666890021103,0.0
30,-4.8458334262638045,-4.8458334262638045,-4.8458334262638045,0.0
31,-3.7541667385958135,-3.7541667385958135,-3.7541667385958135,0.0
32,-12.183333750270927,-12.183333750270927,-12.183333750270927,0.0
33,-4.791666773380712,-4.791666773380712,-4.791666773380712,0.0
34,-10.104166975206075,-10.104166975206075,-10.104166975206075,0.0
35,-3.066666680155322,-3.066666680155322,-3.066666680155322,0.0
36,-5.720833437982947,-5.720833437982947,-5.720833437982947,0.0
37,-12.52500042191241,-12.52500042191241,-12.52500042191241,0.0
38,-13.862500501757799,-13.862500501757799,-13.862500501757799,0.0
39,-3.8041667117504403,-3.8041667117504403,-3.8041667117504403,0.0
