Generation,Min,Mean,Max,Std
-1,-22.237500789691694,-22.237500789691694,-22.237500789691694,0.0
0,-22.095834120176733,-22.095834120176733,-22.095834120176733,0.0
1,-19.833334032911807,-19.833334032911807,-19.833334032911807,0.0
2,-16.925000565320563,-16.925000565320563,-16.925000565320563,0.0
3,-11.333333681647977,-11.333333681647977,-11.333333681647977,0.0
4,-5.816666765759389,-5.816666765759389,-5.816666765759389,0.0
5,-17.266667259507813,-17.266667259507813,-17.266667259507813,0.0
6,-11.533333677332848,-11.533333677332848,-11.533333677332848,0.0
7,-14.016667162145799,-14.016667162145799,-14.016667162145799,0.0
8,-8.45416694615657,-8.45416694615657,-8.45416694615657,0.0
9,-9.75000035444585,-9.75000035444585,-9.75000035444585,0.0
10,-8.170833620009944,-8.170833620009944,-8.170833620009944,0.0
11,-8.09583370697995,-8.09583370697995,-8.09583370697995,0.0
12,-5.479166886225964,-5.479166886225964,-5.479166886225964,0.0
13,-4.541666968453986,-4.541666968453986,-4.541666968453986,0.0
14,-3.6500002798081064,-3.6500002798081064,-3.6500002798081064,0.0
15,-2.7916669128074623,-2.7916669128074623,-2.7916669128074623,0.0
16,-5.195833585845928,-5.195833585845928,-5.195833585845928,0.0
17,-3.2833336130715907,-3.2833336130715907,-3.2833336130715907,0.0
18,-7.6000004328088835,-7.6000004328088835,-7.6000004328088835,0.0
19,-3.7791667780838907,-3.7791667780838907,-3.7791667780838907,0.0
20,-9.670833736037215,-9.670833736037215,-9.670833736037215,0.0
21,-2.016666783213926,-2.016666783213926,-2.016666783213926,0.0
22,-2.683333433466032,-2.683333433466032,-2.683333433466032,0.0
23,-2.100000091129914,-2.100000091129914,-2.100000091129914,0.0
24,-8.370833606265174,-8.370833606265174,-8.370833606265174,0.0
25,-6.350000343712357,-6.350000343712357,-6.350000343712357,0.0
26,-9.145833777380176,-9.145833777380176,-9.145833777380176,0.0
27,-3.6083335984731093,-3.6083335984731093,-3.6083335984731093,0.0
28,1.3333331292184691,1.3333331292184691,1.3333331292184691,0.0
29,-9.083333935627403,-9.083333935627403,-9.083333935627403,0.0
30,0.654166320610481,0.654166320610481,0.654166320610481,0.0
31,-4.512500451101611,-4.512500451101611,-4.512500451101611,0.0
32,-3.1083336217949786,-3.1083336217949786,-3.1083336217949786,0.0
33,-0.441667052761962,-0.441667052761962,-0.441667052761962,0.0
34,-2.0333337460954986,-2.0333337460954986,-2.0333337460954986,0.0
35,3.82083303333881,3.82083303333881,3.82083303333881,0.0
36,0.4666662616267179,0.4666662616267179,0.4666662616267179,0.0
37,2.295832993889538,2.295832993889538,2.295832993889538,0.0
38,-3.5416671788940826,-3.5416671788940826,-3.5416671788940826,0.0
39,0.39166628441307694,0.39166628441307694,0.39166628441307694,0.0
