Generation,Min,Mean,Max,Std
-1,-31.100001169368625,-24.741667566215618,-10.950000383425504,4.186537793104986
0,-32.20000121649355,-21.578334097362433,-4.900000046938658,5.96166505838949
1,-49.00000193621963,-19.30916734827527,-3.3999999826774,8.23230708028339
2,-32.400001225061715,-16.263333873528367,-3.3999999826774,9.36883555761665
3,-30.800001156516373,-13.629167090790967,-3.2999999783933163,8.755328714090991
4,-29.70000110939145,-13.20750041314556,-3.1999999741092324,7.763874072535622
5,-31.100001169368625,-12.708333716720032,-3.1999999741092324,8.006342447472909
6,-46.200001816265285,-13.247500410994205,-3.2999999783933163,9.104740112723107
7,-48.300001906231046,-11.973333689097005,-3.2999999783933163,9.352564512972656
8,-50.50000200048089,-11.973333684587852,-3.1999999741092324,10.854344704408383
9,-44.25000173272565,-10.647500295743036,-3.2499999762512743,9.640775043464332
10,-28.90000107511878,-9.37000024165803,-3.100000124424696,8.340744726261368
11,-46.700001837685704,-8.773333550073827,-3.1999999741092324,8.49943400410135
12,-47.10000185482204,-9.690000262429628,-3.2499999762512743,10.135547614459798
13,-49.50000195764005,-10.081666938813093,-3.1999999741092324,10.341824776889155
14,-50.600002004764974,-9.908333599342344,-1.9000001116655767,10.526879403928971
15,-50.600002004764974,-9.672500256549878,-3.1000000471249223,10.75146713077115
16,-30.300001135095954,-8.563333538500592,-3.2999999783933163,9.23430630210329
17,-50.00000197906047,-8.647500210705523,-3.0000000428408384,10.051482182230972
18,-28.800001070834696,-8.1816668574155,-3.1999999741092324,8.56766227516158
19,-28.500001057982445,-7.796666839633447,-3.1999999741092324,8.673383348289226
20,-50.20000198762864,-7.399166821315885,-3.1999999741092324,9.877704659648746
21,-50.50000200048089,-8.734166881729228,-3.1999999741092324,11.829671861946226
22,-50.600002004764974,-7.711666834703647,-3.1999999741092324,9.289413577807833
23,-41.05000159563497,-8.180833520825642,-3.1999999741092324,9.038409593053524
24,-29.800001113675535,-7.105000142046872,-3.0999999698251486,8.575613561891245
25,-50.70000200904906,-7.865000175894238,-3.1999999741092324,9.9740137476943
26,-39.3000015206635,-5.5333334119136754,-3.1999999741092324,7.077074008122462
27,-50.70000200904906,-9.917500261892565,-3.1999999741092324,12.084556174279548
28,-48.20000190194696,-7.7366668364188325,-3.1999999741092324,10.209811350809257
29,-50.100001983344555,-7.539166828601932,-3.1999999741092324,9.69595786968547
30,-29.000001079402864,-6.221666797855869,10.649999618530273,7.839001963083486
31,-50.30000199191272,-7.7025002191076055,15.049999381881207,11.508386591826751
32,-32.900001246482134,-7.308333545100565,16.699999415315688,10.367180778738948
33,-40.15000155707821,-4.930833517783322,20.69999943487346,9.931390241249359
34,-50.20000198762864,-6.813333515590057,11.049999481067061,10.5000355775407
35,-50.600002004764974,-6.528333545227846,16.749999340157956,11.891416650279325
36,-50.50000200048089,-5.835833583539352,19.39999918313697,12.825986629338617
37,-43.100001683458686,-6.200833576203634,14.699999402277172,10.442743002931586
38,-50.650002006907016,-6.910833629088787,20.0999991344288,13.307501635179248
39,-50.100001983344555,-6.466666927266245,17.299999207723886,12.381046564723901
