Generation,Min,Mean,Max,Std
-1,-22.58750081434846,-22.58750081434846,-22.58750081434846,0.0
0,-16.27500056324061,-16.27500056324061,-16.27500056324061,0.0
1,-12.933333750193318,-12.933333750193318,-12.933333750193318,0.0
2,-17.237500578708325,-17.237500578708325,-17.237500578708325,0.0
3,-5.74166674966303,-5.74166674966303,-5.74166674966303,0.0
4,-10.487500315299258,-10.487500315299258,-10.487500315299258,0.0
5,-7.625000173342414,-7.625000173342414,-7.625000173342414,0.0
6,-7.5291668262410285,-7.5291668262410285,-7.5291668262410285,0.0
7,-11.662500336649828,-11.662500336649828,-11.662500336649828,0.0
8,-13.55000041751191,-13.55000041751191,-13.55000041751191,0.0
9,-8.941666915741129,-8.941666915741129,-8.941666915741129,0.0
10,-21.158334124988567,-21.158334124988567,-21.158334124988567,0.0
11,-12.954167090860816,-12.954167090860816,-12.954167090860816,0.0
12,-5.175000074824008,-5.175000074824008,-5.175000074824008,0.0
13,-10.970833679001467,-10.970833679001467,-10.970833679001467,0.0
14,-6.958333539310843,-6.958333539310843,-6.958333539310843,0.0
15,-10.550000327639282,-10.550000327639282,-10.550000327639282,0.0
16,-3.883333356042082,-3.883333356042082,-3.883333356042082,0.0
17,-17.245833986477617,-17.245833986477617,-17.245833986477617,0.0
18,-9.066666921096234,-9.066666921096234,-9.066666921096234,0.0
19,-2.6458333608849594,-2.6458333608849594,-2.6458333608849594,0.0
20,-6.900000164828573,-6.900000164828573,-6.900000164828573,0.0
21,-10.950000386413498,-10.950000386413498,-10.950000386413498,0.0
22,-8.079166936765736,-8.079166936765736,-8.079166936765736,0.0
23,-8.050000272070369,-8.050000272070369,-8.050000272070369,0.0
24,-8.708333691465668,-8.708333691465668,-8.708333691465668,0.0
25,-4.76666680094786,-4.76666680094786,-4.76666680094786,0.0
26,-11.50000039076743,-11.50000039076743,-11.50000039076743,0.0
27,-9.137500312218132,-9.137500312218132,-9.137500312218132,0.0
28,-4.320833439085011,-4.320833439085011,-4.320833439085011,0.0
29,-6.262500250013545,-6.262500250013545,-6.262500250013545,0.0
30,-6.275000170261289,-6.275000170261289,-6.275000170261289,0.0
31,-5.337500187956418,-5.337500187956418,-5.337500187956418,0.0
32,-6.383333611069247,-6.383333611069247,-6.383333611069247,0.0
33,-2.8458336267697937,-2.8458336267697937,-2.8458336267697937,0.0
34,-9.995833785040304,-9.995833785040304,-9.995833785040304,0.0
35,-1.8541670779619988,-1.8541670779619988,-1.8541670779619988,0.0
36,-2.3333336784271523,-2.3333336784271523,-2.3333336784271523,0.0
37,0.29166637927604216,0.29166637927604216,0.29166637927604216,0.0
38,-1.5958338334069897,-1.5958338334069897,-1.5958338334069897,0.0
39,-0.7750001884996891,-0.7750001884996891,-0.7750001884996891,0.0
