Generation,Min,Mean,Max,Std
-1,-21.266667437312815,-21.266667437312815,-21.266667437312815,0.0
0,-21.85000078919499,-21.85000078919499,-21.85000078919499,0.0
1,-20.304167379974388,-20.304167379974388,-20.304167379974388,0.0
2,-10.85416697190764,-10.85416697190764,-10.85416697190764,0.0
3,-19.45000070236468,-19.45000070236468,-19.45000070236468,0.0
4,-19.366667343031924,-19.366667343031924,-19.366667343031924,0.0
5,-15.216667165242447,-15.216667165242447,-15.216667165242447,0.0
6,-14.137500610047331,-14.137500610047331,-14.137500610047331,0.0
7,-12.370833726095347,-12.370833726095347,-12.370833726095347,0.0
8,-14.758333809052905,-14.758333809052905,-14.758333809052905,0.0
9,-9.925000291201286,-9.925000291201286,-9.925000291201286,0.0
10,-13.879167117605297,-13.879167117605297,-13.879167117605297,0.0
11,-12.708333727670833,-12.708333727670833,-12.708333727670833,0.0
12,-8.52500025376988,-8.52500025376988,-8.52500025376988,0.0
13,-9.170833592225486,-9.170833592225486,-9.170833592225486,0.0
14,-5.916666773264296,-5.916666773264296,-5.916666773264296,0.0
15,-12.329167067306116,-12.329167067306116,-12.329167067306116,0.0
16,-12.287500418179357,-12.287500418179357,-12.287500418179357,0.0
17,-15.737500520888716,-15.737500520888716,-15.737500520888716,0.0
18,-15.358333857303174,-15.358333857303174,-15.358333857303174,0.0
19,-14.654167131482003,-14.654167131482003,-14.654167131482003,0.0
20,-10.16666695533786,-10.16666695533786,-10.16666695533786,0.0
21,-10.33333363236549,-10.33333363236549,-10.33333363236549,0.0
22,-13.004167080119563,-13.004167080119563,-13.004167080119563,0.0
23,-14.7500005204541,-14.7500005204541,-14.7500005204541,0.0
24,-10.329166955857849,-10.329166955857849,-10.329166955857849,0.0
25,-9.141666895321881,-9.141666895321881,-9.141666895321881,0.0
26,-6.345833442212704,-6.345833442212704,-6.345833442212704,0.0
27,-11.383333664465075,-11.383333664465075,-11.383333664465075,0.0
28,-13.75416710258772,-13.75416710258772,-13.75416710258772,0.0
29,-8.63750022316041,-8.63750022316041,-8.63750022316041,0.0
30,-13.100000401454357,-13.100000401454357,-13.100000401454357,0.0
31,-8.150000218379622,-8.150000218379622,-8.150000218379622,0.0
32,-5.341666764734934,-5.341666764734934,-5.341666764734934,0.0
33,-6.854166826310878,-6.854166826310878,-6.854166826310878,0.0
34,-5.43333341278291,-5.43333341278291,-5.43333341278291,0.0
35,-11.666667009936646,-11.666667009936646,-11.666667009936646,0.0
36,-7.441666832154927,-7.441666832154927,-7.441666832154927,0.0
37,-6.995833470059249,-6.995833470059249,-6.995833470059249,0.0
38,-10.4375002841698,-10.4375002841698,-10.4375002841698,0.0
39,-12.029167019024802,-12.029167019024802,-12.029167019024802,0.0
