Generation,Min,Mean,Max,Std
-1,-24.850000927379977,-24.850000927379977,-24.850000927379977,0.0
0,-23.054167501007516,-23.054167501007516,-23.054167501007516,0.0
1,-13.8958337882068,-13.8958337882068,-13.8958337882068,0.0
2,-19.00833398468482,-19.00833398468482,-19.00833398468482,0.0
3,-17.85416727179351,-17.85416727179351,-17.85416727179351,0.0
4,-21.100000744181063,-21.100000744181063,-21.100000744181063,0.0
5,-15.258333865902387,-15.258333865902387,-15.258333865902387,0.0
6,-16.31666722202984,-16.31666722202984,-16.31666722202984,0.0
7,-14.475000505452044,-14.475000505452044,-14.475000505452044,0.0
8,-15.350000497846244,-15.350000497846244,-15.350000497846244,0.0
9,-15.670833867470114,-15.670833867470114,-15.670833867470114,0.0
10,-15.216667178125741,-15.216667178125741,-15.216667178125741,0.0
11,-7.154166864929721,-7.154166864929721,-7.154166864929721,0.0
12,-12.516667043130534,-12.516667043130534,-12.516667043130534,0.0
13,-15.412500526290387,-15.412500526290387,-15.412500526290387,0.0
14,-15.054167155059986,-15.054167155059986,-15.054167155059986,0.0
15,-8.787500213482417,-8.787500213482417,-8.787500213482417,0.0
16,-12.175000358605757,-12.175000358605757,-12.175000358605757,0.0
17,-7.858333526334415,-7.858333526334415,-7.858333526334415,0.0
18,-10.750000339428274,-10.750000339428274,-10.750000339428274,0.0
19,-13.037500405218452,-13.037500405218452,-13.037500405218452,0.0
20,-10.270833610362994,-10.270833610362994,-10.270833610362994,0.0
21,-3.3458333233526596,-3.3458333233526596,-3.3458333233526596,0.0
22,-5.554166744851197,-5.554166744851197,-5.554166744851197,0.0
23,-10.725000296486542,-10.725000296486542,-10.725000296486542,0.0
24,-9.108333560560519,-9.108333560560519,-9.108333560560519,0.0
25,-11.008333641958112,-11.008333641958112,-11.008333641958112,0.0
26,-12.550000377891896,-12.550000377891896,-12.550000377891896,0.0
27,-10.237500291705752,-10.237500291705752,-10.237500291705752,0.0
28,-6.4833334738699095,-6.4833334738699095,-6.4833334738699095,0.0
29,-7.441666841817399,-7.441666841817399,-7.441666841817399,0.0
30,-6.850000130478293,-6.850000130478293,-6.850000130478293,0.0
31,-10.6708336371618,-10.6708336371618,-10.6708336371618,0.0
32,-13.583333761935743,-13.583333761935743,-13.583333761935743,0.0
33,-7.079166806962651,-7.079166806962651,-7.079166806962651,0.0
34,-7.387500172830187,-7.387500172830187,-7.387500172830187,0.0
35,-11.633333697721051,-11.633333697721051,-11.633333697721051,0.0
36,-8.75000021509671,-8.75000021509671,-8.75000021509671,0.0
37,-11.687500350604145,-11.687500350604145,-11.687500350604145,0.0
38,-10.204166953723567,-10.204166953723567,-10.204166953723567,0.0
39,-7.125000142259523,-7.125000142259523,-7.125000142259523,0.0
