Generation,Min,Mean,Max,Std
-1,-23.76666753475244,-23.76666753475244,-23.76666753475244,0.0
0,-21.700000776327215,-21.700000776327215,-21.700000776327215,0.0
1,-20.183334035022806,-20.183334035022806,-20.183334035022806,0.0
2,-17.520833949830074,-17.520833949830074,-17.520833949830074,0.0
3,-12.508333709440194,-12.508333709440194,-12.508333709440194,0.0
4,-12.662500389153138,-12.662500389153138,-12.662500389153138,0.0
5,-15.92083390072609,-15.92083390072609,-15.92083390072609,0.0
6,-12.175000448672412,-12.175000448672412,-12.175000448672412,0.0
7,-11.883333766406091,-11.883333766406091,-11.883333766406091,0.0
8,-19.57916734891478,-19.57916734891478,-19.57916734891478,0.0
9,-15.450000524676094,-15.450000524676094,-15.450000524676094,0.0
10,-14.8875004973573,-14.8875004973573,-14.8875004973573,0.0
11,-12.062500369890282,-12.062500369890282,-12.062500369890282,0.0
12,-12.779167051155431,-12.779167051155431,-12.779167051155431,0.0
13,-14.10833385528531,-14.10833385528531,-14.10833385528531,0.0
14,-13.195833767880686,-13.195833767880686,-13.195833767880686,0.0
15,-10.095833644736558,-10.095833644736558,-10.095833644736558,0.0
16,-8.12083371115538,-8.12083371115538,-8.12083371115538,0.0
17,-11.891667029238306,-11.891667029238306,-11.891667029238306,0.0
18,-9.00000026767763,-9.00000026767763,-9.00000026767763,0.0
19,-14.425000458218468,-14.425000458218468,-14.425000458218468,0.0
20,-7.8416670166576905,-7.8416670166576905,-7.8416670166576905,0.0
21,-5.56666705388731,-5.56666705388731,-5.56666705388731,0.0
22,-9.03333383720989,-9.03333383720989,-9.03333383720989,0.0
23,-9.812500414981818,-9.812500414981818,-9.812500414981818,0.0
24,-5.429166964371689,-5.429166964371689,-5.429166964371689,0.0
25,-15.041667173733003,-15.041667173733003,-15.041667173733003,0.0
26,-5.82083362849274,-5.82083362849274,-5.82083362849274,0.0
27,-9.095833704845669,-9.095833704845669,-9.095833704845669,0.0
28,-10.783333776906753,-10.783333776906753,-10.783333776906753,0.0
29,-7.470833564487596,-7.470833564487596,-7.470833564487596,0.0
30,-9.362500386040969,-9.362500386040969,-9.362500386040969,0.0
31,-2.7208337339106947,-2.7208337339106947,-2.7208337339106947,0.0
32,-5.158333587576635,-5.158333587576635,-5.158333587576635,0.0
33,-8.654166954957569,-8.654166954957569,-8.654166954957569,0.0
34,-8.791667098877952,-8.791667098877952,-8.791667098877952,0.0
35,-7.562500366902289,-7.562500366902289,-7.562500366902289,0.0
36,-11.43333373090718,-11.43333373090718,-11.43333373090718,0.0
37,-2.770833671403428,-2.770833671403428,-2.770833671403428,0.0
38,-7.779167123371735,-7.779167123371735,-7.779167123371735,0.0
39,-2.0291669408713155,-2.0291669408713155,-2.0291669408713155,0.0
