Generation,Min,Mean,Max,Std
-1,-24.77500094027103,-24.77500094027103,-24.77500094027103,0.0
0,-19.970834058127366,-19.970834058127366,-19.970834058127366,0.0
1,-20.279167375682544,-20.279167375682544,-20.279167375682544,0.0
2,-16.32083387921254,-16.32083387921254,-16.32083387921254,0.0
3,-18.19583395953911,-18.19583395953911,-18.19583395953911,0.0
4,-13.095833744271658,-13.095833744271658,-13.095833744271658,0.0
5,-16.404167209674295,-16.404167209674295,-16.404167209674295,0.0
6,-13.187500411644578,-13.187500411644578,-13.187500411644578,0.0
7,-10.195833620033227,-10.195833620033227,-10.195833620033227,0.0
8,-13.558333799514608,-13.558333799514608,-13.558333799514608,0.0
9,-11.020833648935271,-11.020833648935271,-11.020833648935271,0.0
10,-17.10833396448288,-17.10833396448288,-17.10833396448288,0.0
11,-12.687500383782512,-12.687500383782512,-12.687500383782512,0.0
12,-12.937500404155193,-12.937500404155193,-12.937500404155193,0.0
13,-9.091666935050549,-9.091666935050549,-9.091666935050549,0.0
14,-9.258333586311588,-9.258333586311588,-9.258333586311588,0.0
15,-14.541667142766528,-14.541667142766528,-14.541667142766528,0.0
16,-9.429166936626038,-9.429166936626038,-9.429166936626038,0.0
17,-15.425000539709194,-15.425000539709194,-15.425000539709194,0.0
18,-7.875000174390152,-7.875000174390152,-7.875000174390152,0.0
19,-13.875000499072485,-13.875000499072485,-13.875000499072485,0.0
20,-8.27916690990484,-8.27916690990484,-8.27916690990484,0.0
21,-11.566667012094209,-11.566667012094209,-11.566667012094209,0.0
22,-11.541667062556371,-11.541667062556371,-11.541667062556371,0.0
23,-13.7416671278188,-13.7416671278188,-13.7416671278188,0.0
24,-10.612500317433538,-10.612500317433538,-10.612500317433538,0.0
25,-16.05416721078412,-16.05416721078412,-16.05416721078412,0.0
26,-7.804166850905555,-7.804166850905555,-7.804166850905555,0.0
27,-9.062500289680125,-9.062500289680125,-9.062500289680125,0.0
28,-17.716667333423782,-17.716667333423782,-17.716667333423782,0.0
29,-8.69583359764268,-8.69583359764268,-8.69583359764268,0.0
30,-13.779167113321213,-13.779167113321213,-13.779167113321213,0.0
31,-7.6833336056830985,-7.6833336056830985,-7.6833336056830985,0.0
32,-11.46666704323919,-11.46666704323919,-11.46666704323919,0.0
33,-18.079167303978465,-18.079167303978465,-18.079167303978465,0.0
34,-10.141666970370958,-10.141666970370958,-10.141666970370958,0.0
35,-9.20833360349449,-9.20833360349449,-9.20833360349449,0.0
36,-18.05416729002415,-18.05416729002415,-18.05416729002415,0.0
37,-6.870833619187276,-6.870833619187276,-6.870833619187276,0.0
38,-9.112500272497224,-9.112500272497224,-9.112500272497224,0.0
39,-8.612500434430936,-8.612500434430936,-8.612500434430936,0.0
