Generation,Min,Mean,Max,Std
-1,-24.12083420692943,-24.12083420692943,-24.12083420692943,0.0
0,-21.404167430320133,-21.404167430320133,-21.404167430320133,0.0
1,-15.291667178117981,-15.291667178117981,-15.291667178117981,0.0
2,-15.291667178117981,-15.291667178117981,-15.291667178117981,0.0
3,-15.291667178117981,-15.291667178117981,-15.291667178117981,0.0
4,-15.291667178117981,-15.291667178117981,-15.291667178117981,0.0
5,-15.291667178117981,-15.291667178117981,-15.291667178117981,0.0
6,-11.212500327033922,-11.212500327033922,-11.212500327033922,0.0
7,-11.212500327033922,-11.212500327033922,-11.212500327033922,0.0
8,-11.212500327033922,-11.212500327033922,-11.212500327033922,0.0
9,-9.783333589478085,-9.783333589478085,-9.783333589478085,0.0
10,-9.783333589478085,-9.783333589478085,-9.783333589478085,0.0
11,-8.475000251627838,-8.475000251627838,-8.475000251627838,0.0
12,-8.475000251627838,-8.475000251627838,-8.475000251627838,0.0
13,-8.475000251627838,-8.475000251627838,-8.475000251627838,0.0
14,-8.475000251627838,-8.475000251627838,-8.475000251627838,0.0
15,-8.475000251627838,-8.475000251627838,-8.475000251627838,0.0
16,-8.475000251627838,-8.475000251627838,-8.475000251627838,0.0
17,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
18,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
19,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
20,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
21,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
22,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
23,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
24,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
25,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
26,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
27,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
28,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
29,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
30,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
31,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
32,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
33,-7.9875002017555135,-7.9875002017555135,-7.9875002017555135,0.0
34,-7.870833594274397,-7.870833594274397,-7.870833594274397,0.0
35,-7.870833594274397,-7.870833594274397,-7.870833594274397,0.0
36,-7.870833594274397,-7.870833594274397,-7.870833594274397,0.0
37,-7.870833594274397,-7.870833594274397,-7.870833594274397,0.0
38,-7.870833594274397,-7.870833594274397,-7.870833594274397,0.0
39,-7.870833594274397,-7.870833594274397,-7.870833594274397,0.0
