Generation,Min,Mean,Max,Std
-1,-23.75416753421693,-23.75416753421693,-23.75416753421693,0.0
0,-23.53750088403467,-23.53750088403467,-23.53750088403467,0.0
1,-18.708333984715864,-18.708333984715864,-18.708333984715864,0.0
2,-15.32083385247582,-15.32083385247582,-15.32083385247582,0.0
3,-15.262500503760142,-15.262500503760142,-15.262500503760142,0.0
4,-13.204167075804435,-13.204167075804435,-13.204167075804435,0.0
5,-11.066666984232143,-11.066666984232143,-11.066666984232143,0.0
6,-20.508334081154317,-20.508334081154317,-20.508334081154317,0.0
7,-13.379167076859934,-13.379167076859934,-13.379167076859934,0.0
8,-9.00833355949726,-9.00833355949726,-9.00833355949726,0.0
9,-13.320833750690023,-13.320833750690023,-13.320833750690023,0.0
10,-16.36250053800177,-16.36250053800177,-16.36250053800177,0.0
11,-9.991666944619888,-9.991666944619888,-9.991666944619888,0.0
12,-15.350000530054482,-15.350000530054482,-15.350000530054482,0.0
13,-11.895833728291715,-11.895833728291715,-11.895833728291715,0.0
14,-14.604167151885727,-14.604167151885727,-14.604167151885727,0.0
15,-12.312500412692316,-12.312500412692316,-12.312500412692316,0.0
16,-11.270833662866304,-11.270833662866304,-11.270833662866304,0.0
17,-8.408333540234404,-8.408333540234404,-8.408333540234404,0.0
18,-12.137500366661698,-12.137500366661698,-12.137500366661698,0.0
19,-8.650000217254274,-8.650000217254274,-8.650000217254274,0.0
20,-10.933333641965874,-10.933333641965874,-10.933333641965874,0.0
21,-10.900000316866985,-10.900000316866985,-10.900000316866985,0.0
22,-12.716667083906941,-12.716667083906941,-12.716667083906941,0.0
23,-9.87916696878771,-9.87916696878771,-9.87916696878771,0.0
24,-12.287500366646176,-12.287500366646176,-12.287500366646176,0.0
25,-10.762500317418016,-10.762500317418016,-10.762500317418016,0.0
26,-8.54583355578749,-8.54583355578749,-8.54583355578749,0.0
27,-6.558333493187092,-6.558333493187092,-6.558333493187092,0.0
28,-12.983333742672889,-12.983333742672889,-12.983333742672889,0.0
29,-10.45000031691355,-10.45000031691355,-10.45000031691355,0.0
30,-11.379167020165672,-11.379167020165672,-11.379167020165672,0.0
31,-12.691667073173448,-12.691667073173448,-12.691667073173448,0.0
32,-11.45416701049544,-11.45416701049544,-11.45416701049544,0.0
33,-8.700000251604555,-8.700000251604555,-8.700000251604555,0.0
34,-9.616666928554574,-9.616666928554574,-9.616666928554574,0.0
35,-8.045833553692015,-8.045833553692015,-8.045833553692015,0.0
36,-5.250000090920366,-5.250000090920366,-5.250000090920366,0.0
37,-8.583333567056494,-8.583333567056494,-8.583333567056494,0.0
38,-12.137500405311584,-12.137500405311584,-12.137500405311584,0.0
39,-9.633333644247614,-9.633333644247614,-9.633333644247614,0.0
