Generation,Min,Mean,Max,Std
-1,-22.779167502109583,-22.779167502109583,-22.779167502109583,0.0
0,-23.395834191973943,-23.395834191973943,-23.395834191973943,0.0
1,-17.808333962146815,-17.808333962146815,-17.808333962146815,0.0
2,-15.545833836348416,-15.545833836348416,-15.545833836348416,0.0
3,-17.870834000369843,-17.870834000369843,-17.870834000369843,0.0
4,-19.287500676194515,-19.287500676194515,-19.287500676194515,0.0
5,-15.920833874959499,-15.920833874959499,-15.920833874959499,0.0
6,-12.829167053297473,-12.829167053297473,-12.829167053297473,0.0
7,-13.245833741035312,-13.245833741035312,-13.245833741035312,0.0
8,-11.716667008857863,-11.716667008857863,-11.716667008857863,0.0
9,-9.708333615252437,-9.708333615252437,-9.708333615252437,0.0
10,-12.045833686405482,-12.045833686405482,-12.045833686405482,0.0
11,-13.416667097791409,-13.416667097791409,-13.416667097791409,0.0
12,-10.541666987507293,-10.541666987507293,-10.541666987507293,0.0
13,-13.758333775874538,-13.758333775874538,-13.758333775874538,0.0
14,-9.91250027778248,-9.91250027778248,-9.91250027778248,0.0
15,-14.316667129906515,-14.316667129906515,-14.316667129906515,0.0
16,-8.158333552069962,-8.158333552069962,-8.158333552069962,0.0
17,-15.745833844916584,-15.745833844916584,-15.745833844916584,0.0
18,-12.59166712364337,-12.59166712364337,-12.59166712364337,0.0
19,-8.579166938861212,-8.579166938861212,-8.579166938861212,0.0
20,-19.862500716932118,-19.862500716932118,-19.862500716932118,0.0
21,-8.320833607227542,-8.320833607227542,-8.320833607227542,0.0
22,-10.312500352893645,-10.312500352893645,-10.312500352893645,0.0
23,-11.612500459887087,-11.612500459887087,-11.612500459887087,0.0
24,-5.9416668033227324,-5.9416668033227324,-5.9416668033227324,0.0
25,-10.775000308291055,-10.775000308291055,-10.775000308291055,0.0
26,-14.450000526926791,-14.450000526926791,-14.450000526926791,0.0
27,-7.216666970557223,-7.216666970557223,-7.216666970557223,0.0
28,-7.679166874537866,-7.679166874537866,-7.679166874537866,0.0
29,-9.945833654414551,-9.945833654414551,-9.945833654414551,0.0
30,-7.958333566047561,-7.958333566047561,-7.958333566047561,0.0
31,-9.812500328252403,-9.812500328252403,-9.812500328252403,0.0
32,-10.283333662431687,-10.283333662431687,-10.283333662431687,0.0
33,-9.729167116844716,-9.729167116844716,-9.729167116844716,0.0
34,-10.379167128587142,-10.379167128587142,-10.379167128587142,0.0
35,-2.679166985054811,-2.679166985054811,-2.679166985054811,0.0
36,-9.400000284813965,-9.400000284813965,-9.400000284813965,0.0
37,-3.5833335008937865,-3.5833335008937865,-3.5833335008937865,0.0
38,-14.641667272546329,-14.641667272546329,-14.641667272546329,0.0
39,-5.012500167475082,-5.012500167475082,-5.012500167475082,0.0
