Generation,Min,Mean,Max,Std
-1,-32.900001246482134,-25.010000915553732,-7.100000141188502,4.527635706194939
0,-49.70000196620822,-22.121667454616787,-3.499999986961484,7.921681384015082
1,-45.80000179912895,-17.975000653439203,-3.499999986961484,8.778997529764347
2,-48.70000192336738,-17.085833927399168,-1.0000005341134965,9.917644988050421
3,-50.00000197906047,-18.121667319280096,-3.1999999741092324,12.198929294400976
4,-46.00000180769712,-16.825000565545633,-3.1999999741092324,9.701888111014135
5,-31.80000119935721,-14.562500466041577,-3.1999999741092324,9.64830175334683
6,-50.600002004764974,-14.932500493487654,-3.1499999719671905,11.381757901485411
7,-50.650002006907016,-15.910000526990432,-3.1999999741092324,13.08714055291456
8,-50.100001983344555,-16.458333901207272,-3.1999999741092324,13.893572738525519
9,-50.70000200904906,-14.436667138889122,-3.1999999741092324,13.543907153594107
10,-48.50000191479921,-12.662500418093988,-1.9500004216097295,11.400550991102344
11,-50.70000200904906,-15.330833840665097,-3.1999999741092324,12.489970143946135
12,-30.800001156516373,-12.290000407979823,-2.3500002468936145,10.282468508440045
13,-50.400001996196806,-13.62333376815853,-3.1999999741092324,11.195376999527808
14,-49.25000194692984,-10.961666981022184,-1.950000268407166,10.51352889941432
15,-50.400001996196806,-13.134167072805576,-3.1999999741092324,11.612287422222273
16,-46.1000018119812,-11.720833694383812,-3.1999999741092324,11.091665096754658
17,-49.70000196620822,-12.663333719945513,-3.0999999698251486,11.807554112331863
18,-50.60000204341486,-11.985833728926567,-1.8500003414228559,12.086387790510926
19,-50.400001996196806,-11.730833700609704,-0.9000001847743988,10.604579210724653
20,-49.00000193621963,-12.110833710447574,-2.550000062212348,11.079125319839635
21,-48.50000191479921,-10.018333637551404,-2.2351741790771484e-07,10.356765386005796
22,-50.100001983344555,-12.00083373276672,-0.3500002771615982,11.397549505486312
23,-32.400001225061715,-9.56333361226134,-1.5000000945292413,9.847694152129009
24,-50.600002004764974,-11.806667030082705,-1.850000340025872,12.035176263886555
25,-50.00000197906047,-11.075833695048155,-1.800000068731606,11.10036641078331
26,-50.400001996196806,-13.054167088059087,-1.700000103097409,11.44088583186065
27,-36.90000141784549,-10.935833652379612,-3.0999999698251486,9.59035620637643
28,-50.600002004764974,-11.436667027138174,-0.9000001847743988,12.726337612022077
29,-50.50000200048089,-10.680000331873694,-2.849999959114939,11.400315548471879
30,-31.350001180078834,-10.909167000674643,-1.1000001160427928,9.542779039840246
31,-48.70000192336738,-10.993333677365445,-0.25000027287751436,11.383711305391637
32,-49.600001961924136,-9.79000028090862,-0.900000146124512,10.216962630430814
33,-45.5000017862767,-12.250000388229576,-1.750000337138772,10.370021324021433
34,-49.10000194050372,-11.38750034548187,-2.8000000342726707,11.697566566987833
35,-50.400001996196806,-10.449166990630328,-0.7000003694556653,12.202740941661217
36,-50.70000200904906,-13.179167094702523,-1.7500001825392246,12.81978761729652
37,-50.20000198762864,-12.687500401151677,-1.400000206194818,11.268428445471686
38,-50.20000198762864,-11.726667017016249,-1.6500000623054802,11.166697486784901
39,-33.50000127218664,-9.706666945914428,-1.9000006127171218,8.830716007638735
