Generation,Min,Mean,Max,Std
-1,-25.979167632758617,-25.979167632758617,-25.979167632758617,0.0
0,-17.937500634463504,-17.937500634463504,-17.937500634463504,0.0
1,-16.829167256869066,-16.829167256869066,-16.829167256869066,0.0
2,-22.054167458166678,-22.054167458166678,-22.054167458166678,0.0
3,-10.941666994981157,-10.941666994981157,-10.941666994981157,0.0
4,-16.179167209697578,-16.179167209697578,-16.179167209697578,0.0
5,-14.966667151311412,-14.966667151311412,-14.966667151311412,0.0
6,-13.500000428253164,-13.500000428253164,-13.500000428253164,0.0
7,-18.108333971894655,-18.108333971894655,-18.108333971894655,0.0
8,-14.333333810170492,-14.333333810170492,-14.333333810170492,0.0
9,-16.333333889410522,-16.333333889410522,-16.333333889410522,0.0
10,-14.054167134764915,-14.054167134764915,-14.054167134764915,0.0
11,-12.083333720220253,-12.083333720220253,-12.083333720220253,0.0
12,-10.312500294918815,-10.312500294918815,-10.312500294918815,0.0
13,-7.166666810711225,-7.166666810711225,-7.166666810711225,0.0
14,-13.166667067756256,-13.166667067756256,-13.166667067756256,0.0
15,-15.116667154516714,-15.116667154516714,-15.116667154516714,0.0
16,-11.200000323277587,-11.200000323277587,-11.200000323277587,0.0
17,-15.804167203294734,-15.804167203294734,-15.804167203294734,0.0
18,-11.058333647320978,-11.058333647320978,-11.058333647320978,0.0
19,-6.954166801607546,-6.954166801607546,-6.954166801607546,0.0
20,-7.47500016047464,-7.47500016047464,-7.47500016047464,0.0
21,-15.03750057440872,-15.03750057440872,-15.03750057440872,0.0
22,-9.812500257394277,-9.812500257394277,-9.812500257394277,0.0
23,-15.258333833694147,-15.258333833694147,-15.258333833694147,0.0
24,-8.704166879799837,-8.704166879799837,-8.704166879799837,0.0
25,-11.616667027119547,-11.616667027119547,-11.616667027119547,0.0
26,-12.683333758808052,-12.683333758808052,-12.683333758808052,0.0
27,-8.075000253700031,-8.075000253700031,-8.075000253700031,0.0
28,-10.758333666676966,-10.758333666676966,-10.758333666676966,0.0
29,-9.500000350293703,-9.500000350293703,-9.500000350293703,0.0
30,-5.420833402584928,-5.420833402584928,-5.420833402584928,0.0
31,-6.49166682366437,-6.49166682366437,-6.49166682366437,0.0
32,-10.983333669874506,-10.983333669874506,-10.983333669874506,0.0
33,-8.29583357728552,-8.29583357728552,-8.29583357728552,0.0
34,-7.800000300010045,-7.800000300010045,-7.800000300010045,0.0
35,-8.641666899668053,-8.641666899668053,-8.641666899668053,0.0
36,-11.900000391799646,-11.900000391799646,-11.900000391799646,0.0
37,-7.7208335204438,-7.7208335204438,-7.7208335204438,0.0
38,-11.829167042664873,-11.829167042664873,-11.829167042664873,0.0
39,-4.429166873684153,-4.429166873684153,-4.429166873684153,0.0
