Generation,Min,Mean,Max,Std
-1,-24.000000874861144,-24.000000874861144,-24.000000874861144,0.0
0,-18.42083399494489,-18.42083399494489,-18.42083399494489,0.0
1,-22.12916746782139,-22.12916746782139,-22.12916746782139,0.0
2,-14.129167121873857,-14.129167121873857,-14.129167121873857,0.0
3,-13.633333757636137,-13.633333757636137,-13.633333757636137,0.0
4,-13.98750048445072,-13.98750048445072,-13.98750048445072,0.0
5,-15.483333852995807,-15.483333852995807,-15.483333852995807,0.0
6,-17.93750061513856,-17.93750061513856,-17.93750061513856,0.0
7,-8.762500244619636,-8.762500244619636,-8.762500244619636,0.0
8,-8.675000240871062,-8.675000240871062,-8.675000240871062,0.0
9,-12.150000363976384,-12.150000363976384,-12.150000363976384,0.0
10,-17.666667276644148,-17.666667276644148,-17.666667276644148,0.0
11,-13.429167101547742,-13.429167101547742,-13.429167101547742,0.0
12,-10.950000315788202,-10.950000315788202,-10.950000315788202,0.0
13,-12.97500042830749,-12.97500042830749,-12.97500042830749,0.0
14,-7.8291669227182865,-7.8291669227182865,-7.8291669227182865,0.0
15,-13.058333755548423,-13.058333755548423,-13.058333755548423,0.0
16,-12.179167031892575,-12.179167031892575,-12.179167031892575,0.0
17,-10.666666967095807,-10.666666967095807,-10.666666967095807,0.0
18,-7.4708335612667724,-7.4708335612667724,-7.4708335612667724,0.0
19,-6.800000179869433,-6.800000179869433,-6.800000179869433,0.0
20,-10.591666989649335,-10.591666989649335,-10.591666989649335,0.0
21,-10.312500346451998,-10.312500346451998,-10.312500346451998,0.0
22,-10.591667089262046,-10.591667089262046,-10.591667089262046,0.0
23,-14.941667163123688,-14.941667163123688,-14.941667163123688,0.0
24,-13.233333766266393,-13.233333766266393,-13.233333766266393,0.0
25,-8.333333588554524,-8.333333588554524,-8.333333588554524,0.0
26,-11.366667042175928,-11.366667042175928,-11.366667042175928,0.0
27,-14.566667130954253,-14.566667130954253,-14.566667130954253,0.0
28,-8.712500335765071,-8.712500335765071,-8.712500335765071,0.0
29,-8.73750034327774,-8.73750034327774,-8.73750034327774,0.0
30,-6.987500329385512,-6.987500329385512,-6.987500329385512,0.0
31,-5.875000182112369,-5.875000182112369,-5.875000182112369,0.0
32,-8.275000362113738,-8.275000362113738,-8.275000362113738,0.0
33,-7.85000032147703,-7.85000032147703,-7.85000032147703,0.0
34,-11.35833369238147,-11.35833369238147,-11.35833369238147,0.0
35,-13.125000611762516,-13.125000611762516,-13.125000611762516,0.0
36,-4.820833614988563,-4.820833614988563,-4.820833614988563,0.0
37,-16.325000581486773,-16.325000581486773,-16.325000581486773,0.0
38,-7.962500380934216,-7.962500380934216,-7.962500380934216,0.0
39,-12.325000455214953,-12.325000455214953,-12.325000455214953,0.0
