Generation,Min,Mean,Max,Std
-1,-32.10000121220946,-25.525000940193422,-10.850000301841646,4.260423668584434
0,-30.000001122243702,-19.844167393120006,-5.600000076927245,5.6297877571877954
1,-38.300001787021756,-18.168333978950976,-3.3999999826774,7.321685964483707
2,-30.20000113081187,-14.584167164533088,-3.3999999826774,7.222969971314394
3,-30.600001147948205,-16.401667226315475,-3.2999999783933163,8.306152528163814
4,-35.800001370720565,-17.335833943930144,-3.3999999826774,8.955450732563405
5,-40.200001559220254,-14.248333791069065,-3.2999999783933163,9.211166479288709
6,-29.800001113675535,-15.105833829737579,-2.9999999655410647,8.470498636840862
7,-35.90000137500465,-12.818333743978291,-3.1999999741092324,9.095360795460065
8,-29.500001100823283,-13.976667123070607,-3.1999999741092324,8.940202044891103
9,-28.60000106226653,-12.23666704595089,-2.9000000385567546,9.121745785093612
10,-49.250002024229616,-13.30583375133574,-2.700000029988587,10.612293222099389
11,-34.70000136224553,-10.228333621402271,-3.0999999698251486,8.047548458156813
12,-30.800001156516373,-10.861666986400571,-3.1999999741092324,9.266653740852657
13,-50.00000197906047,-12.218333712453022,-2.9999999655410647,10.543813674671396
14,-35.40000135358423,-12.860833732915731,-1.6500000623054802,10.427888106085257
15,-29.4000010965392,-10.430000301240943,-3.0999999698251486,8.327721151987987
16,-38.60000149067491,-10.727500313318645,-2.9999999655410647,9.317499289020983
17,-42.75000166846439,-10.363333623988243,-3.0000000041909516,10.107332213207055
18,-31.100001169368625,-10.350833622164403,-3.0999999698251486,9.741169462640189
19,-30.600001147948205,-12.050000369998937,-0.10000015050172806,10.337460641106153
20,-49.2000019447878,-10.733333637262694,-3.0000000428408384,9.96755891896722
21,-44.80000175628811,-10.416666955097268,-3.0999999698251486,10.14859913852119
22,-32.00000120792538,-11.263333696639165,8.34999947855249,10.217692826377869
23,-48.850001968443394,-10.76583367017253,8.099999623838812,10.60117367270615
24,-50.400001996196806,-14.08333378979781,-3.0999999698251486,12.472976883986252
25,-50.50000200048089,-11.705000342979718,-3.1999999741092324,11.350557377348665
26,-49.10000194050372,-11.380833685592128,-3.0999999698251486,10.278055936183433
27,-50.30000199191272,-8.237500310929802,13.49999935273081,10.845427995463547
28,-48.50000191479921,-9.360833662825947,11.349999336525798,12.32789930565595
29,-50.100001983344555,-8.895000379012588,11.099999443162233,12.750251032349794
30,-42.300001649186015,-7.45500032507504,10.849999197758734,10.797031899686802
31,-49.70000196620822,-8.084166995575652,10.449999413918704,10.617982257170443
32,-49.600001961924136,-10.786667098997471,10.84999947110191,12.223334847168966
33,-50.100001983344555,-10.483333861990833,15.699999332427979,15.213069506096133
34,-46.25000181840733,-8.415833685353087,12.599999235477298,11.604986643203201
35,-29.70000110939145,-7.520000343987097,10.299999290145934,10.335119179592843
36,-30.70000115223229,-7.385000387571441,10.5499993795529,11.663259167044343
37,-47.00000208243728,-8.904167078947648,12.199999295640737,12.203498111076426
38,-46.50000182911754,-7.841667012032121,10.299999524839222,11.033151706731669
39,-28.500001057982445,-7.6800003938144075,11.349999219179153,11.92165840081724
