Generation,Min,Mean,Max,Std
-1,-25.491667595769588,-25.491667595769588,-25.491667595769588,0.0
0,-19.925000693843078,-19.925000693843078,-19.925000693843078,0.0
1,-20.925000746346388,-20.925000746346388,-20.925000746346388,0.0
2,-17.179167275084183,-17.179167275084183,-17.179167275084183,0.0
3,-16.175000546073232,-16.175000546073232,-16.175000546073232,0.0
4,-20.912500742590055,-20.912500742590055,-20.912500742590055,0.0
5,-12.941667083883658,-12.941667083883658,-12.941667083883658,0.0
6,-9.704166935523972,-9.704166935523972,-9.704166935523972,0.0
7,-18.55000066392434,-18.55000066392434,-18.55000066392434,0.0
8,-14.025000463627899,-14.025000463627899,-14.025000463627899,0.0
9,-9.866666948927255,-9.866666948927255,-9.866666948927255,0.0
10,-18.870833994898323,-18.870833994898323,-18.870833994898323,0.0
11,-10.750000326428562,-10.750000326428562,-10.750000326428562,0.0
12,-10.850000314724943,-10.850000314724943,-10.850000314724943,0.0
13,-6.2791667726899805,-6.2791667726899805,-6.2791667726899805,0.0
14,-11.900000346824527,-11.900000346824527,-11.900000346824527,0.0
15,-6.100000098347664,-6.100000098347664,-6.100000098347664,0.0
16,-13.520833768920662,-13.520833768920662,-13.520833768920662,0.0
17,-9.783333595919734,-9.783333595919734,-9.783333595919734,0.0
18,-11.837500366692742,-11.837500366692742,-11.837500366692742,0.0
19,-8.625000212962428,-8.625000212962428,-8.625000212962428,0.0
20,-12.558333727686355,-12.558333727686355,-12.558333727686355,0.0
21,-7.125000184130234,-7.125000184130234,-7.125000184130234,0.0
22,-11.383333658023426,-11.383333658023426,-11.383333658023426,0.0
23,-8.970833570774024,-8.970833570774024,-8.970833570774024,0.0
24,-15.533333848696202,-15.533333848696202,-15.533333848696202,0.0
25,-9.429166930184389,-9.429166930184389,-9.429166930184389,0.0
26,-12.35000039175308,-12.35000039175308,-12.35000039175308,0.0
27,-14.270833820376234,-14.270833820376234,-14.270833820376234,0.0
28,-19.500000804352265,-19.500000804352265,-19.500000804352265,0.0
29,-11.725000377977267,-11.725000377977267,-11.725000377977267,0.0
30,-11.000000372567834,-11.000000372567834,-11.000000372567834,0.0
31,-10.812500342105826,-10.812500342105826,-10.812500342105826,0.0
32,-4.9500002004594235,-4.9500002004594235,-4.9500002004594235,0.0
33,-17.15833401470445,-17.15833401470445,-17.15833401470445,0.0
34,-9.508333654996628,-9.508333654996628,-9.508333654996628,0.0
35,-5.470833511014159,-5.470833511014159,-5.470833511014159,0.0
36,-12.112500401019739,-12.112500401019739,-12.112500401019739,0.0
37,-9.52083366519461,-9.52083366519461,-9.52083366519461,0.0
38,-10.962500329207009,-10.962500329207009,-10.962500329207009,0.0
39,-11.745833734748885,-11.745833734748885,-11.745833734748885,0.0
