Generation,Min,Mean,Max,Std
-1,-30.70000115223229,-23.58000084849385,-9.000000222586095,4.5055726680561285
0,-29.800001113675535,-18.854167315922677,-5.600000076927245,6.828770873762719
1,-47.000001850537956,-22.005834114388563,-4.200000016950071,8.926791013040718
2,-48.000001893378794,-19.07250066247458,-4.000000008381903,10.102378138390383
3,-49.600001961924136,-17.143333909939976,-3.3999999826774,9.843176853471961
4,-32.20000121649355,-15.420833838079124,-3.3999999826774,9.719599562252593
5,-31.00000116508454,-15.151667155371978,-3.2999999783933163,9.18070918097822
6,-45.5000017862767,-14.558333800484737,-3.2999999783933163,9.789749165810678
7,-31.350001180078834,-14.050833777454681,-3.2999999783933163,9.607829216748552
8,-50.400001996196806,-15.226667169535842,-3.2999999783933163,10.675507728369443
9,-45.400001781992614,-11.686667004351815,-3.2999999783933163,10.208133904756194
10,-50.20000198762864,-13.66500042565943,-3.2999999783933163,10.456259737020014
11,-31.400001182220876,-12.814167053299025,-3.2999999783933163,9.635326439024187
12,-50.30000199191272,-14.72000047021235,-3.2999999783933163,12.36459784152347
13,-49.90000197477639,-11.434166996111163,-3.2999999783933163,10.097328839940024
14,-29.90000111795962,-11.614167004466678,-3.2999999783933163,9.220476211914596
15,-47.60000195354223,-11.38666700438286,-3.2999999783933163,10.006385336350123
16,-45.5000017862767,-13.955833772096472,-3.2999999783933163,11.109418747034265
17,-45.80000179912895,-11.279166988182503,-3.2999999783933163,9.757998385182326
18,-30.20000113081187,-10.71333363125256,-3.2999999783933163,8.973567431187297
19,-48.50000191479921,-11.01916697639972,-3.2999999783933163,10.769858445362264
20,-45.55000178841874,-11.651667004140714,-3.2999999783933163,10.354435751048657
21,-46.50000182911754,-11.1325003190975,-3.2999999783933163,10.404934473311643
22,-30.800001156516373,-11.98750038080228,11.699999430216849,10.566960008971561
23,-50.55000200262293,-14.34666711895261,-3.2999999783933163,13.625588848971924
24,-47.10000185482204,-11.040000329283066,5.6999996355734766,10.86446008965893
25,-33.15000125719234,-8.557500204917353,-3.1999999741092324,8.730339357277417
26,-50.400001996196806,-11.92333368244581,-3.2999999783933163,12.174511006822891
27,-30.70000115223229,-8.659166875295341,-3.2999999783933163,8.585246877768723
28,-49.2000019447878,-11.602500350160215,5.499999665655196,10.814810605467368
29,-50.600002004764974,-11.003333650738933,-3.2999999783933163,11.2128497546538
30,-45.30000177770853,-8.570000249830384,12.649999276269227,10.029574112107397
31,-50.30000199191272,-10.708333647119192,-2.800001037772745,11.513818869629139
32,-30.400001139380038,-10.991666994523257,9.399999446235597,10.334151584144532
33,-49.8000019704923,-10.509167008590884,5.749999213963747,11.779949832877397
34,-50.70000200904906,-10.436667054348314,12.7499995152466,12.895845581512884
35,-46.30000182054937,-9.979166997410356,15.449999204371125,11.587645700765632
36,-50.30000199191272,-9.025833678012713,18.549998871982098,11.695813304683634
37,-30.800001156516373,-5.682500276054877,14.999999262392521,10.704683032368928
38,-48.40000191051513,-5.878333708969876,14.449999277479947,13.208278465969517
39,-47.80000188481063,-5.9175003729915865,16.14999907836318,12.60603653140141
