Generation,Min,Mean,Max,Std
-1,-25.7375009492971,-25.7375009492971,-25.7375009492971,0.0
0,-19.779167357482947,-19.779167357482947,-19.779167357482947,0.0
1,-16.43333389047378,-16.43333389047378,-16.43333389047378,0.0
2,-21.53333410252041,-21.53333410252041,-21.53333410252041,0.0
3,-14.825000501121394,-14.825000501121394,-14.825000501121394,0.0
4,-14.062500455571959,-14.062500455571959,-14.062500455571959,0.0
5,-16.641667219848994,-16.641667219848994,-16.641667219848994,0.0
6,-11.541667072102427,-11.541667072102427,-11.541667072102427,0.0
7,-11.741667035695476,-11.741667035695476,-11.741667035695476,0.0
8,-15.258333843356619,-15.258333843356619,-15.258333843356619,0.0
9,-16.73333390332603,-16.73333390332603,-16.73333390332603,0.0
10,-14.500000458210707,-14.500000458210707,-14.500000458210707,0.0
11,-11.083333651612824,-11.083333651612824,-11.083333651612824,0.0
12,-13.550000484916382,-13.550000484916382,-13.550000484916382,0.0
13,-8.52500022156164,-8.52500022156164,-8.52500022156164,0.0
14,-11.125000316843701,-11.125000316843701,-11.125000316843701,0.0
15,-12.5833337319782,-12.5833337319782,-12.5833337319782,0.0
16,-9.400000259047374,-9.400000259047374,-9.400000259047374,0.0
17,-7.258333529500912,-7.258333529500912,-7.258333529500912,0.0
18,-10.762500307755545,-10.762500307755545,-10.762500307755545,0.0
19,-7.637500199644516,-7.637500199644516,-7.637500199644516,0.0
20,-8.7833336944459,-8.7833336944459,-8.7833336944459,0.0
21,-9.40833363115477,-9.40833363115477,-9.40833363115477,0.0
22,-21.316667484429974,-21.316667484429974,-21.316667484429974,0.0
23,-9.2250002612127,-9.2250002612127,-9.2250002612127,0.0
24,-13.595833762471253,-13.595833762471253,-13.595833762471253,0.0
25,-11.620833825785667,-11.620833825785667,-11.620833825785667,0.0
26,-11.52500041127981,-11.52500041127981,-11.52500041127981,0.0
27,-5.008333526396503,-5.008333526396503,-5.008333526396503,0.0
28,-8.554166892698655,-8.554166892698655,-8.554166892698655,0.0
29,-10.125000293327806,-10.125000293327806,-10.125000293327806,0.0
30,-7.958333572372794,-7.958333572372794,-7.958333572372794,0.0
31,-7.437500313351241,-7.437500313351241,-7.437500313351241,0.0
32,-4.691666846163571,-4.691666846163571,-4.691666846163571,0.0
33,-9.304167104962593,-9.304167104962593,-9.304167104962593,0.0
34,-8.508333772731325,-8.508333772731325,-8.508333772731325,0.0
35,-6.4416669757726295,-6.4416669757726295,-6.4416669757726295,0.0
36,-9.829167011387957,-9.829167011387957,-9.829167011387957,0.0
37,-11.066667093274495,-11.066667093274495,-11.066667093274495,0.0
38,-7.583333678465958,-7.583333678465958,-7.583333678465958,0.0
39,-10.887500679818913,-10.887500679818913,-10.887500679818913,0.0
