Generation,Min,Mean,Max,Std
-1,-20.720834093478818,-20.720834093478818,-20.720834093478818,0.0
0,-22.21250081760809,-22.21250081760809,-22.21250081760809,0.0
1,-20.92916741319156,-20.92916741319156,-20.92916741319156,0.0
2,-15.29166716201386,-15.29166716201386,-15.29166716201386,0.0
3,-17.79166726911596,-17.79166726911596,-17.79166726911596,0.0
4,-18.245833958460327,-18.245833958460327,-18.245833958460327,0.0
5,-22.775000822381116,-22.775000822381116,-22.775000822381116,0.0
6,-12.850000387523323,-12.850000387523323,-12.850000387523323,0.0
7,-13.52500041644089,-13.52500041644089,-13.52500041644089,0.0
8,-11.087500392536944,-11.087500392536944,-11.087500392536944,0.0
9,-12.20416703618442,-12.20416703618442,-12.20416703618442,0.0
10,-13.600000445420543,-13.600000445420543,-13.600000445420543,0.0
11,-15.504167167896716,-15.504167167896716,-15.504167167896716,0.0
12,-13.716667129968604,-13.716667129968604,-13.716667129968604,0.0
13,-5.575000146714349,-5.575000146714349,-5.575000146714349,0.0
14,-13.450000426111123,-13.450000426111123,-13.450000426111123,0.0
15,-19.500000685298193,-19.500000685298193,-19.500000685298193,0.0
16,-9.641666961833835,-9.641666961833835,-9.641666961833835,0.0
17,-11.00416698155459,-11.00416698155459,-11.00416698155459,0.0
18,-9.433333635679446,-9.433333635679446,-9.433333635679446,0.0
19,-15.725000562223917,-15.725000562223917,-15.725000562223917,0.0
20,-7.337500324822031,-7.337500324822031,-7.337500324822031,0.0
21,-6.220833559016076,-6.220833559016076,-6.220833559016076,0.0
22,-12.920833797853751,-12.920833797853751,-12.920833797853751,0.0
23,-5.062500163408306,-5.062500163408306,-5.062500163408306,0.0
24,-15.795833911475105,-15.795833911475105,-15.795833911475105,0.0
25,-8.204166906691777,-8.204166906691777,-8.204166906691777,0.0
26,-12.99583379474158,-12.99583379474158,-12.99583379474158,0.0
27,-5.908333648578264,-5.908333648578264,-5.908333648578264,0.0
28,-9.825000376867441,-9.825000376867441,-9.825000376867441,0.0
29,-8.275000223734727,-8.275000223734727,-8.275000223734727,0.0
30,-12.954167071535872,-12.954167071535872,-12.954167071535872,0.0
31,-15.708334055535184,-15.708334055535184,-15.708334055535184,0.0
32,-8.420833762308272,-8.420833762308272,-8.420833762308272,0.0
33,-7.7708335547940806,-7.7708335547940806,-7.7708335547940806,0.0
34,-13.095833840896375,-13.095833840896375,-13.095833840896375,0.0
35,-8.275000223734727,-8.275000223734727,-8.275000223734727,0.0
36,-9.162500406693047,-9.162500406693047,-9.162500406693047,0.0
37,-9.737500296051925,-9.737500296051925,-9.737500296051925,0.0
38,-9.820833655501096,-9.820833655501096,-9.820833655501096,0.0
39,-10.78750033781398,-10.78750033781398,-10.78750033781398,0.0
