Generation,Min,Mean,Max,Std
-1,-30.100001126527786,-23.738334188610317,-12.600000376813114,3.683888124382079
0,-31.50000118650496,-21.76750077470982,-4.550000031944364,6.06087770196175
1,-30.000001122243702,-19.704167350404894,-4.000000008381903,7.295200170102805
2,-29.450001214630902,-17.624167268381765,-3.2999999783933163,7.9301616040576235
3,-50.20000198762864,-15.12416715870301,-3.2999999783933163,9.155788596300328
4,-37.550001522991806,-16.63916722103022,-3.2999999783933163,9.392156226447236
5,-37.75000191666186,-14.573333806257384,-3.2999999783933163,9.588589422467273
6,-29.950001313351095,-11.408333669401085,-3.2999999783933163,7.55941591156695
7,-49.10000194050372,-14.08833377584039,-3.2999999783933163,9.952991462953818
8,-49.50000195764005,-12.08583369005161,-3.3999999826774,9.05200335003416
9,-30.800001156516373,-13.655833757311727,-3.2999999783933163,9.64472734982142
10,-49.2000019447878,-14.605000463997325,-3.2999999783933163,11.83961867398188
11,-31.350001180078834,-12.461667038197628,-3.2999999783933163,9.124771468523125
12,-49.300001949071884,-11.094166981545277,-3.2999999783933163,11.5143541870055
13,-30.100001126527786,-9.44500025002441,-3.2999999783933163,8.489222458227443
14,-49.10000194050372,-12.756667052124007,-3.2999999783933163,12.34897641907011
15,-50.600002004764974,-10.905000306130386,-3.2999999783933163,10.419464203449136
16,-49.70000196620822,-10.518333621610266,-3.2999999783933163,9.96137151107987
17,-47.90000188909471,-13.855833765879895,-3.2999999783933163,11.582271761612235
18,-50.100001983344555,-9.865833594944949,-3.2999999783933163,10.708196275169335
19,-49.300001949071884,-9.972500267469634,-3.2999999783933163,10.405797812291732
20,-48.10000189766288,-12.858333725722817,-1.800000068731606,12.145898889984474
21,-49.2000019447878,-13.069167071285968,-3.2999999783933163,11.152833055874828
22,-49.25000194692984,-11.19750032123799,-1.750000105239451,11.855007976017616
23,-49.600001961924136,-11.380000330988938,-3.2999999783933163,10.76915859009105
24,-48.6000019190833,-10.771666965152447,-3.2999999783933163,10.665034316302451
25,-47.60000187624246,-11.889167020757062,-0.6000001332722604,10.604312040072344
26,-50.30000199191272,-12.819167059310711,-0.10000015050172806,12.47251728946866
27,-50.600002004764974,-9.775833602040075,-2.899999961256981,10.446664565241708
28,-48.800001927651465,-11.01166698509672,-3.200000051409006,10.930212297528545
29,-49.70000196620822,-12.855000405129976,1.3999997591599822,12.181796006381859
30,-48.800001927651465,-10.821666992416915,0.2499997871927917,10.753776397331158
31,-47.70000188052654,-8.260833589911151,9.599999454803765,10.16259965550817
32,-50.50000200048089,-11.899167059835356,3.999999638646841,12.059966940654517
33,-50.400001996196806,-9.481666974925126,9.699999420437962,11.580371626357856
34,-49.600001961924136,-7.400000219054831,8.099999662488699,9.86785644166106
35,-29.4000010965392,-6.21000017633196,9.89999958500266,8.036307457837992
36,-29.000001079402864,-9.087500335726267,8.499999328982085,10.226724419946704
37,-48.85000192979351,-11.013333691082273,8.199999628122896,12.113009545966662
38,-50.600002004764974,-8.10000023098352,6.2999996626749635,10.185058889254512
39,-50.400001996196806,-12.662500495898227,9.699999537784606,14.754066662906984
