Generation,Min,Mean,Max,Std
-1,-21.995834128775943,-21.995834128775943,-21.995834128775943,0.0
0,-21.44166746091408,-21.44166746091408,-21.44166746091408,0.0
1,-19.504167384351604,-19.504167384351604,-19.504167384351604,0.0
2,-16.41666723275557,-16.41666723275557,-16.41666723275557,0.0
3,-12.425000407965854,-12.425000407965854,-12.425000407965854,0.0
4,-14.466667155657584,-14.466667155657584,-14.466667155657584,0.0
5,-10.91666699713096,-10.91666699713096,-10.91666699713096,0.0
6,-14.387500456611937,-14.387500456611937,-14.387500456611937,0.0
7,-15.5458338878816,-15.5458338878816,-15.5458338878816,0.0
8,-12.383333713747561,-12.383333713747561,-12.383333713747561,0.0
9,-12.445833719645938,-12.445833719645938,-12.445833719645938,0.0
10,-11.500000336129839,-11.500000336129839,-11.500000336129839,0.0
11,-12.71666705814035,-12.71666705814035,-12.71666705814035,0.0
12,-11.300000349991024,-11.300000349991024,-11.300000349991024,0.0
13,-10.233333608756462,-10.233333608756462,-10.233333608756462,0.0
14,-12.491667042059513,-12.491667042059513,-12.491667042059513,0.0
15,-12.34583371214103,-12.34583371214103,-12.34583371214103,0.0
16,-10.725000296486542,-10.725000296486542,-10.725000296486542,0.0
17,-13.054167111132605,-13.054167111132605,-13.054167111132605,0.0
18,-12.579167058691382,-12.579167058691382,-12.579167058691382,0.0
19,-14.704167210923819,-14.704167210923819,-14.704167210923819,0.0
20,-14.254167130449787,-14.254167130449787,-14.254167130449787,0.0
21,-11.22083365106179,-11.22083365106179,-11.22083365106179,0.0
22,-13.7708337699684,-13.7708337699684,-13.7708337699684,0.0
23,-9.820833623292856,-9.820833623292856,-9.820833623292856,0.0
24,-14.475000508556453,-14.475000508556453,-14.475000508556453,0.0
25,-7.61666685253537,-7.61666685253537,-7.61666685253537,0.0
26,-11.191666989587247,-11.191666989587247,-11.191666989587247,0.0
27,-7.783333568212886,-7.783333568212886,-7.783333568212886,0.0
28,-10.595833640390387,-10.595833640390387,-10.595833640390387,0.0
29,-14.820833827834576,-14.820833827834576,-14.820833827834576,0.0
30,-7.695833525814426,-7.695833525814426,-7.695833525814426,0.0
31,-7.083333483470294,-7.083333483470294,-7.083333483470294,0.0
32,-9.345833593280986,-9.345833593280986,-9.345833593280986,0.0
33,-11.245833665016107,-11.245833665016107,-11.245833665016107,0.0
34,-10.916667096976502,-10.916667096976502,-10.916667096976502,0.0
35,-10.625000324410697,-10.625000324410697,-10.625000324410697,0.0
36,-3.4083333389135078,-3.4083333389135078,-3.4083333389135078,0.0
37,-9.625000390961455,-9.625000390961455,-9.625000390961455,0.0
38,-0.7375002125433335,-0.7375002125433335,-0.7375002125433335,0.0
39,-16.212500714696944,-16.212500714696944,-16.212500714696944,0.0
