Generation,Min,Mean,Max,Std
-1,-23.77916752562548,-23.77916752562548,-23.77916752562548,0.0
0,-21.2125007683256,-21.2125007683256,-21.2125007683256,0.0
1,-19.800000711033743,-19.800000711033743,-19.800000711033743,0.0
2,-22.866667483312387,-22.866667483312387,-22.866667483312387,0.0
3,-14.754167167974325,-14.754167167974325,-14.754167167974325,0.0
4,-16.66666724024496,-16.66666724024496,-16.66666724024496,0.0
5,-15.670833857807642,-15.670833857807642,-15.670833857807642,0.0
6,-10.68750032708825,-10.68750032708825,-10.68750032708825,0.0
7,-13.200000405738441,-13.200000405738441,-13.200000405738441,0.0
8,-15.99583386851009,-15.99583386851009,-15.99583386851009,0.0
9,-9.795833599676067,-9.795833599676067,-9.795833599676067,0.0
10,-10.058333620584259,-10.058333620584259,-10.058333620584259,0.0
11,-11.741667006708061,-11.741667006708061,-11.741667006708061,0.0
12,-8.07083355798386,-8.07083355798386,-8.07083355798386,0.0
13,-11.24583365857446,-11.24583365857446,-11.24583365857446,0.0
14,-12.7375003923662,-12.7375003923662,-12.7375003923662,0.0
15,-14.725000487174839,-14.725000487174839,-14.725000487174839,0.0
16,-14.787500499514863,-14.787500499514863,-14.787500499514863,0.0
17,-16.19166719734979,-16.19166719734979,-16.19166719734979,0.0
18,-12.708333727670833,-12.708333727670833,-12.708333727670833,0.0
19,-9.37500023865141,-9.37500023865141,-9.37500023865141,0.0
20,-7.941666856796171,-7.941666856796171,-7.941666856796171,0.0
21,-9.12083357720015,-9.12083357720015,-9.12083357720015,0.0
22,-12.12916712947966,-12.12916712947966,-12.12916712947966,0.0
23,-9.062500254251063,-9.062500254251063,-9.062500254251063,0.0
24,-8.079166882011728,-8.079166882011728,-8.079166882011728,0.0
25,-13.43333377483456,-13.43333377483456,-13.43333377483456,0.0
26,-5.500000120955519,-5.500000120955519,-5.500000120955519,0.0
27,-16.612500561595272,-16.612500561595272,-16.612500561595272,0.0
28,-4.437500168724607,-4.437500168724607,-4.437500168724607,0.0
29,-7.02500017984615,-7.02500017984615,-7.02500017984615,0.0
30,-10.408333667786792,-10.408333667786792,-10.408333667786792,0.0
31,-6.104166781296954,-6.104166781296954,-6.104166781296954,0.0
32,-12.037500362377614,-12.037500362377614,-12.037500362377614,0.0
33,-13.88750044485399,-13.88750044485399,-13.88750044485399,0.0
34,-11.404167047003284,-11.404167047003284,-11.404167047003284,0.0
35,-4.362500136407713,-4.362500136407713,-4.362500136407713,0.0
36,-5.679166795181421,-5.679166795181421,-5.679166795181421,0.0
37,-4.983333461141835,-4.983333461141835,-4.983333461141835,0.0
38,-7.308333550967897,-7.308333550967897,-7.308333550967897,0.0
39,-14.454167145459602,-14.454167145459602,-14.454167145459602,0.0
