Generation,Min,Mean,Max,Std
-1,-21.66250077149986,-21.66250077149986,-21.66250077149986,0.0
0,-18.47083396165787,-18.47083396165787,-18.47083396165787,0.0
1,-19.50000068207737,-19.50000068207737,-19.50000068207737,0.0
2,-18.95000065851491,-18.95000065851491,-18.95000065851491,0.0
3,-18.075000611366704,-18.075000611366704,-18.075000611366704,0.0
4,-24.141667554038577,-24.141667554038577,-24.141667554038577,0.0
5,-16.258333870093338,-16.258333870093338,-16.258333870093338,0.0
6,-14.991667152382433,-14.991667152382433,-14.991667152382433,0.0
7,-10.758333657014495,-10.758333657014495,-10.758333657014495,0.0
8,-12.745833735719012,-12.745833735719012,-12.745833735719012,0.0
9,-13.7875004534532,-13.7875004534532,-13.7875004534532,0.0
10,-15.09166715022487,-15.09166715022487,-15.09166715022487,0.0
11,-11.645833711139858,-11.645833711139858,-11.645833711139858,0.0
12,-17.737500667766046,-17.737500667766046,-17.737500667766046,0.0
13,-10.587500306700045,-10.587500306700045,-10.587500306700045,0.0
14,-8.537500202772208,-8.537500202772208,-8.537500202772208,0.0
15,-10.662500316354757,-10.662500316354757,-10.662500316354757,0.0
16,-13.27500040573068,-13.27500040573068,-13.27500040573068,0.0
17,-16.950000585716527,-16.950000585716527,-16.950000585716527,0.0
18,-6.045833445464571,-6.045833445464571,-6.045833445464571,0.0
19,-14.06666710631301,-14.06666710631301,-14.06666710631301,0.0
20,-13.237500423449092,-13.237500423449092,-13.237500423449092,0.0
21,-13.991667125645714,-13.991667125645714,-13.991667125645714,0.0
22,-11.600000346855571,-11.600000346855571,-11.600000346855571,0.0
23,-11.445833667142628,-11.445833667142628,-11.445833667142628,0.0
24,-9.462500284270694,-9.462500284270694,-9.462500284270694,0.0
25,-10.233333637743877,-10.233333637743877,-10.233333637743877,0.0
26,-11.2125003914504,-11.2125003914504,-11.2125003914504,0.0
27,-5.187500072138694,-5.187500072138694,-5.187500072138694,0.0
28,-8.320833546148302,-8.320833546148302,-8.320833546148302,0.0
29,-10.708333641989157,-10.708333641989157,-10.708333641989157,0.0
30,-13.108333751248816,-13.108333751248816,-13.108333751248816,0.0
31,-9.795833606117716,-9.795833606117716,-9.795833606117716,0.0
32,-10.6750002943445,-10.6750002943445,-10.6750002943445,0.0
33,-15.375000502138088,-15.375000502138088,-15.375000502138088,0.0
34,-8.333333556346284,-8.333333556346284,-8.333333556346284,0.0
35,-13.987500449138073,-13.987500449138073,-13.987500449138073,0.0
36,-15.629167231226651,-15.629167231226651,-15.629167231226651,0.0
37,-8.520833606249653,-8.520833606249653,-8.520833606249653,0.0
38,-10.654166998768536,-10.654166998768536,-10.654166998768536,0.0
39,-9.275000414267803,-9.275000414267803,-9.275000414267803,0.0
