Generation,Min,Mean,Max,Std
-1,-29.500001100823283,-24.508334232548563,-13.000000432599336,3.2891764127412486
0,-45.30000177770853,-20.458334049380696,-5.1000000555068254,8.800692426746856
1,-47.000001850537956,-22.085834123613314,-5.300000064074993,7.275364518171799
2,-30.300001135095954,-17.540833926969206,-4.100000012665987,7.762428496194912
3,-30.900001160800457,-16.42916721718696,-3.0999999698251486,8.040762601879413
4,-50.30000199191272,-14.301667117024772,-3.2999999783933163,8.821985069350362
5,-50.400001996196806,-16.88333389944552,-3.2999999783933163,10.146246321995438
6,-50.30000199191272,-15.613333846325986,-3.2999999783933163,12.008791969326575
7,-50.30000199191272,-15.13000048970959,-3.3999999826774,11.106163177993343
8,-50.20000198762864,-14.490000467421487,-3.3999999826774,10.575695070506358
9,-49.90000197477639,-14.618333799834364,-3.3999999826774,12.300942110599348
10,-47.10000185482204,-11.049166986703252,-3.2999999783933163,8.955648000120187
11,-36.15000150166452,-13.504167102160864,-3.2999999783933163,9.114267103041055
12,-49.2000019447878,-14.23500045716452,-3.2999999783933163,9.924222891306766
13,-29.750001111533493,-12.275000371263983,-3.2999999783933163,9.092866181164066
14,-47.10000185482204,-12.622500382286185,-3.2999999783933163,10.597576533978108
15,-47.000001850537956,-12.173333693800183,-3.1999999741092324,10.41129425996458
16,-29.000001079402864,-12.48000037811386,-3.2999999783933163,9.404237923175712
17,-31.300001177936792,-11.831667014428724,-3.1999999741092324,9.51542195465044
18,-29.70000110939145,-12.732500392772879,-3.2999999783933163,10.119559983427468
19,-50.70000200904906,-14.192500447613808,-3.2999999783933163,13.231537469520402
20,-50.400001996196806,-14.873333808826283,-3.1999999741092324,14.823550217684728
21,-28.60000106226653,-12.251667039507689,-3.2999999783933163,10.020246459548986
22,-29.750001111533493,-10.86666698270322,2.0999995600432158,9.81032093308045
23,-50.400001996196806,-13.847500432189554,-3.2999999783933163,14.141512857776988
24,-48.90000193193555,-10.405833630962297,-0.6500003286637366,11.669940839711339
25,-50.70000200904906,-13.428333746277106,-3.2999999783933163,12.773284406222505
26,-48.800001927651465,-9.50083359410055,5.2999995411373675,10.731661122703407
27,-47.80000188481063,-11.611667003071245,-3.2999999783933163,12.571848610535339
28,-28.300001049414277,-8.799166884513882,-3.2999999783933163,8.720228257077192
29,-50.600002004764974,-12.445833713204289,-2.1000002748332918,11.77765339311372
30,-46.50000182911754,-10.535000289635112,-3.2000000127591193,10.794425334741316
31,-31.300001177936792,-13.022500412949983,0.9999996647238731,11.062559026512233
32,-47.10000185482204,-9.780833590659313,-3.1999999741092324,10.1038449629782
33,-50.70000200904906,-11.52416701282685,0.9999995501711965,12.803240661206262
34,-50.400001996196806,-8.214166874221215,5.749999755062163,9.78611340207037
35,-50.70000200904906,-10.590833661340488,7.699999374803156,11.64078182892373
36,-50.50000200048089,-13.573333760219006,-1.500000171829015,13.321985739281233
37,-50.650002006907016,-10.798333646465714,0.9999995501711965,11.392278441130072
38,-50.600002004764974,-9.735833602903101,2.099999518599361,10.139124689942497
39,-50.600002004764974,-9.99416695565451,-2.250000165309757,10.30996361726122
