Generation,Min,Mean,Max,Std
-1,-24.141667554038577,-24.141667554038577,-24.141667554038577,0.0
0,-18.991667317304138,-18.991667317304138,-18.991667317304138,0.0
1,-18.166667288402095,-18.166667288402095,-18.166667288402095,0.0
2,-17.85833393863868,-17.85833393863868,-17.85833393863868,0.0
3,-17.354167279360507,-17.354167279360507,-17.354167279360507,0.0
4,-18.941667318382923,-18.941667318382923,-18.941667318382923,0.0
5,-19.716667361247044,-19.716667361247044,-19.716667361247044,0.0
6,-10.05416693763497,-10.05416693763497,-10.05416693763497,0.0
7,-16.654167255813565,-16.654167255813565,-16.654167255813565,0.0
8,-15.26250049409767,-15.26250049409767,-15.26250049409767,0.0
9,-11.637500338799631,-11.637500338799631,-11.637500338799631,0.0
10,-17.15000057173893,-17.15000057173893,-17.15000057173893,0.0
11,-20.26666739125115,-20.26666739125115,-20.26666739125115,0.0
12,-9.354166933412975,-9.354166933412975,-9.354166933412975,0.0
13,-16.670833890986007,-16.670833890986007,-16.670833890986007,0.0
14,-11.28750032702616,-11.28750032702616,-11.28750032702616,0.0
15,-12.812500453554094,-12.812500453554094,-12.812500453554094,0.0
16,-12.23750036128331,-12.23750036128331,-12.23750036128331,0.0
17,-10.41666696604807,-10.41666696604807,-10.41666696604807,0.0
18,-11.679167061772509,-11.679167061772509,-11.679167061772509,0.0
19,-9.08333358525609,-9.08333358525609,-9.08333358525609,0.0
20,-8.416666864262274,-8.416666864262274,-8.416666864262274,0.0
21,-11.637500335578807,-11.637500335578807,-11.637500335578807,0.0
22,-6.358333445969038,-6.358333445969038,-6.358333445969038,0.0
23,-16.31666722202984,-16.31666722202984,-16.31666722202984,0.0
24,-11.74583373796971,-11.74583373796971,-11.74583373796971,0.0
25,-8.616666917921975,-8.616666917921975,-8.616666917921975,0.0
26,-8.295833528973162,-8.295833528973162,-8.295833528973162,0.0
27,-8.750000237642476,-8.750000237642476,-8.750000237642476,0.0
28,-10.770833667212477,-10.770833667212477,-10.770833667212477,0.0
29,-5.975000125200798,-5.975000125200798,-5.975000125200798,0.0
30,-14.612500463030301,-14.612500463030301,-14.612500463030301,0.0
31,-12.583333754523968,-12.583333754523968,-12.583333754523968,0.0
32,-7.358333617642832,-7.358333617642832,-7.358333617642832,0.0
33,-14.979167180834338,-14.979167180834338,-14.979167180834338,0.0
34,-12.029167054453865,-12.029167054453865,-12.029167054453865,0.0
35,-7.679166835887979,-7.679166835887979,-7.679166835887979,0.0
36,-15.150000495719723,-15.150000495719723,-15.150000495719723,0.0
37,-19.608334052260034,-19.608334052260034,-19.608334052260034,0.0
38,-14.62500048611158,-14.62500048611158,-14.62500048611158,0.0
39,-8.67500023120859,-8.67500023120859,-8.67500023120859,0.0
