Generation,Min,Mean,Max,Std
-1,-30.900001160800457,-25.674167615827173,-3.599999991245568,4.419780450499779
0,-31.75000131316483,-21.235834094928578,-7.100000141188502,5.877358582655911
1,-49.600001961924136,-19.79166736768093,-2.600000025704503,8.159081008261937
2,-34.60000131931156,-18.677500675804914,-2.9999999655410647,8.46326618763818
3,-49.60000203922391,-19.825000702442292,-3.0500000449828804,8.082886071634455
4,-44.60000174771994,-17.871667298286532,-3.0999999698251486,9.653032648251994
5,-28.700001066550612,-16.245000548427925,-2.8000000342726707,7.898537648538063
6,-28.400001092348248,-14.612500502945235,-2.9999999655410647,8.121010256553534
7,-43.65000190027058,-15.259167169639841,-3.1000000471249223,9.515389235093444
8,-30.600001147948205,-12.569167077564634,-2.7500003026798368,9.120138789007495
9,-29.600001105107367,-14.861667157763925,-2.9999999655410647,9.92933562472835
10,-45.80000187642872,-12.25500038197885,-3.0999999698251486,9.824861343277636
11,-50.20000198762864,-12.25416704605644,-2.749999993480742,11.54680125644102
12,-29.95000112010166,-10.945000332299,-3.0999999698251486,8.633321010195928
13,-29.600001105107367,-11.935833699085439,-3.1999999741092324,9.360667653099561
14,-30.100001126527786,-10.28416695135335,-2.9999999655410647,8.899010120158634
15,-48.70000192336738,-12.960000398033298,-2.9999999655410647,11.881571679331268
16,-47.90000204369426,-11.953333697902659,-2.3000000128522515,11.689756950879687
17,-29.700001148041338,-8.045000189403073,-2.9999999655410647,8.11714116667573
18,-31.300001177936792,-8.935000226243089,-2.9999999655410647,8.925377600162662
19,-50.200002026278526,-10.431666962181529,-2.9999999655410647,11.70094052912183
20,-42.40000176941976,-9.495000252166452,-3.0500000063329935,10.045786037799042
21,-47.10000185482204,-9.10750024393977,-2.9999999655410647,10.23671470143829
22,-50.150002024136484,-11.359167012843924,-2.8999999999068677,10.942713018544609
23,-49.300001949071884,-11.566667016603363,-2.9999999655410647,11.630583989577447
24,-38.3500014799647,-10.598333639185876,-3.0999999698251486,10.351968740342487
25,-30.000001122243702,-8.222500194430662,-3.0000000428408384,8.371735671190535
26,-32.400001225061715,-7.350833492997723,-2.9500000020489097,7.866959152172889
27,-27.200001002289355,-7.970000225390929,-2.9999999655410647,7.5759942433642316
28,-41.15000159991905,-11.923333688887457,-2.9999999655410647,10.595060107444041
29,-46.65000199014321,-9.963333604275249,-2.9999999655410647,10.096232689549137
30,-50.0500020198524,-12.111667032221643,-2.9999999655410647,10.786011337608999
31,-31.100001169368625,-7.902500183298253,-2.9000000385567546,8.566317280013076
32,-48.90000193193555,-10.167500292548599,-3.0000000428408384,10.138022224181762
33,-38.150001471396536,-12.076667033943037,-2.9999999655410647,9.904142949214812
34,-49.300001949071884,-9.44583358403761,-2.600000025704503,11.156684918376529
35,-48.75000196415931,-7.9641668538951,-2.9000000385567546,10.506241032008548
36,-49.300001949071884,-10.725000317099814,-2.700000029988587,10.543420605276966
37,-47.500001871958375,-10.38250029469685,-2.849999997764826,10.237451399803534
38,-46.700001837685704,-9.686666937995081,-2.500000098720193,10.450235172898175
39,-30.850001158658415,-10.720000312997339,-1.850000070873648,9.902046513264171
