Generation,Min,Mean,Max,Std
-1,-20.725000766765636,-20.725000766765636,-20.725000766765636,0.0
0,-23.687500855031733,-23.687500855031733,-23.687500855031733,0.0
1,-17.666667263760854,-17.666667263760854,-17.666667263760854,0.0
2,-19.8166673623103,-19.8166673623103,-19.8166673623103,0.0
3,-17.833333966555074,-17.833333966555074,-17.833333966555074,0.0
4,-19.125000675674528,-19.125000675674528,-19.125000675674528,0.0
5,-16.750000567485888,-16.750000567485888,-16.750000567485888,0.0
6,-18.050000619958155,-18.050000619958155,-18.050000619958155,0.0
7,-15.995833874951737,-15.995833874951737,-15.995833874951737,0.0
8,-15.812500524101779,-15.812500524101779,-15.812500524101779,0.0
9,-11.562500332365744,-11.562500332365744,-11.562500332365744,0.0
10,-12.950000404690703,-12.950000404690703,-12.950000404690703,0.0
11,-11.779167021197887,-11.779167021197887,-11.779167021197887,0.0
12,-9.979166950526027,-9.979166950526027,-9.979166950526027,0.0
13,-15.695833858878663,-15.695833858878663,-15.695833858878663,0.0
14,-8.28333354454177,-8.28333354454177,-8.28333354454177,0.0
15,-10.704166981585635,-10.704166981585635,-10.704166981585635,0.0
16,-4.1083334300977485,-4.1083334300977485,-4.1083334300977485,0.0
17,-11.937500370976826,-11.937500370976826,-11.937500370976826,0.0
18,-8.279166877696602,-8.279166877696602,-8.279166877696602,0.0
19,-9.708333589485846,-9.708333589485846,-9.708333589485846,0.0
20,-7.1416668482900905,-7.1416668482900905,-7.1416668482900905,0.0
21,-9.829166950541548,-9.829166950541548,-9.829166950541548,0.0
22,-6.633333460971092,-6.633333460971092,-6.633333460971092,0.0
23,-16.16250054553772,-16.16250054553772,-16.16250054553772,0.0
24,-12.25416704476811,-12.25416704476811,-12.25416704476811,0.0
25,-7.775000189431012,-7.775000189431012,-7.775000189431012,0.0
26,-7.425000155111775,-7.425000155111775,-7.425000155111775,0.0
27,-11.295833657495677,-11.295833657495677,-11.295833657495677,0.0
28,-6.2708334486621125,-6.2708334486621125,-6.2708334486621125,0.0
29,-16.025000533205457,-16.025000533205457,-16.025000533205457,0.0
30,-9.941666965023614,-9.941666965023614,-9.941666965023614,0.0
31,-7.937500180288528,-7.937500180288528,-7.937500180288528,0.0
32,-10.891666970293349,-10.891666970293349,-10.891666970293349,0.0
33,-11.175000351193981,-11.175000351193981,-11.175000351193981,0.0
34,-10.79583367150432,-10.79583367150432,-10.79583367150432,0.0
35,-8.720833579388758,-8.720833579388758,-8.720833579388758,0.0
36,-14.00416711329793,-14.00416711329793,-14.00416711329793,0.0
37,-9.83333361094507,-9.83333361094507,-9.83333361094507,0.0
38,-10.88750031311065,-10.88750031311065,-10.88750031311065,0.0
39,-10.850000317945765,-10.850000317945765,-10.850000317945765,0.0
