Generation,Min,Mean,Max,Std
-1,-24.570834226207808,-24.570834226207808,-24.570834226207808,0.0
0,-22.420834143762477,-22.420834143762477,-22.420834143762477,0.0
1,-19.0666673334005,-19.0666673334005,-19.0666673334005,0.0
2,-19.737500711577013,-19.737500711577013,-19.737500711577013,0.0
3,-18.962500720013242,-18.962500720013242,-18.962500720013242,0.0
4,-13.845833786064759,-13.845833786064759,-13.845833786064759,0.0
5,-15.0208338170778,-15.0208338170778,-15.0208338170778,0.0
6,-15.266667199592726,-15.266667199592726,-15.266667199592726,0.0
7,-14.86250047374051,-14.86250047374051,-14.86250047374051,0.0
8,-15.112500510217311,-15.112500510217311,-15.112500510217311,0.0
9,-10.629167033126578,-10.629167033126578,-10.629167033126578,0.0
10,-12.150000386522152,-12.150000386522152,-12.150000386522152,0.0
11,-10.158333628089167,-10.158333628089167,-10.158333628089167,0.0
12,-10.491666972481957,-10.491666972481957,-10.491666972481957,0.0
13,-9.61666691567128,-9.61666691567128,-9.61666691567128,0.0
14,-9.27500023758815,-9.27500023758815,-9.27500023758815,0.0
15,-11.13333368274228,-11.13333368274228,-11.13333368274228,0.0
16,-10.45833365060389,-10.45833365060389,-10.45833365060389,0.0
17,-14.229167119716294,-14.229167119716294,-14.229167119716294,0.0
18,-8.704166876579015,-8.704166876579015,-8.704166876579015,0.0
19,-13.850000430364162,-13.850000430364162,-13.850000430364162,0.0
20,-9.979166956967674,-9.979166956967674,-9.979166956967674,0.0
21,-15.287500517714458,-15.287500517714458,-15.287500517714458,0.0
22,-13.675000422867015,-13.675000422867015,-13.675000422867015,0.0
23,-11.05833368919169,-11.05833368919169,-11.05833368919169,0.0
24,-8.60416687229493,-8.60416687229493,-8.60416687229493,0.0
25,-10.200000277215926,-10.200000277215926,-10.200000277215926,0.0
26,-7.508333562873304,-7.508333562873304,-7.508333562873304,0.0
27,-5.758333429927006,-5.758333429927006,-5.758333429927006,0.0
28,-6.441666811859856,-6.441666811859856,-6.441666811859856,0.0
29,-15.704167189348178,-15.704167189348178,-15.704167189348178,0.0
30,-8.858333585279373,-8.858333585279373,-8.858333585279373,0.0
31,-10.279166966599101,-10.279166966599101,-10.279166966599101,0.0
32,-10.770833660770828,-10.770833660770828,-10.770833660770828,0.0
33,-8.033333520948267,-8.033333520948267,-8.033333520948267,0.0
34,-5.091666734699781,-5.091666734699781,-5.091666734699781,0.0
35,-9.279166917316616,-9.279166917316616,-9.279166917316616,0.0
36,-12.066667046397924,-12.066667046397924,-12.066667046397924,0.0
37,-9.47916693876808,-9.47916693876808,-9.47916693876808,0.0
38,-8.845833549314799,-8.845833549314799,-8.845833549314799,0.0
39,-7.370833515111978,-7.370833515111978,-7.370833515111978,0.0
