Generation,Min,Mean,Max,Std
-1,-23.82083420373965,-23.82083420373965,-23.82083420373965,0.0
0,-19.5416673408666,-19.5416673408666,-19.5416673408666,0.0
1,-18.887500694487244,-18.887500694487244,-18.887500694487244,0.0
2,-20.91250075547335,-20.91250075547335,-20.91250075547335,0.0
3,-16.945833918871358,-16.945833918871358,-16.945833918871358,0.0
4,-15.829167207586579,-15.829167207586579,-15.829167207586579,0.0
5,-16.979167240749423,-16.979167240749423,-16.979167240749423,0.0
6,-12.229167075905329,-12.229167075905329,-12.229167075905329,0.0
7,-14.275000455013165,-14.275000455013165,-14.275000455013165,0.0
8,-15.754167207477925,-15.754167207477925,-15.754167207477925,0.0
9,-12.666667046335837,-12.666667046335837,-12.666667046335837,0.0
10,-15.412500568161098,-15.412500568161098,-15.412500568161098,0.0
11,-16.862500591630425,-16.862500591630425,-16.862500591630425,0.0
12,-11.366667006746866,-11.366667006746866,-11.366667006746866,0.0
13,-9.766666963968115,-9.766666963968115,-9.766666963968115,0.0
14,-10.125000299769454,-10.125000299769454,-10.125000299769454,0.0
15,-14.3666671513735,-14.3666671513735,-14.3666671513735,0.0
16,-13.78333380271215,-13.78333380271215,-13.78333380271215,0.0
17,-11.258333665551618,-11.258333665551618,-11.258333665551618,0.0
18,-15.53333385513785,-15.53333385513785,-15.53333385513785,0.0
19,-12.637500397744589,-12.637500397744589,-12.637500397744589,0.0
20,-9.37916697957553,-9.37916697957553,-9.37916697957553,0.0
21,-15.791667189875929,-15.791667189875929,-15.791667189875929,0.0
22,-9.237500284293978,-9.237500284293978,-9.237500284293978,0.0
23,-10.500000348043008,-10.500000348043008,-10.500000348043008,0.0
24,-7.720833555872862,-7.720833555872862,-7.720833555872862,0.0
25,-15.012500480166636,-15.012500480166636,-15.012500480166636,0.0
26,-20.42083415136828,-20.42083415136828,-20.42083415136828,0.0
27,-10.991667035773085,-10.991667035773085,-10.991667035773085,0.0
28,-8.72916692274157,-8.72916692274157,-8.72916692274157,0.0
29,-18.22916731684624,-18.22916731684624,-18.22916731684624,0.0
30,-7.8666669403125224,-7.8666669403125224,-7.8666669403125224,0.0
31,-10.7625003689512,-10.7625003689512,-10.7625003689512,0.0
32,-14.062500468455255,-14.062500468455255,-14.062500468455255,0.0
33,-12.462500387026617,-12.462500387026617,-12.462500387026617,0.0
34,-10.77916702022776,-10.77916702022776,-10.77916702022776,0.0
35,-8.687500209198333,-8.687500209198333,-8.687500209198333,0.0
36,-11.270833662866304,-11.270833662866304,-11.270833662866304,0.0
37,-19.545834174961783,-19.545834174961783,-19.545834174961783,0.0
38,-11.050000361826582,-11.050000361826582,-11.050000361826582,0.0
39,-11.708333691271642,-11.708333691271642,-11.708333691271642,0.0
