Generation,Min,Mean,Max,Std
-1,-23.520834187666576,-23.520834187666576,-23.520834187666576,0.0
0,-23.520834187666576,-23.520834187666576,-23.520834187666576,0.0
1,-16.65000055676016,-16.65000055676016,-16.65000055676016,0.0
2,-15.741667210163238,-15.741667210163238,-15.741667210163238,0.0
3,-15.741667210163238,-15.741667210163238,-15.741667210163238,0.0
4,-15.350000507508716,-15.350000507508716,-15.350000507508716,0.0
5,-15.350000507508716,-15.350000507508716,-15.350000507508716,0.0
6,-15.350000507508716,-15.350000507508716,-15.350000507508716,0.0
7,-11.437500394647941,-11.437500394647941,-11.437500394647941,0.0
8,-11.437500394647941,-11.437500394647941,-11.437500394647941,0.0
9,-11.437500394647941,-11.437500394647941,-11.437500394647941,0.0
10,-11.437500394647941,-11.437500394647941,-11.437500394647941,0.0
11,-11.437500394647941,-11.437500394647941,-11.437500394647941,0.0
12,-11.437500394647941,-11.437500394647941,-11.437500394647941,0.0
13,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
14,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
15,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
16,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
17,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
18,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
19,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
20,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
21,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
22,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
23,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
24,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
25,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
26,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
27,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
28,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
29,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
30,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
31,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
32,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
33,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
34,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
35,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
36,-6.137500109616667,-6.137500109616667,-6.137500109616667,0.0
37,-6.100000124114255,-6.100000124114255,-6.100000124114255,0.0
38,-6.100000124114255,-6.100000124114255,-6.100000124114255,0.0
39,-6.100000124114255,-6.100000124114255,-6.100000124114255,0.0
