Generation,Min,Mean,Max,Std
-1,-25.162500937546913,-25.162500937546913,-25.162500937546913,0.0
0,-20.02500071101046,-20.02500071101046,-20.02500071101046,0.0
1,-21.233334086447332,-21.233334086447332,-21.233334086447332,0.0
2,-19.57083403454938,-19.57083403454938,-19.57083403454938,0.0
3,-17.03333392906158,-17.03333392906158,-17.03333392906158,0.0
4,-14.32916713366285,-14.32916713366285,-14.32916713366285,0.0
5,-14.341667156744128,-14.341667156744128,-14.341667156744128,0.0
6,-15.450000527896918,-15.450000527896918,-15.450000527896918,0.0
7,-13.950000499064723,-13.950000499064723,-13.950000499064723,0.0
8,-15.075000489285836,-15.075000489285836,-15.075000489285836,0.0
9,-10.67916697729379,-10.67916697729379,-10.67916697729379,0.0
10,-12.037500352715142,-12.037500352715142,-12.037500352715142,0.0
11,-20.012500700812478,-20.012500700812478,-20.012500700812478,0.0
12,-16.608333907633398,-16.608333907633398,-16.608333907633398,0.0
13,-9.3333335959663,-9.3333335959663,-9.3333335959663,0.0
14,-11.050000320072286,-11.050000320072286,-11.050000320072286,0.0
15,-11.191666986366423,-11.191666986366423,-11.191666986366423,0.0
16,-14.770833816030063,-14.770833816030063,-14.770833816030063,0.0
17,-9.770833588942574,-9.770833588942574,-9.770833588942574,0.0
18,-10.212500274530612,-10.212500274530612,-10.212500274530612,0.0
19,-14.875000474276021,-14.875000474276021,-14.875000474276021,0.0
20,-12.008333726669662,-12.008333726669662,-12.008333726669662,0.0
21,-16.529167234354343,-16.529167234354343,-16.529167234354343,0.0
22,-12.116667074306557,-12.116667074306557,-12.116667074306557,0.0
23,-14.07083377315818,-14.07083377315818,-14.07083377315818,0.0
24,-14.037500444838466,-14.037500444838466,-14.037500444838466,0.0
25,-11.120833656440178,-11.120833656440178,-11.120833656440178,0.0
26,-9.241666925372556,-9.241666925372556,-9.241666925372556,0.0
27,-7.008333515569878,-7.008333515569878,-7.008333515569878,0.0
28,-10.1750002890282,-10.1750002890282,-10.1750002890282,0.0
29,-12.666667101089843,-12.666667101089843,-12.666667101089843,0.0
30,-13.412500427725414,-13.412500427725414,-13.412500427725414,0.0
31,-8.195833563338965,-8.195833563338965,-8.195833563338965,0.0
32,-14.870833881509801,-14.870833881509801,-14.870833881509801,0.0
33,-9.620833675920343,-9.620833675920343,-9.620833675920343,0.0
34,-12.429167036161138,-12.429167036161138,-12.429167036161138,0.0
35,-9.33750027247394,-9.33750027247394,-9.33750027247394,0.0
36,-9.970833623277334,-9.970833623277334,-9.970833623277334,0.0
37,-13.804167146600472,-13.804167146600472,-13.804167146600472,0.0
38,-13.029167106957175,-13.029167106957175,-13.029167106957175,0.0
39,-10.583333633413227,-10.583333633413227,-10.583333633413227,0.0
