Generation,Min,Mean,Max,Std
-1,-23.61250087436444,-23.61250087436444,-23.61250087436444,0.0
0,-26.204167648839455,-26.204167648839455,-26.204167648839455,0.0
1,-19.745834022721585,-19.745834022721585,-19.745834022721585,0.0
2,-17.7041672943548,-17.7041672943548,-17.7041672943548,0.0
3,-22.170834120168973,-22.170834120168973,-22.170834120168973,0.0
4,-17.51250059371038,-17.51250059371038,-17.51250059371038,0.0
5,-10.24583363183774,-10.24583363183774,-10.24583363183774,0.0
6,-18.93333398147176,-18.93333398147176,-18.93333398147176,0.0
7,-17.516667257334728,-17.516667257334728,-17.516667257334728,0.0
8,-12.545833711046726,-12.545833711046726,-12.545833711046726,0.0
9,-19.63750069118881,-19.63750069118881,-19.63750069118881,0.0
10,-16.954167242899228,-16.954167242899228,-16.954167242899228,0.0
11,-18.066667287338834,-18.066667287338834,-18.066667287338834,0.0
12,-12.562500391310701,-12.562500391310701,-12.562500391310701,0.0
13,-7.945833549407932,-7.945833549407932,-7.945833549407932,0.0
14,-15.945833872809695,-15.945833872809695,-15.945833872809695,0.0
15,-16.187500549829565,-16.187500549829565,-16.187500549829565,0.0
16,-12.625000458288318,-12.625000458288318,-12.625000458288318,0.0
17,-10.025000279381251,-10.025000279381251,-10.025000279381251,0.0
18,-16.71250055299606,-16.71250055299606,-16.71250055299606,0.0
19,-9.262500253156759,-9.262500253156759,-9.262500253156759,0.0
20,-8.854166886225963,-8.854166886225963,-8.854166886225963,0.0
21,-21.18333408430529,-21.18333408430529,-21.18333408430529,0.0
22,-11.320833665008346,-11.320833665008346,-11.320833665008346,0.0
23,-12.366667081795944,-12.366667081795944,-12.366667081795944,0.0
24,-15.145833832095377,-15.145833832095377,-15.145833832095377,0.0
25,-12.445833703541817,-12.445833703541817,-12.445833703541817,0.0
26,-9.941666929594552,-9.941666929594552,-9.941666929594552,0.0
27,-8.462500257533975,-8.462500257533975,-8.462500257533975,0.0
28,-12.062500357006988,-12.062500357006988,-12.062500357006988,0.0
29,-12.675000386467824,-12.675000386467824,-12.675000386467824,0.0
30,-6.087500146124512,-6.087500146124512,-6.087500146124512,0.0
31,-10.912500307740023,-10.912500307740023,-10.912500307740023,0.0
32,-14.004167132622873,-14.004167132622873,-14.004167132622873,0.0
33,-15.579167235526256,-15.579167235526256,-15.579167235526256,0.0
34,-12.16250037739519,-12.16250037739519,-12.16250037739519,0.0
35,-9.77083366290511,-9.77083366290511,-9.77083366290511,0.0
36,-8.204166855158595,-8.204166855158595,-8.204166855158595,0.0
37,-16.50833390012849,-16.50833390012849,-16.50833390012849,0.0
38,-11.041666989602769,-11.041666989602769,-11.041666989602769,0.0
39,-9.679167018077957,-9.679167018077957,-9.679167018077957,0.0
