Generation,Min,Mean,Max,Std
-1,-10.250000276137143,-6.320833444362506,-3.6999999955296516,2.1428621109150434
0,-8.050000181887299,-3.995833341536733,-3.1999999741092324,1.242721920307212
1,-3.6999999955296516,-2.77083337912336,1.149999595247209,1.4383812376891412
2,-3.599999991245568,-2.745833378052339,1.149999595247209,1.4268931003941596
3,-3.499999986961484,-2.3583333936597533,3.0999996387399733,2.055970161391387
4,-3.3999999826774,-2.029166748203958,3.0999996387399733,2.2118484560540312
5,-3.3999999826774,-1.975000088995633,3.0999996387399733,2.245133445640736
6,-3.2999999783933163,-1.854166763368994,3.0999996387399733,2.203827773396601
7,-3.2999999783933163,-1.8500000835241128,3.0999996387399733,2.209732095395307
8,-3.2999999783933163,-1.8166667519835755,3.0999996387399733,2.1893998037655713
9,-3.2999999783933163,-1.8083334182932351,3.0999996387399733,2.183921511452227
10,-3.1999999741092324,-1.300000111378419,4.04999960353598,2.710242732613651
11,-3.1999999741092324,-0.6875001235554615,10.449999492615461,4.106352863836293
12,-3.1999999741092324,-0.4583334568499898,10.449999492615461,4.275746974040312
13,-3.1999999741092324,-0.45000012960129726,10.449999492615461,4.270489628274262
14,-3.1999999741092324,-0.38750013324897736,10.449999492615461,4.325800566917129
15,-3.1999999741092324,-0.38750012680732954,10.449999492615461,4.325800562877884
16,-3.1999999741092324,-0.2333334565240269,10.449999492615461,4.480621688811937
17,-3.1999999741092324,-0.2333334565240269,10.449999492615461,4.480621688811937
18,-3.1999999741092324,-0.1083334704938655,10.449999492615461,4.6347792648248065
19,-3.1999999741092324,-0.1083334576105699,10.449999492615461,4.634779256786841
20,-3.1999999741092324,-0.10000013036187738,10.449999492615461,4.629299613252887
21,-3.1999999741092324,-0.10000013036187738,10.449999492615461,4.629299613252887
22,-3.1999999741092324,-0.10000012392022957,10.449999492615461,4.629299609078402
23,-3.1999999741092324,-0.07500012607003252,10.449999492615461,4.6607177383551806
24,-3.1999999741092324,0.34999982139561325,10.449999492615461,4.602218457105868
25,-3.1999999741092324,0.35833314864430577,10.449999492615461,4.596050332640295
26,-3.0999999698251486,0.6333330993462974,10.449999492615461,4.446737069150407
27,-3.0999999698251486,0.7416664179957783,10.449999492615461,4.568772120557809
28,-3.0999999698251486,0.7624997457799813,10.449999492615461,4.5522027929502205
29,-3.0999999698251486,0.7624997457799813,10.449999492615461,4.5522027929502205
30,-3.0999999698251486,0.9541663852287456,10.449999492615461,4.417411312099993
31,-3.0999999698251486,1.2083330661213647,10.449999492615461,4.37077554117584
32,-3.0999999698251486,1.4541663971031085,10.449999492615461,4.684836096186655
33,-3.0999999698251486,1.4541663971031085,10.449999492615461,4.684836096186655
34,-2.9999999655410647,2.3124996771415076,20.099998941179365,6.55601238897353
35,-2.6999999913387,2.3583330089847245,20.099998941179365,6.531903271309987
36,-2.6999999913387,3.8666662914523235,20.099998941179365,7.705228799822297
37,-2.6999999913387,4.758332925693442,20.399999148678035,8.861099895314721
38,-2.6999999913387,6.104166223279511,20.399999148678035,9.29929303462179
39,-2.6999999913387,8.754166147361198,21.14999910350889,9.744559183935856
