Generation,Min,Mean,Max,Std
-1,-24.550000891981956,-24.550000891981956,-24.550000891981956,0.0
0,-22.712500826145213,-22.712500826145213,-22.712500826145213,0.0
1,-19.02500065850715,-19.02500065850715,-19.02500065850715,0.0
2,-18.679167326462146,-18.679167326462146,-18.679167326462146,0.0
3,-18.48333396219338,-18.48333396219338,-18.48333396219338,0.0
4,-17.925000617823873,-17.925000617823873,-17.925000617823873,0.0
5,-14.95416717332167,-14.95416717332167,-14.95416717332167,0.0
6,-18.7000006478047,-18.7000006478047,-18.7000006478047,0.0
7,-16.120833889969315,-16.120833889969315,-16.120833889969315,0.0
8,-10.795833632854434,-10.795833632854434,-10.795833632854434,0.0
9,-21.36666742549278,-21.36666742549278,-21.36666742549278,0.0
10,-19.516667384887114,-19.516667384887114,-19.516667384887114,0.0
11,-11.983333709494522,-11.983333709494522,-11.983333709494522,0.0
12,-12.491667048501162,-12.491667048501162,-12.491667048501162,0.0
13,-11.312500331318006,-11.312500331318006,-11.312500331318006,0.0
14,-14.304167148579532,-14.304167148579532,-14.304167148579532,0.0
15,-11.270833656424657,-11.270833656424657,-11.270833656424657,0.0
16,-12.937500439584255,-12.937500439584255,-12.937500439584255,0.0
17,-12.662500411698906,-12.662500411698906,-12.662500411698906,0.0
18,-13.879167101501176,-13.879167101501176,-13.879167101501176,0.0
19,-14.241667120251805,-14.241667120251805,-14.241667120251805,0.0
20,-8.133333538115645,-8.133333538115645,-8.133333538115645,0.0
21,-8.704166895903958,-8.704166895903958,-8.704166895903958,0.0
22,-6.6666668182782205,-6.6666668182782205,-6.6666668182782205,0.0
23,-10.316666945659867,-10.316666945659867,-10.316666945659867,0.0
24,-8.833333577766703,-8.833333577766703,-8.833333577766703,0.0
25,-9.329166909796186,-9.329166909796186,-9.329166909796186,0.0
26,-9.141666937192591,-9.141666937192591,-9.141666937192591,0.0
27,-10.070833608236475,-10.070833608236475,-10.070833608236475,0.0
28,-8.900000289160138,-8.900000289160138,-8.900000289160138,0.0
29,-12.12500038545113,-12.12500038545113,-12.12500038545113,0.0
30,-12.295833716440635,-12.295833716440635,-12.295833716440635,0.0
31,-11.929167030844837,-11.929167030844837,-11.929167030844837,0.0
32,-13.47083376677862,-13.47083376677862,-13.47083376677862,0.0
33,-11.429167035191009,-11.429167035191009,-11.429167035191009,0.0
34,-11.762500376362974,-11.762500376362974,-11.762500376362974,0.0
35,-7.116666827894126,-7.116666827894126,-7.116666827894126,0.0
36,-16.025000529984634,-16.025000529984634,-16.025000529984634,0.0
37,-7.82916683909328,-7.82916683909328,-7.82916683909328,0.0
38,-9.954167026638364,-9.954167026638364,-9.954167026638364,0.0
39,-13.85833378660027,-13.85833378660027,-13.85833378660027,0.0
