Generation,Min,Mean,Max,Std
-1,-30.50000114366412,-24.37833423790677,-5.000000051222742,4.696766515529771
0,-29.450001137331128,-21.051667433255354,-3.300000017043203,7.182258343397857
1,-50.150002024136484,-19.755834059223222,-3.3999999826774,7.875580151478396
2,-29.500001100823283,-16.375833916974564,-3.2999999783933163,6.928302681406967
3,-29.90000111795962,-17.715000640988972,-3.2999999783933163,6.482362861710422
4,-46.85000196006149,-16.997500604499752,-0.3000001977197826,7.978551907907583
5,-46.700001837685704,-15.236667193154183,-1.700000103097409,8.507682496024069
6,-47.10000200942159,-13.402500436315313,-2.9000000385567546,9.40599329300334
7,-47.60000206949189,-14.275833811548848,-3.1999999741092324,10.402598259428295
8,-46.50000190641731,-13.096667090523988,0.2999997893348336,10.893587513675577
9,-37.60000164108351,-11.820000368519686,-2.400000094436109,8.938359687124457
10,-47.95000208448619,-13.715000442617262,-3.150000049266964,10.702287223330542
11,-49.70000196620822,-12.773333765217103,0.899999737739563,11.450526226063033
12,-46.70000210823491,-13.932500466750934,-3.0999999698251486,10.153451551308398
13,-47.2500020544976,-10.686666976303483,-3.1999999741092324,9.528172985981056
14,-47.700001957826316,-14.126667124343415,-2.9999999655410647,11.904164594470632
15,-41.80000209156424,-9.713333601295016,-3.1000000471249223,8.62535481914245
16,-29.20000108797103,-10.955833653236429,-2.700000029988587,8.916894890864196
17,-46.50000182911754,-13.033333762207379,-3.0081719160079956e-07,11.317677167603959
18,-29.600001105107367,-9.738333593991895,-2.9999999655410647,8.734607630089656
19,-45.90000180341303,-12.994167075182,-2.899999961256981,11.026314050103618
20,-45.65000194730237,-11.924167030630633,-3.0999999698251486,10.350723025007746
21,-48.200001979246736,-9.987500281639708,-1.4500000923871994,10.231327441373532
22,-49.2000019447878,-11.77583369158674,-2.500000021420419,10.220080726410487
23,-48.30000206083059,-9.762500264914706,-2.849999997764826,9.834767098344201
24,-38.55000148853287,-11.490833677421325,-2.550000062212348,9.925520950905419
25,-48.400002103764564,-12.1016670491624,-0.3500001998618245,10.89527074278327
26,-44.45000174129382,-8.734166892035864,-0.6000001332722604,9.822786394907391
27,-49.700002004858106,-8.190000215584101,0.09999985806643963,9.213820634396699
28,-49.75000200700015,-11.213333662979615,-1.9000000730156898,10.58570176727018
29,-49.70000196620822,-11.229167016937087,-0.8000001031905413,11.773064017848203
30,-49.20000209938735,-13.060000417109888,-1.4500001310370862,11.092899107487955
31,-49.90000197477639,-12.052500377836017,-1.1000001160427928,10.839282515098756
32,-50.100001983344555,-10.408333625271917,-2.799999956972897,10.66661569639524
33,-50.30000199191272,-11.63333369512111,-0.5500001697801054,12.347772485244183
34,-49.300001949071884,-11.40333368271434,-0.10000030510127544,11.239339363714063
35,-48.90000200923532,-12.010833734436892,-1.2000001203268766,12.206836364830046
36,-50.100001983344555,-13.211667104468992,-1.0500001139007509,12.117578542189921
37,-49.600001961924136,-11.790833703824319,0.19999978505074978,12.03223670281689
38,-49.10000201780349,-9.582500280393287,0.699999806471169,10.498654437917333
39,-48.20000190194696,-10.472500297264196,-2.4000000171363354,10.171383603955734
