Generation,Min,Mean,Max,Std
-1,-22.150000821372185,-22.150000821372185,-22.150000821372185,0.0
0,-19.433334025437944,-19.433334025437944,-19.433334025437944,0.0
1,-24.42500088662685,-24.42500088662685,-24.42500088662685,0.0
2,-19.01250066763411,-19.01250066763411,-19.01250066763411,0.0
3,-19.85416735425436,-19.85416735425436,-19.85416735425436,0.0
4,-16.51250057341531,-16.51250057341531,-16.51250057341531,0.0
5,-18.191667312018883,-18.191667312018883,-18.191667312018883,0.0
6,-13.929167100422395,-13.929167100422395,-13.929167100422395,0.0
7,-10.604166957976608,-10.604166957976608,-10.604166957976608,0.0
8,-10.745833633933216,-10.745833633933216,-10.745833633933216,0.0
9,-14.770833812809238,-14.770833812809238,-14.770833812809238,0.0
10,-10.012500285287388,-10.012500285287388,-10.012500285287388,0.0
11,-5.758333442810302,-5.758333442810302,-5.758333442810302,0.0
12,-8.62916688947007,-8.62916688947007,-8.62916688947007,0.0
13,-13.454167080072997,-13.454167080072997,-13.454167080072997,0.0
14,-15.587500543450005,-15.587500543450005,-15.587500543450005,0.0
15,-13.341667094578346,-13.341667094578346,-13.341667094578346,0.0
16,-7.695833503268659,-7.695833503268659,-7.695833503268659,0.0
17,-9.04583357720791,-9.04583357720791,-9.04583357720791,0.0
18,-5.770833420800045,-5.770833420800045,-5.770833420800045,0.0
19,-12.141667023844397,-12.141667023844397,-12.141667023844397,0.0
20,-8.883333554142155,-8.883333554142155,-8.883333554142155,0.0
21,-4.625000057703194,-4.625000057703194,-4.625000057703194,0.0
22,-12.766667069944864,-12.766667069944864,-12.766667069944864,0.0
23,-8.500000223711444,-8.500000223711444,-8.500000223711444,0.0
24,-11.183333662338555,-11.183333662338555,-11.183333662338555,0.0
25,-4.350000039480316,-4.350000039480316,-4.350000039480316,0.0
26,-11.300000327561671,-11.300000327561671,-11.300000327561671,0.0
27,-6.383333443819235,-6.383333443819235,-6.383333443819235,0.0
28,-9.616666934996223,-9.616666934996223,-9.616666934996223,0.0
29,-13.533333804885237,-13.533333804885237,-13.533333804885237,0.0
30,-18.100000644645963,-18.100000644645963,-18.100000644645963,0.0
31,-8.316666895407252,-8.316666895407252,-8.316666895407252,0.0
32,-11.304167000848489,-11.304167000848489,-11.304167000848489,0.0
33,-6.833333498526675,-6.833333498526675,-6.833333498526675,0.0
34,-12.783333766312959,-12.783333766312959,-12.783333766312959,0.0
35,-10.24166694888845,-10.24166694888845,-10.24166694888845,0.0
36,-12.362500376300886,-12.362500376300886,-12.362500376300886,0.0
37,-13.762500433057236,-13.762500433057236,-13.762500433057236,0.0
38,-13.800000431442944,-13.800000431442944,-13.800000431442944,0.0
39,-9.070833613707995,-9.070833613707995,-9.070833613707995,0.0
