Generation,Min,Mean,Max,Std
-1,-24.033334199960034,-24.033334199960034,-24.033334199960034,0.0
0,-15.40000051287158,-15.40000051287158,-15.40000051287158,0.0
1,-20.70000076891544,-20.70000076891544,-20.70000076891544,0.0
2,-13.570833793608472,-13.570833793608472,-13.570833793608472,0.0
3,-4.6500000491117435,-4.6500000491117435,-4.6500000491117435,0.0
4,-10.754167032040035,-10.754167032040035,-10.754167032040035,0.0
5,-8.2583336175497,-8.2583336175497,-8.2583336175497,0.0
6,-11.79166706992934,-11.79166706992934,-11.79166706992934,0.0
7,-7.287500264937989,-7.287500264937989,-7.287500264937989,0.0
8,-10.400000372629924,-10.400000372629924,-10.400000372629924,0.0
9,-15.679167239693925,-15.679167239693925,-15.679167239693925,0.0
10,-9.52500029959871,-9.52500029959871,-9.52500029959871,0.0
11,-15.241667253159298,-15.241667253159298,-15.241667253159298,0.0
12,-5.083333581142749,-5.083333581142749,-5.083333581142749,0.0
13,-17.104167435434647,-17.104167435434647,-17.104167435434647,0.0
14,-10.73333383561112,-10.73333383561112,-10.73333383561112,0.0
15,-12.387500592585033,-12.387500592585033,-12.387500592585033,0.0
16,-10.116667097667232,-10.116667097667232,-10.116667097667232,0.0
17,-10.300000458528908,-10.300000458528908,-10.300000458528908,0.0
18,-17.220834145865712,-17.220834145865712,-17.220834145865712,0.0
19,-10.80000046636754,-10.80000046636754,-10.80000046636754,0.0
20,-6.733333699676829,-6.733333699676829,-6.733333699676829,0.0
21,-8.40416715934407,-8.40416715934407,-8.40416715934407,0.0
22,-14.33750065691614,-14.33750065691614,-14.33750065691614,0.0
23,-7.625000574432003,-7.625000574432003,-7.625000574432003,0.0
24,-11.733334000377605,-11.733334000377605,-11.733334000377605,0.0
25,-3.1875002595285573,-3.1875002595285573,-3.1875002595285573,0.0
26,-13.354167310559811,-13.354167310559811,-13.354167310559811,0.0
27,-8.158333904963607,-8.158333904963607,-8.158333904963607,0.0
28,-10.837500654898273,-10.837500654898273,-10.837500654898273,0.0
29,-12.687500608774522,-12.687500608774522,-12.687500608774522,0.0
30,-10.770833882309185,-10.770833882309185,-10.770833882309185,0.0
31,-3.079166998853907,-3.079166998853907,-3.079166998853907,0.0
32,-11.325000370386988,-11.325000370386988,-11.325000370386988,0.0
33,-4.991667151179475,-4.991667151179475,-4.991667151179475,0.0
34,-6.5166670978069305,-6.5166670978069305,-6.5166670978069305,0.0
35,-7.037500318644258,-7.037500318644258,-7.037500318644258,0.0
36,-4.387500419747084,-4.387500419747084,-4.387500419747084,0.0
37,-8.558333807081604,-8.558333807081604,-8.558333807081604,0.0
38,-15.333333978390632,-15.333333978390632,-15.333333978390632,0.0
39,-10.291667349248504,-10.291667349248504,-10.291667349248504,0.0
