Generation,Min,Mean,Max,Std
-1,-23.200000869575888,-23.200000869575888,-23.200000869575888,0.0
0,-16.666667220920015,-16.666667220920015,-16.666667220920015,0.0
1,-13.595833768912902,-13.595833768912902,-13.595833768912902,0.0
2,-14.658333824093765,-14.658333824093765,-14.658333824093765,0.0
3,-9.079166915190095,-9.079166915190095,-9.079166915190095,0.0
4,-8.854166895888435,-8.854166895888435,-8.854166895888435,0.0
5,-14.808333827299066,-14.808333827299066,-14.808333827299066,0.0
6,-13.354167107997151,-13.354167107997151,-13.354167107997151,0.0
7,-6.708333470625803,-6.708333470625803,-6.708333470625803,0.0
8,-9.812500312148282,-9.812500312148282,-9.812500312148282,0.0
9,-15.933333865832537,-15.933333865832537,-15.933333865832537,0.0
10,-15.837500538056096,-15.837500538056096,-15.837500538056096,0.0
11,-11.379167020165672,-11.379167020165672,-11.379167020165672,0.0
12,-4.970833425177261,-4.970833425177261,-4.970833425177261,0.0
13,-12.325000368252708,-12.325000368252708,-12.325000368252708,0.0
14,-12.604167046879107,-12.604167046879107,-12.604167046879107,0.0
15,-6.462500129981588,-6.462500129981588,-6.462500129981588,0.0
16,-7.1916668343280135,-7.1916668343280135,-7.1916668343280135,0.0
17,-8.725000220467336,-8.725000220467336,-8.725000220467336,0.0
18,-11.812500372063369,-11.812500372063369,-11.812500372063369,0.0
19,-11.10833364946302,-11.10833364946302,-11.10833364946302,0.0
20,-11.258333684876561,-11.258333684876561,-11.258333684876561,0.0
21,-10.050000280452272,-10.050000280452272,-10.050000280452272,0.0
22,-11.887500359172313,-11.887500359172313,-11.887500359172313,0.0
23,-11.395833690767176,-11.395833690767176,-11.395833690767176,0.0
24,-10.55833365166715,-10.55833365166715,-10.55833365166715,0.0
25,-9.170833582563015,-9.170833582563015,-9.170833582563015,0.0
26,-6.645833461506602,-6.645833461506602,-6.645833461506602,0.0
27,-11.795833682136921,-11.795833682136921,-11.795833682136921,0.0
28,-9.72916694303664,-9.72916694303664,-9.72916694303664,0.0
29,-10.7291670019816,-10.7291670019816,-10.7291670019816,0.0
30,-15.895833877109302,-15.895833877109302,-15.895833877109302,0.0
31,-19.450000708922744,-19.450000708922744,-19.450000708922744,0.0
32,-13.195833787205629,-13.195833787205629,-13.195833787205629,0.0
33,-10.69583368654518,-10.69583368654518,-10.69583368654518,0.0
34,-16.466667234781198,-16.466667234781198,-16.466667234781198,0.0
35,-13.025000424007885,-13.025000424007885,-13.025000424007885,0.0
36,-15.587500524125062,-15.587500524125062,-15.587500524125062,0.0
37,-8.066666887917867,-8.066666887917867,-8.066666887917867,0.0
38,-4.620833432728735,-4.620833432728735,-4.620833432728735,0.0
39,-19.93333405640442,-19.93333405640442,-19.93333405640442,0.0
