Generation,Min,Mean,Max,Std
-1,-30.300001135095954,-27.31500104200095,-23.600001002661884,2.0164387606499514
0,-29.000001079402864,-19.994167373135376,-9.500000244006515,4.95124662678277
1,-49.40000203065574,-11.308333683083765,-3.7999999998137355,12.794303265168834
2,-49.70000196620822,-22.275000817685697,-1.000000111758709,9.358888768453966
3,-47.000001850537956,-7.987500202973994,3.449999771080911,10.222254051470898
4,-50.50000200048089,-4.7500003408485405,3.1499997968785465,12.771002734484673
5,-50.600002004764974,-7.7591669371817265,1.8000000109896064,12.358032610288454
6,-50.350001994054765,-10.539167117498193,2.299999720416963,14.380925671066217
7,-46.45000194152817,-2.9666668702460206,0.9499998171813786,7.117968522248753
8,-49.600001961924136,-6.626666972980214,4.249999728053808,12.575374745146716
9,-49.2000019447878,-5.312500292388722,4.2999998475424945,11.15595776536286
10,-49.2000019447878,-4.3375002675534535,2.899999786168337,10.991787546236912
11,-50.400001996196806,-3.720000228122808,1.999999824911356,10.271632808756463
12,-50.50000200048089,-4.795833615089456,2.949999788310379,13.10317529936981
13,-49.600001961924136,-3.603333592414856,2.8999996688216925,9.532029047616906
14,-50.50000200048089,-5.6750003446592014,2.7999996645376086,13.82656157087854
15,-50.350001994054765,-5.708333668516328,3.8499997495673597,13.677293604216606
16,-50.50000200048089,-7.790833704383113,3.3999996902421117,12.620626727751926
17,-50.100001983344555,-12.11083389193906,2.2999998377636075,16.04349899760124
18,-49.40000195335597,-7.3875002990399175,2.2999996817670763,12.243582511521954
19,-49.40000195335597,-8.143333679476443,2.4999997690320015,13.491888397944187
20,-50.400001996196806,-7.527500377758406,2.549999692477286,13.128996425832872
21,-49.600001961924136,-4.545000303451283,2.799999781884253,10.990328301276719
22,-50.50000200048089,-2.63833358475628,1.7999997376464307,9.903667035750635
23,-50.400001996196806,-6.75416703238928,2.6499997754581273,14.272629612052217
24,-50.100001983344555,-5.317500305672486,2.0499997097067535,10.557291750583726
25,-50.00000201771036,-2.5133335871078697,2.499999690335244,9.225033561244661
26,-49.40000195335597,-3.419166956578071,4.849999793805182,10.044825236293768
27,-31.400001182220876,-4.176666923441614,3.699999743141234,9.33586957288467
28,-49.2000019447878,-3.0008335848261294,2.449999688193202,9.03289151203269
29,-29.700001263991,-3.4758335794555024,2.0499997097067535,7.588629271531597
30,-50.35000203270465,-7.283333732195509,3.3999997689388692,14.159289743407422
31,-49.30000198772177,-4.796666947286576,1.999999824911356,10.369847911672817
32,-49.400001992005855,-4.767500285167868,1.999999824911356,11.252695699569887
33,-50.50000200048089,-4.383333591162227,1.7999998549930751,11.616123062983636
34,-49.400001992005855,-4.261666973462949,2.3999998033978045,11.208209300348278
35,-49.300001949071884,-3.9100002678266415,3.749999745283276,9.809578104439108
36,-49.40000195335597,-4.633333621771696,1.9999999422580004,10.831834874122821
37,-49.50000195764005,-5.942500364493268,4.099999682977796,12.891201626901163
38,-50.400001996196806,-5.998333643648463,2.1999997161328793,12.713569198063885
39,-25.700001092627645,-2.267500185291283,2.299999955110252,5.881693659465618
