Generation,Min,Mean,Max,Std
-1,-22.604167484949965,-22.604167484949965,-22.604167484949965,0.0
0,-17.9916672744633,-17.9916672744633,-17.9916672744633,0.0
1,-17.88333394615135,-17.88333394615135,-17.88333394615135,0.0
2,-15.020833813856976,-15.020833813856976,-15.020833813856976,0.0
3,-7.050000164813052,-7.050000164813052,-7.050000164813052,0.0
4,-11.07500039844308,-11.07500039844308,-11.07500039844308,0.0
5,-4.904166762096186,-4.904166762096186,-4.904166762096186,0.0
6,-7.583333578969662,-7.583333578969662,-7.583333578969662,0.0
7,-6.604166873459083,-6.604166873459083,-6.604166873459083,0.0
8,-7.633333568111993,-7.633333568111993,-7.633333568111993,0.0
9,-10.354167002020404,-10.354167002020404,-10.354167002020404,0.0
10,-6.050000170284572,-6.050000170284572,-6.050000170284572,0.0
11,-5.462500183765466,-5.462500183765466,-5.462500183765466,0.0
12,-10.066667034678781,-10.066667034678781,-10.066667034678781,0.0
13,-12.466667086080028,-12.466667086080028,-12.466667086080028,0.0
14,-14.316667203985466,-14.316667203985466,-14.316667203985466,0.0
15,-14.112500599081008,-14.112500599081008,-14.112500599081008,0.0
16,-3.07500014877102,-3.07500014877102,-3.07500014877102,0.0
17,-11.704167130480831,-11.704167130480831,-11.704167130480831,0.0
18,-8.350000355547914,-8.350000355547914,-8.350000355547914,0.0
19,-10.637500411908453,-10.637500411908453,-10.637500411908453,0.0
20,-9.258333737457482,-9.258333737457482,-9.258333737457482,0.0
21,-4.054166864176902,-4.054166864176902,-4.054166864176902,0.0
22,-0.22916679336534193,-0.22916679336534193,-0.22916679336534193,0.0
23,-6.483333699094753,-6.483333699094753,-6.483333699094753,0.0
24,-4.23333350631098,-4.23333350631098,-4.23333350631098,0.0
25,-4.650000226024228,-4.650000226024228,-4.650000226024228,0.0
26,-4.4000001510139555,-4.4000001510139555,-4.4000001510139555,0.0
27,-6.45000040907568,-6.45000040907568,-6.45000040907568,0.0
28,-11.108333861688152,-11.108333861688152,-11.108333861688152,0.0
29,-8.175000261321353,-8.175000261321353,-8.175000261321353,0.0
30,-9.712500429906262,-9.712500429906262,-9.712500429906262,0.0
31,-6.054166981833987,-6.054166981833987,-6.054166981833987,0.0
32,-11.358333811319122,-11.358333811319122,-11.358333811319122,0.0
33,-6.575000324596961,-6.575000324596961,-6.575000324596961,0.0
34,-8.42083375621587,-8.42083375621587,-8.42083375621587,0.0
35,-0.7708334993415823,-0.7708334993415823,-0.7708334993415823,0.0
36,-7.187500315407912,-7.187500315407912,-7.187500315407912,0.0
37,-3.5041668178358427,-3.5041668178358427,-3.5041668178358427,0.0
38,-13.97083394578658,-13.97083394578658,-13.97083394578658,0.0
39,-8.641666973747002,-8.641666973747002,-8.641666973747002,0.0
