Generation,Min,Mean,Max,Std
-1,-29.90000111795962,-27.095000997791068,-16.250000533182174,3.780241556357274
0,-30.300001135095954,-20.032500718417577,-12.150000396184623,3.9519071373797927
1,-50.00000197906047,-9.707500285748392,-3.0000000814907253,12.023196229540881
2,-50.50000200048089,-9.648333610105329,-0.2500001569278538,10.498226352292543
3,-50.400001996196806,-8.735000218295802,-2.9999999655410647,11.5548490577219
4,-50.00000197906047,-7.475000166916288,-1.750000066589564,10.629748413511056
5,-50.30000199191272,-6.767500139827219,-2.899999961256981,9.907042644083965
6,-46.95000215759501,-8.159166889901583,-2.8000000342726707,10.202775808380117
7,-46.80000203521922,-7.071666829807994,-2.899999961256981,9.251709118266731
8,-30.3000012896955,-6.078333440391968,-2.9999999655410647,7.563268851704129
9,-50.400001996196806,-8.4683335382957,-2.799999956972897,13.130486616426262
10,-50.20000198762864,-6.196666780106413,-2.9000000385567546,10.044919825096134
11,-30.100001126527786,-6.924166842123183,-2.0500000794418156,7.939996636680554
12,-31.250001522246748,-6.191666797261375,-2.9999999655410647,7.262559400315853
13,-50.50000200048089,-6.184166789186808,-2.550000023562461,8.73139724691725
14,-31.400001182220876,-6.597500134476771,-2.9999999655410647,7.507626594013438
15,-48.800001927651465,-6.72666679508208,-2.700000029988587,9.083040750005276
16,-50.400001996196806,-6.226666781391638,-2.2500000493600965,8.741832127636
17,-50.20000198762864,-10.940833668053772,-1.9000000730156898,13.884996975345588
18,-30.000001199543476,-6.774166797761184,-2.8999999999068677,8.256035986841459
19,-48.4000019878149,-7.020000149356202,-2.8000000342726707,9.623453542899519
20,-49.90000197477639,-7.250833491290298,-2.9000000385567546,10.00319780890884
21,-34.750001325737685,-7.580833513801918,-2.650000066496432,8.434498450936957
22,-50.350001994054765,-8.650833555062611,-2.8999999999068677,12.204239859440891
23,-49.8000019704923,-6.332500129542313,-2.2000000472180545,8.327018770649262
24,-25.700000938028097,-4.55916670866621,-2.2000000858679414,4.8722814370285255
25,-49.8000019704923,-8.478333540656603,-2.600000025704503,11.530631321293
26,-47.150001934263855,-7.695833516105389,-2.1000000815838575,9.762489404648223
27,-49.600001961924136,-9.129166900583852,-2.9999999655410647,11.306404611214143
28,-50.400001996196806,-6.236666779243388,-2.8000000342726707,9.082037919880428
29,-50.20000198762864,-8.411666881417235,-2.600000025704503,10.210890738629374
30,-50.50000200048089,-6.7066668058202294,-2.500000060070306,8.656199828515708
31,-50.20000198762864,-8.686666889310194,-2.9999999655410647,10.946799357315989
32,-50.400001996196806,-8.361666879275193,-2.9999999655410647,10.492479394127809
33,-48.600001957733184,-8.311666880998139,-2.1500000837258995,10.882258081313955
34,-30.300001135095954,-5.557500089922299,-2.849999997764826,6.508999356028787
35,-50.30000199191272,-11.050833718455397,-2.3000002061016858,13.97512280259019
36,-50.50000200048089,-14.363333830113213,-2.6500001437962055,15.260922595395114
37,-49.3500020285137,-14.143333823932334,-2.200000163167715,14.85206126374134
38,-49.600001961924136,-14.945000561660466,-2.050000195391476,14.580263227246718
39,-49.50000195764005,-15.581667226615052,-2.4500001738779247,14.336044820790969
