Generation,Min,Mean,Max,Std
-1,-24.11250088290156,-24.11250088290156,-24.11250088290156,0.0
0,-18.883334059733897,-18.883334059733897,-18.883334059733897,0.0
1,-11.504167048066543,-11.504167048066543,-11.504167048066543,0.0
2,-11.316667011046471,-11.316667011046471,-11.316667011046471,0.0
3,-10.066666976703951,-10.066666976703951,-10.066666976703951,0.0
4,-8.870833576152412,-8.870833576152412,-8.870833576152412,0.0
5,-12.600000376813114,-12.600000376813114,-12.600000376813114,0.0
6,-15.16250050913853,-15.16250050913853,-15.16250050913853,0.0
7,-12.195833737806728,-12.195833737806728,-12.195833737806728,0.0
8,-10.483333696766445,-10.483333696766445,-10.483333696766445,0.0
9,-16.03750063001644,-16.03750063001644,-16.03750063001644,0.0
10,-16.433333970877964,-16.433333970877964,-16.433333970877964,0.0
11,-12.645833750643456,-12.645833750643456,-12.645833750643456,0.0
12,-9.050000301911496,-9.050000301911496,-9.050000301911496,0.0
13,-10.829167025590626,-10.829167025590626,-10.829167025590626,0.0
14,-7.900000249540123,-7.900000249540123,-7.900000249540123,0.0
15,-8.275000268826261,-8.275000268826261,-8.275000268826261,0.0
16,-6.12916681135539,-6.12916681135539,-6.12916681135539,0.0
17,-7.329166843439452,-7.329166843439452,-7.329166843439452,0.0
18,-5.225000109174289,-5.225000109174289,-5.225000109174289,0.0
19,-10.725000315811485,-10.725000315811485,-10.725000315811485,0.0
20,-6.708333525146979,-6.708333525146979,-6.708333525146979,0.0
21,-8.045833592225486,-8.045833592225486,-8.045833592225486,0.0
22,-17.412500608634826,-17.412500608634826,-17.412500608634826,0.0
23,-10.120833668004101,-10.120833668004101,-10.120833668004101,0.0
24,-13.229167147500752,-13.229167147500752,-13.229167147500752,0.0
25,-5.5500001487477375,-5.5500001487477375,-5.5500001487477375,0.0
26,-8.525000263315937,-8.525000263315937,-8.525000263315937,0.0
27,-15.120833853570124,-15.120833853570124,-15.120833853570124,0.0
28,-8.058333551006703,-8.058333551006703,-8.058333551006703,0.0
29,-10.950000379971849,-10.950000379971849,-10.950000379971849,0.0
30,-15.808333905336136,-15.808333905336136,-15.808333905336136,0.0
31,-15.795833924125569,-15.795833924125569,-15.795833924125569,0.0
32,-7.116666876206485,-7.116666876206485,-7.116666876206485,0.0
33,-20.187500743738685,-20.187500743738685,-20.187500743738685,0.0
34,-25.275001003329333,-25.275001003329333,-25.275001003329333,0.0
35,-7.591666864347644,-7.591666864347644,-7.591666864347644,0.0
36,-9.762500312994234,-9.762500312994234,-9.762500312994234,0.0
37,-8.491666951100342,-8.491666951100342,-8.491666951100342,0.0
38,-5.770833468879573,-5.770833468879573,-5.770833468879573,0.0
39,-13.929167161618048,-13.929167161618048,-13.929167161618048,0.0
