Generation,Min,Mean,Max,Std
-1,-22.20833412821715,-22.20833412821715,-22.20833412821715,0.0
0,-18.57083398848772,-18.57083398848772,-18.57083398848772,0.0
1,-14.341667143860832,-14.341667143860832,-14.341667143860832,0.0
2,-11.975000398349948,-11.975000398349948,-11.975000398349948,0.0
3,-19.795834053851042,-19.795834053851042,-19.795834053851042,0.0
4,-6.941666846163571,-6.941666846163571,-6.941666846163571,0.0
5,-15.266667173826136,-15.266667173826136,-15.266667173826136,0.0
6,-8.88750029184545,-8.88750029184545,-8.88750029184545,0.0
7,-4.683333435406287,-4.683333435406287,-4.683333435406287,0.0
8,-8.929166969959624,-8.929166969959624,-8.929166969959624,0.0
9,-10.675000339319618,-10.675000339319618,-10.675000339319618,0.0
10,-18.00833396438975,-18.00833396438975,-18.00833396438975,0.0
11,-16.225000596527632,-16.225000596527632,-16.225000596527632,0.0
12,-2.650000014963249,-2.650000014963249,-2.650000014963249,0.0
13,-8.812500272528268,-8.812500272528268,-8.812500272528268,0.0
14,-7.587500207164946,-7.587500207164946,-7.587500207164946,0.0
15,-14.495833839677895,-14.495833839677895,-14.495833839677895,0.0
16,-7.091666842927225,-7.091666842927225,-7.091666842927225,0.0
17,-9.179166938799122,-9.179166938799122,-9.179166938799122,0.0
18,-6.862500201871929,-6.862500201871929,-6.862500201871929,0.0
19,-8.370833612590408,-8.370833612590408,-8.370833612590408,0.0
20,-10.441666983106794,-10.441666983106794,-10.441666983106794,0.0
21,-8.362500246808244,-8.362500246808244,-8.362500246808244,0.0
22,-5.112500149329814,-5.112500149329814,-5.112500149329814,0.0
23,-6.458333527320065,-6.458333527320065,-6.458333527320065,0.0
24,-10.462500349657299,-10.462500349657299,-10.462500349657299,0.0
25,-7.979166893831764,-7.979166893831764,-7.979166893831764,0.0
26,-4.629166769639899,-4.629166769639899,-4.629166769639899,0.0
27,-14.41250051887861,-14.41250051887861,-14.41250051887861,0.0
28,-8.750000250525773,-8.750000250525773,-8.750000250525773,0.0
29,-7.200000216330712,-7.200000216330712,-7.200000216330712,0.0
30,-6.4833334964156775,-6.4833334964156775,-6.4833334964156775,0.0
31,-7.158333531774891,-7.158333531774891,-7.158333531774891,0.0
32,-8.28750023393271,-8.28750023393271,-8.28750023393271,0.0
33,-11.550000421780473,-11.550000421780473,-11.550000421780473,0.0
34,-8.454166914064748,-8.454166914064748,-8.454166914064748,0.0
35,-6.395833499108751,-6.395833499108751,-6.395833499108751,0.0
36,-7.125000216222058,-7.125000216222058,-7.125000216222058,0.0
37,-2.7375000219326466,-2.7375000219326466,-2.7375000219326466,0.0
38,-2.8666666876912736,-2.8666666876912736,-2.8666666876912736,0.0
39,-17.625000643505093,-17.625000643505093,-17.625000643505093,0.0
