Generation,Min,Mean,Max,Std
-1,-28.60000106226653,-24.890000903327017,-16.100000526756048,3.406963603348518
0,-29.800001113675535,-18.56000063343284,-14.400000453926623,2.232203789426725
1,-50.600002004764974,-18.970000649709256,-3.499999986961484,16.122100429862165
2,-50.55000200262293,-16.89416723321968,-3.2999999783933163,14.33615854964137
3,-50.600002004764974,-10.940000305697321,-3.2999999783933163,11.882700819460066
4,-50.70000200904906,-8.846666883327998,-3.2999999783933163,12.187319295403153
5,-46.30000182054937,-7.393333488376811,-3.2999999783933163,10.231562991625156
6,-50.70000200904906,-7.288333483234358,-3.2999999783933163,9.6455493306
7,-50.70000200904906,-12.012500356797439,-3.1999999741092324,14.334358014463207
8,-50.70000200904906,-10.378333616256715,-3.2999999783933163,12.741397535491599
9,-50.70000200904906,-12.487500399692605,-3.0499999676831067,13.093117782097513
10,-50.20000198762864,-14.661667135024134,-3.2999999783933163,13.67992921180409
11,-50.00000197906047,-12.450000370386988,-3.2999999783933163,12.099184375112332
12,-50.70000200904906,-13.382500410980235,-3.2999999783933163,14.58985105037363
13,-48.6000019190833,-8.399166867377547,-3.2999999783933163,10.112807872075
14,-49.300001949071884,-13.963333776259484,-3.0999999698251486,14.193267407086049
15,-50.70000200904906,-20.34916738125806,-3.0999999698251486,15.905415094751659
16,-50.600002004764974,-13.305000411525059,-3.0999999698251486,14.01313938487374
17,-50.70000200904906,-14.36916712571401,-3.0999999698251486,15.828298370230968
18,-49.300001949071884,-12.505000372743234,-3.0999999698251486,13.333316300365471
19,-50.70000200904906,-14.62166713073384,-3.0999999698251486,16.285176387946787
20,-50.70000200904906,-11.497500331513583,-3.0999999698251486,12.976310461578262
21,-50.70000200904906,-12.754167055237728,-2.9999999655410647,14.164155163429463
22,-50.70000200904906,-16.766667230334132,-3.0999999698251486,17.691049969523842
23,-50.400001996196806,-11.785000345118654,-2.949999963399023,12.548158768069076
24,-49.45000195549801,-8.987500227848068,-3.0999999698251486,11.782878707594234
25,-50.70000200904906,-12.160000357963145,-2.9999999655410647,15.110255994836482
26,-50.70000200904906,-32.73583458113329,-3.1999999741092324,17.79547324901263
27,-50.600002004764974,-13.904167103837244,-3.0000000428408384,15.824276048981956
28,-49.70000196620822,-16.61333388914354,-3.0999999698251486,16.414726982416628
29,-49.45000195549801,-15.036667156219483,-3.0999999698251486,14.587134988284864
30,-50.70000200904906,-12.763333736422162,-3.1000000084750354,14.508394356285406
31,-50.70000200904906,-15.347500499004187,-3.1999999741092324,14.969838164666522
32,-49.300001949071884,-18.485000632796435,-3.0999999698251486,16.297718587103052
33,-50.70000200904906,-12.952500397044544,-3.1999999741092324,15.004939899796547
34,-50.70000200904906,-17.724167263003377,-3.0999999698251486,16.773887893982756
35,-50.70000200904906,-17.324167258059607,-3.1999999741092324,16.882204099098416
36,-50.70000200904906,-19.432500675941508,-2.9999999655410647,17.937061623460302
37,-50.70000200904906,-15.069167151193446,-3.0999999698251486,16.868786224994203
38,-50.70000200904906,-16.68583388711947,-3.0999999698251486,17.109206567855665
39,-50.70000200904906,-18.435000630654393,-3.0999999698251486,16.722892467377065
