Generation,Min,Mean,Max,Std
-1,-29.300001092255116,-22.960000863159074,-14.500000458210707,4.384278899071818
0,-31.700001195073128,-24.888334264264753,-15.150000486057252,3.225515155447054
1,-46.60000183340162,-15.839167200905893,-3.2999999783933163,13.340902888917286
2,-50.100001983344555,-9.025000235896247,-2.600000025704503,10.914335469511784
3,-49.600001961924136,-9.456666924897581,-2.700000029988587,12.19390429220668
4,-46.05000180983916,-5.187500074071189,-2.649999989196658,6.855087365910363
5,-50.20000198762864,-7.566666836865867,-2.699999952688813,9.647148807512504
6,-50.100001983344555,-5.6100000895947835,-2.6999999913387,7.202949935624789
7,-50.30000199191272,-9.129166903160513,-2.699999952688813,11.201095256980059
8,-29.4000010965392,-5.773333436367102,-2.799999956972897,6.875509167224948
9,-50.100001983344555,-7.6550001797809575,-2.649999989196658,10.420915715640577
10,-50.00000197906047,-9.891666934538323,-2.500000021420419,12.614103646894554
11,-50.400001996196806,-11.82250034865768,-2.899999961256981,14.53074224302297
12,-49.30000202637166,-6.967500147751222,-2.749999993480742,10.000074701653146
13,-50.20000198762864,-7.645833512721583,-2.700000029988587,10.36557766681237
14,-45.00000176485628,-5.85250009096538,-2.899999961256981,7.356456803478572
15,-49.300001949071884,-8.932500233221798,-2.799999995622784,10.198087779348779
16,-50.30000199191272,-7.665000175056048,-2.799999956972897,9.988857989435191
17,-50.400001996196806,-8.748333559309442,-2.700000029988587,11.060191725107906
18,-50.100001983344555,-9.971666936033095,-2.849999997764826,13.284158947331063
19,-50.100001983344555,-7.824166856271526,-2.700000029988587,12.603480523011449
20,-48.70000192336738,-6.967500145174563,-2.700000029988587,9.685943100317127
21,-50.30000199191272,-6.545833459155014,-2.699999952688813,8.69198083216823
22,-50.50000200048089,-7.828333518607542,-2.700000029988587,11.431456968119505
23,-50.000002056360245,-6.804166808708882,-2.700000029988587,9.72410831293829
24,-50.30000199191272,-7.65916684595868,-2.649999989196658,11.185815499969316
25,-50.30000199191272,-7.149166817691488,-2.6999999913387,10.149251195986572
26,-50.400001996196806,-8.921666968349989,-1.9000000730156898,13.334499555851254
27,-46.00000180769712,-8.373333632115585,-1.7000002190470695,11.460823091972735
28,-50.50000200048089,-5.304166833986528,-1.5000000558793545,9.658443546416978
29,-50.20000198762864,-12.820000490522943,-1.7000000644475222,14.364485803439242
30,-50.40000203484669,-6.137500196578912,-1.5000000558793545,9.45249838107359
31,-50.0500020198524,-4.654166817090784,1.0999997463077307,7.967874820433392
32,-42.65000174148008,-3.149167100782506,6.599999479483813,12.789059821688332
33,-44.30000216001645,-4.578333886231606,8.14999950863421,14.422368324006428
34,-32.50000223284587,0.07416617162525654,8.349999517202377,11.563990688112634
35,-40.00000155065209,0.6216662534202139,7.949999538715929,9.917431664264155
36,-49.2000019447878,0.6141661847708747,8.24999955156818,12.599613671923347
37,-39.20000213338062,6.372499340702779,19.099998934194446,14.000129340292744
38,-50.450002036988735,-2.1933340886219717,18.39999921619892,19.916985224190636
39,-47.30000205663964,6.750832733768038,24.44999897433445,13.871822445449357
