Generation,Min,Mean,Max,Std
-1,-22.112500819765653,-22.112500819765653,-22.112500819765653,0.0
0,-19.041667322667006,-19.041667322667006,-19.041667322667006,0.0
1,-17.262500589441817,-17.262500589441817,-17.262500589441817,0.0
2,-8.570833540754393,-8.570833540754393,-8.570833540754393,0.0
3,-10.525000294360021,-10.525000294360021,-10.525000294360021,0.0
4,-5.558333421358839,-5.558333421358839,-5.558333421358839,0.0
5,-4.275000033046429,-4.275000033046429,-4.275000033046429,0.0
6,-13.916667141757594,-13.916667141757594,-13.916667141757594,0.0
7,-7.533333522073614,-7.533333522073614,-7.533333522073614,0.0
8,-16.870833902775,-16.870833902775,-16.870833902775,0.0
9,-12.458333716960624,-12.458333716960624,-12.458333716960624,0.0
10,-5.7750000908660395,-5.7750000908660395,-5.7750000908660395,0.0
11,-6.758333466326197,-6.758333466326197,-6.758333466326197,0.0
12,-11.791667008850103,-11.791667008850103,-11.791667008850103,0.0
13,-14.070833776379004,-14.070833776379004,-14.070833776379004,0.0
14,-11.683333683758974,-11.683333683758974,-11.683333683758974,0.0
15,-8.087500202818774,-8.087500202818774,-8.087500202818774,0.0
16,-10.179166952652546,-10.179166952652546,-10.179166952652546,0.0
17,-11.20000034260253,-11.20000034260253,-11.20000034260253,0.0
18,-6.604166793054901,-6.604166793054901,-6.604166793054901,0.0
19,-14.437500465195626,-14.437500465195626,-14.437500465195626,0.0
20,-5.8583334245486185,-5.8583334245486185,-5.8583334245486185,0.0
21,-15.400000509650758,-15.400000509650758,-15.400000509650758,0.0
22,-5.904166763066314,-5.904166763066314,-5.904166763066314,0.0
23,-8.58333354773155,-8.58333354773155,-8.58333354773155,0.0
24,-7.075000159442425,-7.075000159442425,-7.075000159442425,0.0
25,-8.945833563261354,-8.945833563261354,-8.945833563261354,0.0
26,-8.737500237106966,-8.737500237106966,-8.737500237106966,0.0
27,-7.1125001739322515,-7.1125001739322515,-7.1125001739322515,0.0
28,-8.175000296517586,-8.175000296517586,-8.175000296517586,0.0
29,-10.237500320576752,-10.237500320576752,-10.237500320576752,0.0
30,-10.616667000382828,-10.616667000382828,-10.616667000382828,0.0
31,-13.337500427733175,-13.337500427733175,-13.337500427733175,0.0
32,-9.779167003153512,-9.779167003153512,-9.779167003153512,0.0
33,-8.0541669067073,-8.0541669067073,-8.0541669067073,0.0
34,-10.183333764201961,-10.183333764201961,-10.183333764201961,0.0
35,-2.46250014185595,-2.46250014185595,-2.46250014185595,0.0
36,-8.770833758443283,-8.770833758443283,-8.770833758443283,0.0
37,-1.8166668384801596,-1.8166668384801596,-1.8166668384801596,0.0
38,-8.225000314763747,-8.225000314763747,-8.225000314763747,0.0
39,-4.583333575593618,-4.583333575593618,-4.583333575593618,0.0
