Generation,Min,Mean,Max,Std
-1,-25.00833427393809,-25.00833427393809,-25.00833427393809,0.0
0,-18.45416731360213,-18.45416731360213,-18.45416731360213,0.0
1,-19.920834033439558,-19.920834033439558,-19.920834033439558,0.0
2,-17.412500589426298,-17.412500589426298,-17.412500589426298,0.0
3,-17.404167271840077,-17.404167271840077,-17.404167271840077,0.0
4,-13.162500400911085,-13.162500400911085,-13.162500400911085,0.0
5,-17.620833925243158,-17.620833925243158,-17.620833925243158,0.0
6,-9.65833358412298,-9.65833358412298,-9.65833358412298,0.0
7,-8.76666689858151,-8.76666689858151,-8.76666689858151,0.0
8,-13.425000425040102,-13.425000425040102,-13.425000425040102,0.0
9,-14.779167159382874,-14.779167159382874,-14.779167159382874,0.0
10,-15.879167193624502,-15.879167193624502,-15.879167193624502,0.0
11,-14.525000465723375,-14.525000465723375,-14.525000465723375,0.0
12,-10.566666982136667,-10.566666982136667,-10.566666982136667,0.0
13,-19.337500678336557,-19.337500678336557,-19.337500678336557,0.0
14,-12.71666710001106,-12.71666710001106,-12.71666710001106,0.0
15,-15.60833385513009,-15.60833385513009,-15.60833385513009,0.0
16,-17.020833925305244,-17.020833925305244,-17.020833925305244,0.0
17,-9.079166937735863,-9.079166937735863,-9.079166937735863,0.0
18,-6.258333538193256,-6.258333538193256,-6.258333538193256,0.0
19,-21.358334091802437,-21.358334091802437,-21.358334091802437,0.0
20,-7.0833336923581856,-7.0833336923581856,-7.0833336923581856,0.0
21,-6.675000174514328,-6.675000174514328,-6.675000174514328,0.0
22,-8.183333659428172,-8.183333659428172,-8.183333659428172,0.0
23,-9.454167185234837,-9.454167185234837,-9.454167185234837,0.0
24,-3.9208335920702666,-3.9208335920702666,-3.9208335920702666,0.0
25,-2.166667033607761,-2.166667033607761,-2.166667033607761,0.0
26,-11.570833797760619,-11.570833797760619,-11.570833797760619,0.0
27,-10.166667157551274,-10.166667157551274,-10.166667157551274,0.0
28,-15.941667296031179,-15.941667296031179,-15.941667296031179,0.0
29,-11.054167092971815,-11.054167092971815,-11.054167092971815,0.0
30,-4.250000449518363,-4.250000449518363,-4.250000449518363,0.0
31,-3.562500474935708,-3.562500474935708,-3.562500474935708,0.0
32,-3.5750004784592115,-3.5750004784592115,-3.5750004784592115,0.0
33,-15.412500612903386,-15.412500612903386,-15.412500612903386,0.0
34,-6.537500374290782,-6.537500374290782,-6.537500374290782,0.0
35,-1.650000225752592,-1.650000225752592,-1.650000225752592,0.0
36,-9.404166964542432,-9.404166964542432,-9.404166964542432,0.0
37,-6.025000509456731,-6.025000509456731,-6.025000509456731,0.0
38,-4.454167083526651,-4.454167083526651,-4.454167083526651,0.0
39,-7.095833686801295,-7.095833686801295,-7.095833686801295,0.0
