Generation,Min,Mean,Max,Std
-1,-21.1291674314222,-21.1291674314222,-21.1291674314222,0.0
0,-21.666667464111622,-21.666667464111622,-21.666667464111622,0.0
1,-19.329167383296106,-19.329167383296106,-19.329167383296106,0.0
2,-6.90000017771187,-6.90000017771187,-6.90000017771187,0.0
3,-5.525000166885245,-5.525000166885245,-5.525000166885245,0.0
4,-5.425000220692406,-5.425000220692406,-5.425000220692406,0.0
5,-4.308333483757451,-4.308333483757451,-4.308333483757451,0.0
6,-2.566666848065021,-2.566666848065021,-2.566666848065021,0.0
7,-4.412500328112704,-4.412500328112704,-4.412500328112704,0.0
8,-2.862500188096116,-2.862500188096116,-2.862500188096116,0.0
9,-4.841666936098288,-4.841666936098288,-4.841666936098288,0.0
10,-4.829166951550481,-4.829166951550481,-4.829166951550481,0.0
11,-4.891666803198556,-4.891666803198556,-4.891666803198556,0.0
12,-3.0625002674059942,-3.0625002674059942,-3.0625002674059942,0.0
13,-10.07500028796494,-10.07500028796494,-10.07500028796494,0.0
14,-3.058333542353163,-3.058333542353163,-3.058333542353163,0.0
15,-3.9000002129857116,-3.9000002129857116,-3.9000002129857116,0.0
16,-4.662500277743675,-4.662500277743675,-4.662500277743675,0.0
17,-9.616667092467347,-9.616667092467347,-9.616667092467347,0.0
18,-5.366667000227608,-5.366667000227608,-5.366667000227608,0.0
19,-6.945833664038219,-6.945833664038219,-6.945833664038219,0.0
20,-4.116666934026095,-4.116666934026095,-4.116666934026095,0.0
21,-2.037500155624002,-2.037500155624002,-2.037500155624002,0.0
22,-4.975000239831085,-4.975000239831085,-4.975000239831085,0.0
23,-6.904167040445221,-6.904167040445221,-6.904167040445221,0.0
24,-4.812500281181808,-4.812500281181808,-4.812500281181808,0.0
25,-1.4916668694155912,-1.4916668694155912,-1.4916668694155912,0.0
26,-3.925000239706909,-3.925000239706909,-3.925000239706909,0.0
27,-4.133333607732008,-4.133333607732008,-4.133333607732008,0.0
28,-1.9958334647429485,-1.9958334647429485,-1.9958334647429485,0.0
29,-10.029167232064841,-10.029167232064841,-10.029167232064841,0.0
30,-2.416666854871437,-2.416666854871437,-2.416666854871437,0.0
31,-5.829167003937376,-5.829167003937376,-5.829167003937376,0.0
32,-6.766667069518007,-6.766667069518007,-6.766667069518007,0.0
33,-6.470833672792651,-6.470833672792651,-6.470833672792651,0.0
34,-2.4583335742742443,-2.4583335742742443,-2.4583335742742443,0.0
35,-4.054166950557071,-4.054166950557071,-4.054166950557071,0.0
36,-3.929166919202544,-3.929166919202544,-3.929166919202544,0.0
37,-1.891666893226405,-1.891666893226405,-1.891666893226405,0.0
38,-1.7083335104010378,-1.7083335104010378,-1.7083335104010378,0.0
39,-4.591666915958437,-4.591666915958437,-4.591666915958437,0.0
