Generation,Min,Mean,Max,Std
-1,-23.200000859913416,-23.200000859913416,-23.200000859913416,0.0
0,-19.82916735962499,-19.82916735962499,-19.82916735962499,0.0
1,-16.10000054608099,-16.10000054608099,-16.10000054608099,0.0
2,-20.77083409562086,-20.77083409562086,-20.77083409562086,0.0
3,-15.591667264932767,-15.591667264932767,-15.591667264932767,0.0
4,-14.258333781190837,-14.258333781190837,-14.258333781190837,0.0
5,-9.295833571814,-9.295833571814,-9.295833571814,0.0
6,-10.887500329214769,-10.887500329214769,-10.887500329214769,0.0
7,-13.470833802091269,-13.470833802091269,-13.470833802091269,0.0
8,-6.666666844044812,-6.666666844044812,-6.666666844044812,0.0
9,-14.808333827299066,-14.808333827299066,-14.808333827299066,0.0
10,-14.11666720174253,-14.11666720174253,-14.11666720174253,0.0
11,-7.937500302563421,-7.937500302563421,-7.937500302563421,0.0
12,-15.687500541292442,-15.687500541292442,-15.687500541292442,0.0
13,-14.004167164831111,-14.004167164831111,-14.004167164831111,0.0
14,-8.76250026394458,-8.76250026394458,-8.76250026394458,0.0
15,-15.454167226950327,-15.454167226950327,-15.454167226950327,0.0
16,-16.020833908230998,-16.020833908230998,-16.020833908230998,0.0
17,-7.200000460298422,-7.200000460298422,-7.200000460298422,0.0
18,-4.770833638263866,-4.770833638263866,-4.770833638263866,0.0
19,-11.895833773266835,-11.895833773266835,-11.895833773266835,0.0
20,-16.57916721717144,-16.57916721717144,-16.57916721717144,0.0
21,-5.0166669661412016,-5.0166669661412016,-5.0166669661412016,0.0
22,-6.116667119669728,-6.116667119669728,-6.116667119669728,0.0
23,-3.645833747422633,-3.645833747422633,-3.645833747422633,0.0
24,-8.775000566422628,-8.775000566422628,-8.775000566422628,0.0
25,-5.616667171629767,-5.616667171629767,-5.616667171629767,0.0
26,-8.687500614207238,-8.687500614207238,-8.687500614207238,0.0
27,-3.2083336679497734,-3.2083336679497734,-3.2083336679497734,0.0
28,-5.908333660995898,-5.908333660995898,-5.908333660995898,0.0
29,-4.491667007716994,-4.491667007716994,-4.491667007716994,0.0
30,-12.725000777398236,-12.725000777398236,-12.725000777398236,0.0
31,-0.12916692664536336,-0.12916692664536336,-0.12916692664536336,0.0
32,-5.779167075874284,-5.779167075874284,-5.779167075874284,0.0
33,-6.575000443301785,-6.575000443301785,-6.575000443301785,0.0
34,-8.400000556915378,-8.400000556915378,-8.400000556915378,0.0
35,-11.754167238910062,-11.754167238910062,-11.754167238910062,0.0
36,-10.341667203814723,-10.341667203814723,-10.341667203814723,0.0
37,-3.645833757085105,-3.645833757085105,-3.645833757085105,0.0
38,-17.45000062312465,-17.45000062312465,-17.45000062312465,0.0
39,-10.433333989892466,-10.433333989892466,-10.433333989892466,0.0
