Generation,Min,Mean,Max,Std
-1,-26.654167661676183,-26.654167661676183,-26.654167661676183,0.0
0,-25.545834319510806,-25.545834319510806,-25.545834319510806,0.0
1,-18.287500633353677,-18.287500633353677,-18.287500633353677,0.0
2,-17.679167261075538,-17.679167261075538,-17.679167261075538,0.0
3,-15.229167159336308,-15.229167159336308,-15.229167159336308,0.0
4,-14.716667134159556,-14.716667134159556,-14.716667134159556,0.0
5,-13.558333809060665,-13.558333809060665,-13.558333809060665,0.0
6,-14.09583378067085,-14.09583378067085,-14.09583378067085,0.0
7,-15.258333846577443,-15.258333846577443,-15.258333846577443,0.0
8,-7.900000201227765,-7.900000201227765,-7.900000201227765,0.0
9,-3.012500226846896,-3.012500226846896,-3.012500226846896,0.0
10,-7.541666846101482,-7.541666846101482,-7.541666846101482,0.0
11,-17.97916728359026,-17.97916728359026,-17.97916728359026,0.0
12,-8.95416720568513,-8.95416720568513,-8.95416720568513,0.0
13,-12.950000520640364,-12.950000520640364,-12.950000520640364,0.0
14,-7.129166892846115,-7.129166892846115,-7.129166892846115,0.0
15,-6.587500308911937,-6.587500308911937,-6.587500308911937,0.0
16,-6.125000363176999,-6.125000363176999,-6.125000363176999,0.0
17,-11.729167292360216,-11.729167292360216,-11.729167292360216,0.0
18,-12.204167287175855,-12.204167287175855,-12.204167287175855,0.0
19,-5.950000378109205,-5.950000378109205,-5.950000378109205,0.0
20,-4.150000304100104,-4.150000304100104,-4.150000304100104,0.0
21,-6.762500409812977,-6.762500409812977,-6.762500409812977,0.0
22,-9.27083385681423,-9.27083385681423,-9.27083385681423,0.0
23,-9.920833749851832,-9.920833749851832,-9.920833749851832,0.0
24,-9.804167248308659,-9.804167248308659,-9.804167248308659,0.0
25,-3.941667006816715,-3.941667006816715,-3.941667006816715,0.0
26,0.5208330268894011,0.5208330268894011,0.5208330268894011,0.0
27,-4.187500453748119,-4.187500453748119,-4.187500453748119,0.0
28,-6.960208911642742,-6.960208911642742,-6.960208911642742,0.0
29,-4.279166950650203,-4.279166950650203,-4.279166950650203,0.0
30,-3.4916670646052808,-3.4916670646052808,-3.4916670646052808,0.0
31,-3.745833726405787,-3.745833726405787,-3.745833726405787,0.0
32,-9.987500624692379,-9.987500624692379,-9.987500624692379,0.0
33,-3.2041670553929484,-3.2041670553929484,-3.2041670553929484,0.0
34,-5.316667156022352,-5.316667156022352,-5.316667156022352,0.0
35,-5.433333663425098,-5.433333663425098,-5.433333663425098,0.0
36,-7.587500476899247,-7.587500476899247,-7.587500476899247,0.0
37,-1.666666964107814,-1.666666964107814,-1.666666964107814,0.0
38,-11.020833745443573,-11.020833745443573,-11.020833745443573,0.0
39,-4.00000047388797,-4.00000047388797,-4.00000047388797,0.0
