Generation,Min,Mean,Max,Std
-1,-22.25416748605979,-22.25416748605979,-22.25416748605979,0.0
0,-20.320834047355067,-20.320834047355067,-20.320834047355067,0.0
1,-12.483333727694117,-12.483333727694117,-12.483333727694117,0.0
2,-12.441667039917471,-12.441667039917471,-12.441667039917471,0.0
3,-8.995833632924283,-8.995833632924283,-8.995833632924283,0.0
4,-7.870833546194869,-7.870833546194869,-7.870833546194869,0.0
5,-10.154167128377594,-10.154167128377594,-10.154167128377594,0.0
6,-10.375000400546318,-10.375000400546318,-10.375000400546318,0.0
7,-16.470834184476796,-16.470834184476796,-16.470834184476796,0.0
8,-14.512500603450462,-14.512500603450462,-14.512500603450462,0.0
9,-7.42083380666251,-7.42083380666251,-7.42083380666251,0.0
10,-8.29583384092742,-8.29583384092742,-8.29583384092742,0.0
11,-10.979167028795928,-10.979167028795928,-10.979167028795928,0.0
12,-5.033333877838838,-5.033333877838838,-5.033333877838838,0.0
13,-11.287500661526186,-11.287500661526186,-11.287500661526186,0.0
14,-8.770833787197867,-8.770833787197867,-8.770833787197867,0.0
15,-11.370834011545716,-11.370834011545716,-11.370834011545716,0.0
16,-6.18333367324279,-6.18333367324279,-6.18333367324279,0.0
17,-5.14166713564191,-5.14166713564191,-5.14166713564191,0.0
18,-11.20833403597741,-11.20833403597741,-11.20833403597741,0.0
19,-7.6375006143158926,-7.6375006143158926,-7.6375006143158926,0.0
20,-4.033333655097522,-4.033333655097522,-4.033333655097522,0.0
21,-1.466666920343414,-1.466666920343414,-1.466666920343414,0.0
22,-9.525000367236013,-9.525000367236013,-9.525000367236013,0.0
23,-6.5416671792821335,-6.5416671792821335,-6.5416671792821335,0.0
24,-3.054166971667049,-3.054166971667049,-3.054166971667049,0.0
25,1.9797912848492463,1.9797912848492463,1.9797912848492463,0.0
26,-8.787500268236423,-8.787500268236423,-8.787500268236423,0.0
27,-10.80000036089526,-10.80000036089526,-10.80000036089526,0.0
28,-1.425000414873163,-1.425000414873163,-1.425000414873163,0.0
29,-8.179167165809,-8.179167165809,-8.179167165809,0.0
30,-13.308333901067575,-13.308333901067575,-13.308333901067575,0.0
31,-14.520834097483506,-14.520834097483506,-14.520834097483506,0.0
32,-3.529167056782171,-3.529167056782171,-3.529167056782171,0.0
33,-11.57500049037238,-11.57500049037238,-11.57500049037238,0.0
34,-13.283334009504566,-13.283334009504566,-13.283334009504566,0.0
35,-4.395833760228318,-4.395833760228318,-4.395833760228318,0.0
36,-4.787500305644547,-4.787500305644547,-4.787500305644547,0.0
37,-6.420833859864312,-6.420833859864312,-6.420833859864312,0.0
38,-5.68333388659327,-5.68333388659327,-5.68333388659327,0.0
39,-4.529166877618991,-4.529166877618991,-4.529166877618991,0.0
