Generation,Min,Mean,Max,Std
-1,-21.829167438865017,-21.829167438865017,-21.829167438865017,0.0
0,-20.345834083855152,-20.345834083855152,-20.345834083855152,0.0
1,-14.087500446980508,-14.087500446980508,-14.087500446980508,0.0
2,-13.325000469068376,-13.325000469068376,-13.325000469068376,0.0
3,-9.933333615229154,-9.933333615229154,-9.933333615229154,0.0
4,-13.64166711709307,-13.64166711709307,-13.64166711709307,0.0
5,-14.570833855657838,-14.570833855657838,-14.570833855657838,0.0
6,-14.70833381335251,-14.70833381335251,-14.70833381335251,0.0
7,-13.825000500151267,-13.825000500151267,-13.825000500151267,0.0
8,-8.98750030567559,-8.98750030567559,-8.98750030567559,0.0
9,-9.320833640289493,-9.320833640289493,-9.320833640289493,0.0
10,-17.025000579267118,-17.025000579267118,-17.025000579267118,0.0
11,-14.525000587881854,-14.525000587881854,-14.525000587881854,0.0
12,-12.554167070503658,-12.554167070503658,-12.554167070503658,0.0
13,-13.787500495207496,-13.787500495207496,-13.787500495207496,0.0
14,-9.241666906047612,-9.241666906047612,-9.241666906047612,0.0
15,-10.804167027507598,-10.804167027507598,-10.804167027507598,0.0
16,-12.51666708822207,-12.51666708822207,-12.51666708822207,0.0
17,-10.337500389277315,-10.337500389277315,-10.337500389277315,0.0
18,-12.350000452948734,-12.350000452948734,-12.350000452948734,0.0
19,-7.341666885612843,-7.341666885612843,-7.341666885612843,0.0
20,-3.670833430446995,-3.670833430446995,-3.670833430446995,0.0
21,-13.08333375339862,-13.08333375339862,-13.08333375339862,0.0
22,-12.345833776441092,-12.345833776441092,-12.345833776441092,0.0
23,-4.904166800513242,-4.904166800513242,-4.904166800513242,0.0
24,-5.150000125286169,-5.150000125286169,-5.150000125286169,0.0
25,-10.104166991310194,-10.104166991310194,-10.104166991310194,0.0
26,-6.170833486248739,-6.170833486248739,-6.170833486248739,0.0
27,-14.308333838086886,-14.308333838086886,-14.308333838086886,0.0
28,-11.012500353894817,-11.012500353894817,-11.012500353894817,0.0
29,-15.120833885778362,-15.120833885778362,-15.120833885778362,0.0
30,-8.462500257301144,-8.462500257301144,-8.462500257301144,0.0
31,-9.562500426700959,-9.562500426700959,-9.562500426700959,0.0
32,-7.020833689331387,-7.020833689331387,-7.020833689331387,0.0
33,-10.591667063495455,-10.591667063495455,-10.591667063495455,0.0
34,-8.170833639334887,-8.170833639334887,-8.170833639334887,0.0
35,-13.716667207151962,-13.716667207151962,-13.716667207151962,0.0
36,-8.270833717581505,-8.270833717581505,-8.270833717581505,0.0
37,-11.145833811645085,-11.145833811645085,-11.145833811645085,0.0
38,-7.387500346405432,-7.387500346405432,-7.387500346405432,0.0
39,-5.933333765133284,-5.933333765133284,-5.933333765133284,0.0
