Generation,Min,Mean,Max,Std
-1,-24.995834247635987,-24.995834247635987,-24.995834247635987,0.0
0,-21.28750075221372,-21.28750075221372,-21.28750075221372,0.0
1,-15.395833849247234,-15.395833849247234,-15.395833849247234,0.0
2,-8.137500185635872,-8.137500185635872,-8.137500185635872,0.0
3,-7.15416682305901,-7.15416682305901,-7.15416682305901,0.0
4,-9.400000262268199,-9.400000262268199,-9.400000262268199,0.0
5,-12.441667065684063,-12.441667065684063,-12.441667065684063,0.0
6,-8.475000219419599,-8.475000219419599,-8.475000219419599,0.0
7,-10.191666943525584,-10.191666943525584,-10.191666943525584,0.0
8,-10.637500331387855,-10.637500331387855,-10.637500331387855,0.0
9,-7.833333541367513,-7.833333541367513,-7.833333541367513,0.0
10,-6.950000189283553,-6.950000189283553,-6.950000189283553,0.0
11,-11.233333709455716,-11.233333709455716,-11.233333709455716,0.0
12,-9.56666701003754,-9.56666701003754,-9.56666701003754,0.0
13,-7.462500198589017,-7.462500198589017,-7.462500198589017,0.0
14,-10.033333603409119,-10.033333603409119,-10.033333603409119,0.0
15,-8.070833567413501,-8.070833567413501,-8.070833567413501,0.0
16,-14.058333798389262,-14.058333798389262,-14.058333798389262,0.0
17,-10.579167085389296,-10.579167085389296,-10.579167085389296,0.0
18,-9.925000329734758,-9.925000329734758,-9.925000329734758,0.0
19,-5.716666909167543,-5.716666909167543,-5.716666909167543,0.0
20,-8.38333361945115,-8.38333361945115,-8.38333361945115,0.0
21,-7.091666859031345,-7.091666859031345,-7.091666859031345,0.0
22,-6.2750002441074075,-6.2750002441074075,-6.2750002441074075,0.0
23,-9.066667030138584,-9.066667030138584,-9.066667030138584,0.0
24,-3.8083335487172008,-3.8083335487172008,-3.8083335487172008,0.0
25,-9.90000041849756,-9.90000041849756,-9.90000041849756,0.0
26,-7.883333668772441,-7.883333668772441,-7.883333668772441,0.0
27,-6.875000337099967,-6.875000337099967,-6.875000337099967,0.0
28,-11.09166704948681,-11.09166704948681,-11.09166704948681,0.0
29,-8.837500514346175,-8.837500514346175,-8.837500514346175,0.0
30,-5.258333626940536,-5.258333626940536,-5.258333626940536,0.0
31,-8.016667065792717,-8.016667065792717,-8.016667065792717,0.0
32,-8.275000249501318,-8.275000249501318,-8.275000249501318,0.0
33,-5.466666966327466,-5.466666966327466,-5.466666966327466,0.0
34,-11.750000507415583,-11.750000507415583,-11.750000507415583,0.0
35,-8.70833378774114,-8.70833378774114,-8.70833378774114,0.0
36,-18.541667474938247,-18.541667474938247,-18.541667474938247,0.0
37,-11.150000536465086,-11.150000536465086,-11.150000536465086,0.0
38,-5.808333621748413,-5.808333621748413,-5.808333621748413,0.0
39,-4.483333708990055,-4.483333708990055,-4.483333708990055,0.0
