Generation,Min,Mean,Max,Std
-1,-25.295834266929887,-25.295834266929887,-25.295834266929887,0.0
0,-19.733334038290195,-19.733334038290195,-19.733334038290195,0.0
1,-13.220833746405939,-13.220833746405939,-13.220833746405939,0.0
2,-19.32916733820457,-19.32916733820457,-19.32916733820457,0.0
3,-13.862500430899672,-13.862500430899672,-13.862500430899672,0.0
4,-6.429166804882698,-6.429166804882698,-6.429166804882698,0.0
5,-10.450000284705311,-10.450000284705311,-10.450000284705311,0.0
6,-8.720833553622166,-8.720833553622166,-8.720833553622166,0.0
7,-19.69583404622972,-19.69583404622972,-19.69583404622972,0.0
8,-8.41250020385875,-8.41250020385875,-8.41250020385875,0.0
9,-10.291666951030493,-10.291666951030493,-10.291666951030493,0.0
10,-6.470833460451104,-6.470833460451104,-6.470833460451104,0.0
11,-9.637500266001249,-9.637500266001249,-9.637500266001249,0.0
12,-6.108333441700476,-6.108333441700476,-6.108333441700476,0.0
13,-6.354166792007163,-6.354166792007163,-6.354166792007163,0.0
14,-7.183333526404264,-7.183333526404264,-7.183333526404264,0.0
15,-13.704167103666501,-13.704167103666501,-13.704167103666501,0.0
16,-8.125000204425305,-8.125000204425305,-8.125000204425305,0.0
17,-8.150000298783803,-8.150000298783803,-8.150000298783803,0.0
18,-9.250000249400424,-9.250000249400424,-9.250000249400424,0.0
19,-17.045833968246978,-17.045833968246978,-17.045833968246978,0.0
20,-7.758333534933627,-7.758333534933627,-7.758333534933627,0.0
21,-12.104167025458688,-12.104167025458688,-12.104167025458688,0.0
22,-12.929167131660506,-12.929167131660506,-12.929167131660506,0.0
23,-8.466666962796202,-8.466666962796202,-8.466666962796202,0.0
24,-2.758333458642786,-2.758333458642786,-2.758333458642786,0.0
25,-8.2375002092449,-8.2375002092449,-8.2375002092449,0.0
26,-9.837500335648656,-9.837500335648656,-9.837500335648656,0.0
27,-15.695833952049725,-15.695833952049725,-15.695833952049725,0.0
28,-7.920833648066036,-7.920833648066036,-7.920833648066036,0.0
29,-14.004167258235006,-14.004167258235006,-14.004167258235006,0.0
30,-9.608333620630825,-9.608333620630825,-9.608333620630825,0.0
31,-14.533333911909722,-14.533333911909722,-14.533333911909722,0.0
32,-6.225000203431894,-6.225000203431894,-6.225000203431894,0.0
33,-7.537500346273494,-7.537500346273494,-7.537500346273494,0.0
34,-15.816667210271893,-15.816667210271893,-15.816667210271893,0.0
35,-9.50833367742598,-9.50833367742598,-9.50833367742598,0.0
36,-11.12083381402772,-11.12083381402772,-11.12083381402772,0.0
37,-9.08333360136021,-9.08333360136021,-9.08333360136021,0.0
38,-9.283333580940962,-9.283333580940962,-9.283333580940962,0.0
39,-11.437500481377356,-11.437500481377356,-11.437500481377356,0.0
