Generation,Min,Mean,Max,Std
-1,-23.28750084755787,-23.28750084755787,-23.28750084755787,0.0
0,-20.77916740354461,-20.77916740354461,-20.77916740354461,0.0
1,-13.195833748555742,-13.195833748555742,-13.195833748555742,0.0
2,-14.708333803690039,-14.708333803690039,-14.708333803690039,0.0
3,-9.475000246156318,-9.475000246156318,-9.475000246156318,0.0
4,-12.475000406887071,-12.475000406887071,-12.475000406887071,0.0
5,-14.258333790853309,-14.258333790853309,-14.258333790853309,0.0
6,-7.475000170137112,-7.475000170137112,-7.475000170137112,0.0
7,-13.25000043042625,-13.25000043042625,-13.25000043042625,0.0
8,-12.262500368795978,-12.262500368795978,-12.262500368795978,0.0
9,-8.004166917448552,-8.004166917448552,-8.004166917448552,0.0
10,-15.70833392383065,-15.70833392383065,-15.70833392383065,0.0
11,-10.570833671527604,-10.570833671527604,-10.570833671527604,0.0
12,-9.287500296098491,-9.287500296098491,-9.287500296098491,0.0
13,-4.1083335394893465,-4.1083335394893465,-4.1083335394893465,0.0
14,-4.108333491293403,-4.108333491293403,-4.108333491293403,0.0
15,-11.933333800523542,-11.933333800523542,-11.933333800523542,0.0
16,-7.158333615050651,-7.158333615050651,-7.158333615050651,0.0
17,-9.870833728152016,-9.870833728152016,-9.870833728152016,0.0
18,-6.495833586901426,-6.495833586901426,-6.495833586901426,0.0
19,-10.59166723730353,-10.59166723730353,-10.59166723730353,0.0
20,-2.600000273125867,-2.600000273125867,-2.600000273125867,0.0
21,-7.57916697630814,-7.57916697630814,-7.57916697630814,0.0
22,-17.975000757995684,-17.975000757995684,-17.975000757995684,0.0
23,-5.52916700396842,-5.52916700396842,-5.52916700396842,0.0
24,-0.7375002024152005,-0.7375002024152005,-0.7375002024152005,0.0
25,-5.508333541258859,-5.508333541258859,-5.508333541258859,0.0
26,-4.516666915966198,-4.516666915966198,-4.516666915966198,0.0
27,-10.729167210753076,-10.729167210753076,-10.729167210753076,0.0
28,-3.966667129464137,-3.966667129464137,-3.966667129464137,0.0
29,-13.345833899686113,-13.345833899686113,-13.345833899686113,0.0
30,-9.420833757302413,-9.420833757302413,-9.420833757302413,0.0
31,-5.579166868080695,-5.579166868080695,-5.579166868080695,0.0
32,-7.59166698961053,-7.59166698961053,-7.59166698961053,0.0
33,-8.187500447966158,-8.187500447966158,-8.187500447966158,0.0
34,-7.883333652784738,-7.883333652784738,-7.883333652784738,0.0
35,-11.691667306741389,-11.691667306741389,-11.691667306741389,0.0
36,-14.725000525591895,-14.725000525591895,-14.725000525591895,0.0
37,-5.608333709688547,-5.608333709688547,-5.608333709688547,0.0
38,-9.145833742067529,-9.145833742067529,-9.145833742067529,0.0
39,-13.129167079033019,-13.129167079033019,-13.129167079033019,0.0
