Generation,Min,Mean,Max,Std
-1,-23.466667512237716,-23.466667512237716,-23.466667512237716,0.0
0,-19.11666733554254,-19.11666733554254,-19.11666733554254,0.0
1,-18.275000632818166,-18.275000632818166,-18.275000632818166,0.0
2,-11.858333681593649,-11.858333681593649,-11.858333681593649,0.0
3,-8.954166887289224,-8.954166887289224,-8.954166887289224,0.0
4,-12.308333739521913,-12.308333739521913,-12.308333739521913,0.0
5,-15.741667178071415,-15.741667178071415,-15.741667178071415,0.0
6,-9.595833623316139,-9.595833623316139,-9.595833623316139,0.0
7,-8.629166873365952,-8.629166873365952,-8.629166873365952,0.0
8,-8.579166942082034,-8.579166942082034,-8.579166942082034,0.0
9,-12.304167030806033,-12.304167030806033,-12.304167030806033,0.0
10,-7.937500180288528,-7.937500180288528,-7.937500180288528,0.0
11,-10.804167030961253,-10.804167030961253,-10.804167030961253,0.0
12,-15.733333905576728,-15.733333905576728,-15.733333905576728,0.0
13,-12.920833762541102,-12.920833762541102,-12.920833762541102,0.0
14,-11.12083366610265,-11.12083366610265,-11.12083366610265,0.0
15,-8.133333612194596,-8.133333612194596,-8.133333612194596,0.0
16,-11.787500492917994,-11.787500492917994,-11.787500492917994,0.0
17,-10.020833943815282,-10.020833943815282,-10.020833943815282,0.0
18,-5.58333370826828,-5.58333370826828,-5.58333370826828,0.0
19,-10.091667395783588,-10.091667395783588,-10.091667395783588,0.0
20,-11.07083383121062,-11.07083383121062,-11.07083383121062,0.0
21,-1.4750004270269226,-1.4750004270269226,-1.4750004270269226,0.0
22,-9.575000478653237,-9.575000478653237,-9.575000478653237,0.0
23,-7.36250043194741,-7.36250043194741,-7.36250043194741,0.0
24,-8.10000061779283,-8.10000061779283,-8.10000061779283,0.0
25,-5.116666976983349,-5.116666976983349,-5.116666976983349,0.0
26,-9.237500400010807,-9.237500400010807,-9.237500400010807,0.0
27,-7.279167162797724,-7.279167162797724,-7.279167162797724,0.0
28,-2.1916670889671273,-2.1916670889671273,-2.1916670889671273,0.0
29,-12.758333968037428,-12.758333968037428,-12.758333968037428,0.0
30,-3.983333867470113,-3.983333867470113,-3.983333867470113,0.0
31,-15.545833900764896,-15.545833900764896,-15.545833900764896,0.0
32,-5.608333719001773,-5.608333719001773,-5.608333719001773,0.0
33,-4.550000594424394,-4.550000594424394,-4.550000594424394,0.0
34,-5.204167224699631,-5.204167224699631,-5.204167224699631,0.0
35,-7.804166998830624,-7.804166998830624,-7.804166998830624,0.0
36,-3.720833850481237,-3.720833850481237,-3.720833850481237,0.0
37,-20.12083418337473,-20.12083418337473,-20.12083418337473,0.0
38,-14.366667305507386,-14.366667305507386,-14.366667305507386,0.0
39,-11.879167205498865,-11.879167205498865,-11.879167205498865,0.0
