Generation,Min,Mean,Max,Std
-1,-24.429167566355318,-24.429167566355318,-24.429167566355318,0.0
0,-18.983334012601215,-18.983334012601215,-18.983334012601215,0.0
1,-16.008333856162306,-16.008333856162306,-16.008333856162306,0.0
2,-13.716667097760364,-13.716667097760364,-13.716667097760364,0.0
3,-17.73750059690792,-17.73750059690792,-17.73750059690792,0.0
4,-13.94583379679049,-13.94583379679049,-13.94583379679049,0.0
5,-10.012500327158099,-10.012500327158099,-10.012500327158099,0.0
6,-8.98750042472966,-8.98750042472966,-8.98750042472966,0.0
7,-14.408334044467969,-14.408334044467969,-14.408334044467969,0.0
8,-6.208333613118157,-6.208333613118157,-6.208333613118157,0.0
9,-7.833333689292583,-7.833333689292583,-7.833333689292583,0.0
10,-8.233333622920327,-8.233333622920327,-8.233333622920327,0.0
11,-4.795833677984774,-4.795833677984774,-4.795833677984774,0.0
12,-3.6208336339720213,-3.6208336339720213,-3.6208336339720213,0.0
13,-12.98750071801866,-12.98750071801866,-12.98750071801866,0.0
14,-6.5083338541832445,-6.5083338541832445,-6.5083338541832445,0.0
15,-9.825000733563988,-9.825000733563988,-9.825000733563988,0.0
16,-10.037500565871596,-10.037500565871596,-10.037500565871596,0.0
17,-9.104166958131827,-9.104166958131827,-9.104166958131827,0.0
18,-9.537500300367052,-9.537500300367052,-9.537500300367052,0.0
19,-6.533333720096077,-6.533333720096077,-6.533333720096077,0.0
20,-3.704167099126304,-3.704167099126304,-3.704167099126304,0.0
21,-7.908333865731644,-7.908333865731644,-7.908333865731644,0.0
22,-6.116667077682602,-6.116667077682602,-6.116667077682602,0.0
23,-10.170833876046041,-10.170833876046041,-10.170833876046041,0.0
24,-4.9458338064529626,-4.9458338064529626,-4.9458338064529626,0.0
25,-11.14583385673662,-11.14583385673662,-11.14583385673662,0.0
26,-11.129167115626236,-11.129167115626236,-11.129167115626236,0.0
27,-3.200000266622131,-3.200000266622131,-3.200000266622131,0.0
28,-2.2291668017472452,-2.2291668017472452,-2.2291668017472452,0.0
29,-3.2166668989229947,-3.2166668989229947,-3.2166668989229947,0.0
30,0.4958331094433864,0.4958331094433864,0.4958331094433864,0.0
31,-1.6916669039831806,-1.6916669039831806,-1.6916669039831806,0.0
32,-6.279166965590169,-6.279166965590169,-6.279166965590169,0.0
33,-18.016667413913336,-18.016667413913336,-18.016667413913336,0.0
34,-6.13333372597117,-6.13333372597117,-6.13333372597117,0.0
35,-4.870833803356315,-4.870833803356315,-4.870833803356315,0.0
36,-10.208333646335328,-10.208333646335328,-10.208333646335328,0.0
37,-4.170833770030488,-4.170833770030488,-4.170833770030488,0.0
38,-12.687500644087171,-12.687500644087171,-12.687500644087171,0.0
39,-9.958333799537892,-9.958333799537892,-9.958333799537892,0.0
